work,why,result,hours,status,proof_link
PM-панель и управление задачами,"Заказчик видит план статус результат","Blue Panel; статус; план июня; светофор; proof links",18,green,june-plan.html
Разбор готовых ТЗ макетов и прошлых наработок,"Понять что отдавать команде","реестр готово/правки/проверка/отложено",28,yellow,jun-02-ready-tz-triage.html
Email уведомления и рассылки,"Не терять события заказа","карта событий; шаблоны; переменные; no-send",22,green,communications-support-analytics-execution-board-2026-06-06.html
Регламент работы экспертов,"Единые правила качества сроков тона продаж","регламент v1; scorecard; admission rules",22,green,expert-work-regulation-v1.html
Модель оплаты сотрудников и экспертов,"Мотивация и контроль качества первых экспертов","PM compensation model",12,yellow,expert-agent-compensation-handoff.html
Школа экспертов для первых 5 экспертов,"Capacity before QA and traffic","school v1; E01-E05 journal; test/simulation",16,red,first-five-expert-admission-execution-board-2026-06-06.html
Рабочее место эксперта и агента в админке,"Expert completes consultation inside platform","handoff to Igor: task question deadline status answer payout admin visibility",20,yellow,expert-agent-workspace-handoff.html
Проверка страниц и функций перед рекламой,"Frontend backend content errors support QA must align","screen/function readiness map",12,red,page-content-backend-readiness-map-2026-06-06.html
Контрольный заказ QA и первый трафик preflight,"Prove service can be safely shown to first clients","safe order proof; QA verdict; traffic stop signals",10,red,first-traffic-execution-board-2026-06-06.html
TOTAL,,,160,,
