"N","Layer","Status","Proven","Missing","Next","Owner","Link"
"1","PM-контур и Blue Panel","Зеленый","Есть стратегия, короткий мастер-план, план июня, реестр доказательств, публичные proof-страницы и аудит ссылок.","Нужно поддерживать актуальность после каждого результата, чтобы панель не расходилась с Trello.","Каждый выполненный результат публиковать на Blue Panel и ссылать из Trello.","PM / Codex","pm-current-state-proof-ledger.html"
"2","Стратегия и план месяца","Зеленый","Стратегия пересобрана: платформа сначала, Nebula первая ниша, июнь связан с proof и задачами.","Стратегия не доказывает работу сайта сама по себе.","Держать стратегию связанной с июньскими задачами и контрольным заказом.","PM","strategy-board.html"
"3","Trello и согласование задач","Желтый","Есть план июня на 160 часов и текущие Trello-названия сохранены как источник истины.","Часть карточек закрыта как PM-пакет, но не как внедренная и проверенная функция.","В Trello фиксировать результат ссылкой на Blue Panel, без технического шума и без переименований без команды.","PM","june-plan.html"
"4","Backend Confideline / админка","Желтый","Есть база: заказы, платежные контуры, админские зоны, email-логика и карты backend/admin.","Не доказан единый путь: заказ → вопрос → исполнитель → ответ → support → события.","Передать Игорю пакет контрольного заказа и получить proof по admin route.","Игорь + PM + QA","backend-admin-readiness-map.html"
"5","Frontend Oracle/Nebula","Желтый","Есть дизайн-контур и карта сверки экран → backend → контент → состояния.","Не все ключевые экраны платного пути подтверждены как сверстанные и подключенные.","Антону и Игорю давать правки по конкретным сценариям: оффер, оплата, вопрос, чат, ответ, support.","PM + Антон + Игорь","nebula-design-function-content-crosswalk.html"
"6","Первая платная консультация","Красный","Путь описан и подготовлены gate, cockpit, QA brief и handoff.","Нет одного полного контрольного заказа без реального списания и писем.","Закрыть gate готовности и пройти контрольный заказ.","Игорь + QA + PM","test-order-readiness-gate.html"
"7","Рабочее место эксперта и агента","Красный","Пакет рабочего места собран: задача, вопрос, срок, чат, статус, качество, начисления.","Не доказано, что эксперт/агент реально получает задачу и отвечает в текущей админке.","Проверить рабочее место на контрольном заказе.","Игорь + QA","expert-agent-workspace-handoff.html"
"8","Первые 5 экспертов и школа","Желтый","Материалы обучения извлечены; реестр, школа v1, задача Ксении и журнал допуска опубликованы.","Нет ревизии Ксении, тестов, пробных ответов и ручного допуска каждого из 5 экспертов.","Заполнить журнал по реальным экспертам и проверить пробный ответ каждого.","PM + Ксения","first-five-expert-admission-journal.html"
"9","Email, события, уведомления","Красный","Пакет событий и no-send проверки собран.","Нет no-send журнала событий на одном контрольном заказе.","Проверить события: заказ, вопрос, назначение, дедлайн, ответ, support, follow-up.","Игорь + QA","events-notifications-launch-control.html"
"10","Support и проблемные ситуации","Красный","Сценарии жалоб, просрочек и возвратов описаны.","Не доказано, что проблема связана с заказом, чатом, экспертом, решением и уведомлением.","Смоделировать один problem state на контрольном заказе.","Игорь + QA + PM","support-refund-launch-control.html"
"11","Документы и checkout","Красный","Структура public docs, disclosure, refund boundary и мест показа подготовлена.","Не утверждены legal seller, payment provider, descriptor, refund window, geography.","Готовить HTML-ready пакет, но не публиковать финал до legal/payment/founder gate.","PM + основатель/legal","co2p-legal-checkout-public-docs.html"
"12","QA перед рекламой","Красный","Есть QA-сценарий, preflight и шаблон отчета.","Нет фактического PASS/WARN/STOP по рабочему сайту.","Запускать QA только после READY по контрольному заказу.","QA + PM","qa-test-order-execution-brief.html"
"13","Маркетинг и первый трафик","Красный","Есть go/no-go логика, stop-сигналы и рамка первого теста.","Нет QA PASS, нет proof capacity 5 экспертов, нет финальных legal/payment решений.","Не покупать трафик до контрольного заказа и QA-результата.","PM + основатель","co2p-marketing-first-traffic-gonogo.html"
