request_id,field,required_for_acceptance,current_status,acceptance_rule,if_missing
R01,test_run_id,yes,missing,"Есть единый marker проверки","Returned: запросить marker"
R01,order_id_question_id_session_or_task_id,yes,missing,"Есть повторяемые ID заказа/вопроса/сессии или task","Returned: запросить ID"
R01,performer_id_profile_id,yes,missing,"Понятно кто исполнитель и какая анкета/профиль","Returned: запросить performer/profile"
R01,admin_route_timeline,yes,missing,"Админ видит заказ, вопрос, исполнителя, статус, timeline","Returned: запросить route/screens"
R01,answer_binding,yes,missing,"Ответ привязан к order/question","Returned: запросить answer proof"
R01,no_charge_proof,yes,missing,"Доказано отсутствие реального списания","Blocked если есть риск платежа"
R01,no_send_proof,yes,missing,"Доказано отсутствие реальной отправки","Blocked если есть риск отправки"
R01,support_case_or_route,yes,missing,"Есть support_case_id или понятный support route","Returned: запросить support proof"
R01,screenshots,yes,missing,"Есть скрины ключевых экранов","Returned: запросить скрины"
R01,verdict,yes,missing,"READY/PARTIAL/BLOCKED указан явно","Returned: запросить verdict"
R02,E01_candidate,yes,missing,"Назван E01 для QA","Returned: запросить E01"
R02,expert_codes_E01_E05,yes,missing,"Есть код/имя по каждому E01-E05","Returned: запросить список"
R02,languages,yes,missing,"Есть язык работы по каждому","Returned: запросить языки"
R02,availability,yes,missing,"Есть доступность и часы для тестового заказа","Returned: запросить график"
R02,profile_or_questionnaire,yes,missing,"Есть анкета/профиль или что нужно назначить","Returned: запросить профиль"
R02,sample_answer,yes,missing,"Есть пробный ответ минимум E01, желательно E01-E05","Returned: запросить пробный ответ"
R02,response_sla,yes,missing,"Есть реальный срок ответа","Returned: запросить SLA"
R02,training_gaps,yes,missing,"Понятно, что осталось непонятным по регламенту","Returned: запросить вопросы/пробелы"
R02,verdict_per_expert,yes,missing,"READY/MINOR FIXES/BLOCKED по каждому","Returned: запросить verdict"
QA_READY,R01_accepted,yes,closed,"R01 accepted","QA остается closed"
QA_READY,R02_accepted,yes,closed,"R02 accepted","QA остается closed"
