Область;Статус;Что должно быть;Следующее действие
Роли и права;Красный;Эксперт, агент, модератор, поддержка и админ видят только свои действия;Собрать карту ролей и передать Игорю
Мои консультации;Красный;Исполнитель видит новые, назначенные, просроченные и закрытые консультации;Описать рабочий список и фильтры
Чат консультации;Желтый;Есть web-контур, но нужна связь со статусами и ролями;Допаковать admin chat workspace v2
База знаний;Красный;Регламенты, школа, FAQ и шаблоны доступны из рабочего места;Связать со школой экспертов
Начисления;Красный;Эксперт/агент видит заработок по консультациям;Описать модель начислений и статусы выплат
Качество и замечания;Красный;Исполнитель видит замечания, ограничения и что исправить;Собрать рубрику качества ответа
Назначение анкет;Красный;На старте админ вручную привязывает анкеты к экспертам/агентам;Описать временную модель и логи
Видимость экспертов;Красный;Сильные и доступные эксперты выше, слабые/перегруженные ниже;Описать безопасное ранжирование и логи
Уведомления;Желтый;Эксперт, агент, поддержка и админ получают события по консультации;Связать с картой email/уведомлений
Проверка результата;Красный;Тестировщик может пройти назначение, ответ, просрочку, жалобу и закрытие;Сделать сценарии проверки
