Требование цели,Статус,Что уже есть,Что не доказано,Что закрывает пункт
Backend Confideline,красный,Пакет контрольного заказа и форма ответа Игоря,Нет order_id/question/session/assignment/answer/event/support proof,Accepted safe test order от Игоря
Frontend Oracle/Nebula,желтый,Screen contract и понимание frontend поверх backend,Не все экраны связаны с backend/action/content/error states,Ответ Антона по screen/action/backend/content
Trello,желтый,Формат принят названия не трогаем,Часть карточек не имеет proof внедрения,Добавлять Blue Panel proof link после результата
Blue Panel,зеленый,Мастер-план proof отправка приемка источники сводный статус,Панель не доказывает работу сайта,Обновлять по accepted/returned/blocked
Документы legal payment,красный,Структура HTML-ready документов и trust wording,Нет seller/provider/descriptor/refund/geography решений,Founder/legal/payment decisions
Обучение и эксперты,красный,Школа v1 материалы регламент запрос Ксении,0 из 5 экспертов допущены,E01 пробный ответ SLA scorecard verdict затем E01-E05
Клиентский путь,красный,Сценарий оффер заказ вопрос ответ support,Нет тестового прохода от клиента до ответа,QA PASS/WARN/STOP после READY
Админка workspace,красный,Критерии видимости админ эксперт агент,Нет proof назначения ответа SLA начислений видимости,Admin route на контрольном заказе
Support уведомления,красный,No-send events support problem-state пакеты,Нет event log и support_case_id на заказе,Снять no-send/support proof во время safe order
QA,красный,Briefing формы PASS/WARN/STOP логика,Нет READY по safe order E01 no-send admin support,Публичный QA report после READY
Маркетинг запуск,красный,Go/no-go каналы offer stop-signals,Нет QA capacity 5 analytics legal/payment,First traffic preflight после proof
