"event","status","recipients","purpose","proven","missing","next","proof"
"Визит и источник клиента","red","PM / маркетинг","Понять, откуда пришел клиент и какой оффер привел к покупке.","В карте событий этот слой выделен как обязательный.","Нет proof UTM/source в тестовом маршруте платной консультации.","На test order сохранить источник, страницу входа, услугу и CTA.","events.html|marketing-traffic-readiness.html"
"Регистрация или вход","yellow","Клиент / админ / PM","Клиент получает доступ и не теряет выбранную услугу.","Есть auth-экраны, user/profile backend база и стандартные mailer-компоненты.","Нет proof возврата клиента к покупке после регистрации.","Проверить guest -> signup/login -> continue order и журнал события.","client-journey-readiness-map.html|backend-code-evidence-map.html"
"Заказ создан","red","Клиент / админ / support","Зафиксировать начало покупки, цену, услугу, источник и следующий шаг.","Order model/admin база найдены; paid flow описан.","Нет runtime proof заказа как начала консультации.","Создать test order без реального списания и показать событие в админке.","paid-consultation-launch-control.html|backend-code-evidence-map.html"
"Оплата успешна или тестово успешна","red","Клиент / админ / support / PM","Клиент понимает, что делать дальше; админ видит, что консультация должна начаться.","Есть payment/order база и тестовый сценарий без реальных платежей.","Нет no-send proof письма/события оплаты в полном маршруте.","Сформировать preview статуса оплаты и перевести клиента к вопросу.","paid-consultation-test-flow.html|email-notifications-handoff.html"
"Оплата не прошла","red","Клиент / support","Клиент получает понятный fallback, услуга не стартует ошибочно.","Failure state описан в paid flow.","Нет proof failed/canceled/pending states и сообщений.","Проверить failed/canceled/pending без создания задачи эксперту.","paid-consultation-launch-control.html|oracle-nebula-mvp-screen-readiness-map.html"
"Клиент не написал вопрос","red","Клиент / support / админ","Не потерять оплаченный заказ без вопроса клиента.","Статус “ожидает вопроса” описан как обязательный.","Нет proof очереди “без вопроса” и no-send напоминания.","Сделать событие и напоминание: заказ есть, вопрос не задан.","admin-operations-control-map.html|email-notifications-handoff.html"
"Вопрос принят","red","Клиент / админ / экспертская очередь","Вопрос связан с заказом и запускает назначение исполнителя.","Сценарий question -> consultation описан.","Нет runtime proof order -> question -> service session.","На test order показать вопрос в клиентской и админской зоне.","service-session-first-runtime-slice.html|paid-consultation-launch-control.html"
"Консультация назначена","red","Эксперт/агент / админ","Исполнитель получает работу, срок ответа и ссылку на чат.","Expert workspace и admin map описаны.","Нет proof assignment event на конкретной консультации.","Проверить ручное назначение исполнителя и уведомление в no-send режиме.","first-five-experts-launch-control.html|admin-operations-control-map.html"
"Скоро дедлайн","red","Эксперт/агент / админ","Предотвратить просрочку до того, как клиент начнет жаловаться.","SLA выделен как запусковый блокер.","Нет доказанного SLA timer/reminder.","Описать и проверить reminder за N минут/часов до дедлайна.","first-five-experts-launch-control.html|expert-work-regulation-v1.html"
"Просрочка ответа","red","Админ / support / исполнитель / PM","Сервис видит проблему и может переназначить, извиниться, компенсировать или удержать начисление.","Просрочка есть в event/admin/support картах.","Нет runtime proof overdue state.","На test order смоделировать просрочку и проверить очереди/уведомления.","admin-operations-control-map.html|support-refund-readiness.html"
"Ответ отправлен","red","Клиент / админ / PM","Клиент узнает, что консультация готова; система закрывает SLA и открывает оценку/follow-up.","Messages/chat база найдена.","Нет proof, что ответ связан с оплаченной консультацией и событием.","На test order отправить ответ и показать клиентский, экспертский и админский вид.","backend-code-evidence-map.html|paid-consultation-launch-control.html"
"Жалоба или обращение","red","Support / админ / PM","Проблема клиента не теряется и связывается с заказом, чатом, исполнителем.","Report/Block база и support handoff есть.","Нет полноценного support case proof для paid service.","Проверить сценарии: эксперт молчит, плохой ответ, оплата зависла.","support-refund-readiness.html|admin-operations-control-map.html"
"Решение support/refund","red","Клиент / support / админ / финансы / PM","Фиксируется решение: доработка, компенсация, отказ, возврат, влияние на качество.","Support/refund logic описана в Blue Panel.","Нет proof решения и связи с начислением/качеством.","Создать test support decision без реального возврата.","co2p-support-refund-service-session.html|expert-agent-compensation.html"
"Начисление эксперту/агенту","yellow","Эксперт/агент / админ / финансы","Исполнитель понимает, за что начислено, что ожидает проверки или удержано.","Balance/payment база и compensation handoff есть.","Нет test calculation по закрытой консультации.","После test order показать начисление/удержание без реальной выплаты.","expert-agent-compensation-handoff.html|first-five-experts-launch-control.html"
"Повторная продажа или follow-up","yellow","Клиент / PM / маркетинг","Создать причину вернуться и считать LTV/retention.","Retention/LTV выделены в маркетинговых материалах.","Нет данных и механики после первой консультации.","После первого успешного test order добавить follow-up сценарий и метрики.","marketing-economics-readiness-map.html|first-sales-economics.html"
"QA PASS/WARN/STOP","red","PM / Игорь / QA / заказчик","Публично доказать, что маршрут можно или нельзя показывать заказчику и вести к рекламе.","Есть QA-шаблоны и pre-traffic decision package.","Нет заполненного runtime отчета со скринами.","После внедрения пройти test order и опубликовать QA proof.","test-order-runtime-qa-report-template.html|pre-traffic-qa-decision-package.html"
