Work,Why,Result,Hours,Status,Proof
"Email-шаблоны, уведомления и рассылки","Клиент, эксперт и админ должны получать правильные статусы заказа.",Пакет событий и шаблонов с безопасной проверкой без реальной отправки.,18,В работе,notification-event-nosend-gate.html
Чат в админке для экспертов,Эксперт должен закрывать заказ внутри платформы.,Согласованный веб-контур для передачи Игорю.,20,На согласовании,https://cutthreat.github.io/confideline/web/admin-chat-workspace-v2/elements-dictionary-panel.html?tab=flow&v=fd72087a67ea33da42b0b2acc09d864d7f9d17bf
Доступ эксперта и рабочие вкладки,"Первые 5 экспертов должны видеть свои заказы, статусы и начисления.","Карта вкладок, ролей, назначений анкет и ограничений.",14,В работе,expert-runtime-proof-register.html
Панель обучения экспертов,Нужно обучить 5 экспертов и затем масштабировать набор.,"Структура школы: уроки, тест, регламент, ручной допуск.",16,Собирается,expert-school-v1-operational-pack.html
Регламент работы эксперта,"Без правил нельзя контролировать качество, сроки и стиль ответов.",Рабочий регламент и критерии проверки ответа.,10,Нужно закрыть,expert-work-regulation-v1.html
Контрольный заказ от клиента до ответа,Это главный доказательный шаг перед рекламой и первыми клиентами.,"Фактический отчет: можно запускать, можно с замечаниями или нельзя.",22,Ждет теста,runtime-proof-master-register.html
Support и проблемные ситуации,"Просрочка, плохой ответ или жалоба не должны ломать сервис.","Карта проблемных сценариев, статусов, владельцев и решений.",8,В работе,support-failure-state-gate.html
"Реестр страниц, экранов и связей с backend","Нужно понимать, где есть дизайн, функция, текст и админское управление.","Светофор экранов: подходит, требует доработки, нельзя брать в запуск.",16,В работе,frontend-screen-backend-content-gate.html
Маркетинг и первый трафик,"Трафик нельзя включать без экономики, stop-правил и доказанного пути.","Условия первого теста, CAC/LTV preflight и ограничения запуска.",12,В работе,first-traffic-cac-ltv-calculator.html
Документы сайта и дисклеймеры,Checkout и платная услуга требуют понятных условий и доверия.,HTML-ready пакет текстов и список мест размещения; финальная публикация только после approval.,10,Блокер трафика,legal-trust-launch-gate.html
Стратегия и мастер-план для Заказчика,Заказчик должен видеть объем работ без погружения во внутренний PM-контур.,"Короткая витрина решений, статусов, сроков и ссылок на доказательства.",8,Собрано,pm-objective-live-requirements-audit.html
Стандарт передачи задач команде,"Игорь, Антон, Ксения и QA должны получать готовые пакеты, а не хаос.","Единый стандарт: задача, макет, связь с backend, ТЗ, QA и результат.",6,Нужно обновить,co2p-runtime-implementation-handoff-index.html
