"Block","Status","What","Why","Next","Link"
"Главное решение","Красный","MVP нельзя считать готовым к клиентам, пока не доказан полный путь платной консультации.","Сейчас есть база, но нет runtime proof: заказ → вопрос → эксперт → ответ → поддержка → отчет.","Закрывать красный маршрут по 7 пунктам.","mvp-readiness-control.html"
"Июнь","Желтый","Делаем подготовку запуска: PM-контур, ТЗ/макеты, email, регламент, школа, рабочее место, проверка перед рекламой.","Это превращает наработки за несколько лет в управляемый план работ.","Согласовать июньский план и закрывать пакеты для Игоря/Ксении/QA.","june-plan.html"
"Backend","Желтый","Confideline является базой платформы: пользователи, админка, чат, модерация, support, события.","Бек есть, но Nebula-путь платной консультации не доказан.","Проверить test order и связку с админкой.","backend-admin-readiness-map.html"
"Frontend/дизайн","Желтый","Oracle/Nebula дизайн и публичная верстка найдены: 20 страниц, 14 экранных групп, 89 блоков.","Дизайн есть, но страницы еще не связаны с backend, контентом и проверкой.","Начать с главной, услуги, регистрации, заказа и кабинета.","frontend-design-readiness-map.html"
"Путь клиента","Красный","12 шагов клиентского пути: 8 красных, 4 желтых, 0 зеленых.","Путь от оффера до ответа и поддержки пока описан, но не доказан.","Собрать один сквозной test-flow без реальных платежей.","client-journey-readiness-map.html"
"Эксперты","Красный","Есть методика, школа, регламент и 5 экспертов, но работа эксперта в test order не доказана.","Без рабочего места, SLA, допуска и качества экспертский контур не выдержит клиентов.","Заполнить журнал допуска и проверить роль эксперта/агента в админке.","expert-contour-readiness-map.html"
"Маркетинг","Красный","Маркетинговую подготовку можно вести, платный трафик нельзя включать.","Без работающего пути клиента реклама покупает жалобы, refund и блокировки.","Готовить UTM, офферы, креативы, таблицу измерений и stop-сигналы.","marketing-economics-readiness-map.html"
"Документы","Красный","Terms, Privacy, Refund, FAQ, disclaimer и checkout copy нужны до запуска.","Legal/content drafts есть, но финальная публикация зависит от founder/legal/payment decisions.","Готовить HTML-ready drafts, не публиковать финальные документы до approval.","legal-docs-compliance-readiness-map.html"
"Рекламный тест","Красный","Первый малый тест возможен только после закрытия 9 условий приемки платной консультации.","Нужны доказательства: заказ, вопрос, эксперт, уведомления, поддержка, отчет.","Пройти контрольный пакет перед рекламой.","pre-traffic-paid-consultation-control.html"
"Следующий шаг PM","Желтый","Не расширять хаотично функции, а закрывать красный маршрут и переносить готовые задачи в Trello по месяцу.","Так Заказчик видит результат, Игорь получает готовые пакеты, QA знает что проверять.","Согласовать июнь и начать закрывать test order/workspace/support/legal/events.","team-action-queue.html"
