pa,what_proves,accepted,not_accepted,provider,acceptor,if_accepted,if_not_accepted
PA01,"Источник клиента сохранен","source/medium/campaign/content/term or source_id linked to session_id","ad screenshot without session link","Игорь/analytics","PM + QA","channel can be evaluated","test invalid for CAC"
PA02,"Session linked to order","session_id/client_id linked to order_id across login/checkout","order without session or session without order",Игорь,"PM + QA","LP to checkout to order funnel possible","client path unknown"
PA03,"Purchase/order event created","event_name,timestamp,order_id,status,test marker","database row without event or event without order_id",Игорь,"PM + QA","paid conversion can be counted","CAC/LTV not counted"
PA04,"Purchase amount known","value,currency,price package,payment/test status","offer amount without purchase event","Игорь/payment",PM,"revenue and margin can be counted","economics invalid"
PA05,"Payment/provider boundary clear","test/sandbox/mock mode, provider placeholder, no real charge proof","unclear real transaction risk","Игорь/founder later","PM + QA","safe test accepted; real launch gated","QA STOP payment risk"
PA06,"Order becomes service_session","service_session_id/consultation_id linked to order_id/question_id","purchase without consultation",Игорь,"PM + QA","economics linked to delivery","traffic buys undelivered service"
PA07,"Executor linked to order/session","expert_id/agent_id/profile_id, assignment timestamp, status","expert answer without order/session","Игорь/QA",PM,"capacity and cost per order possible","service cost cannot be counted"
PA08,"SLA/result status measurable","deadline, answer timestamp, completed/overdue status","answer without time/status","Игорь/QA",PM,"CAC can be linked to delivery quality","traffic cannot be evaluated by quality"
PA09,"Support/refund impact linked","support_case_id, reason, refund_review/credit/retry status, no real refund flag","complaint without order_id or refund note outside system","QA/support/Игорь",PM,"refund-risk included in margin","economics overstated"
PA10,"Repeat/retention measurable later","client_id/order history/follow-up marker without real send","LTV hypothesis without client_id/order history","Игорь/PM",PM,"D7/D14/D30 can be measured later","LTV not used for CAC limit"
PA11,"Daily report receives data","daily report fields filled from order/event/support/capacity sources","manual summary without primary proof links","PM/QA",PM,"day accepted as valid test","day management-invalid"
PA12,"Analytics errors visible","failed/missing event log, variable_missing, source_missing, owner, retry status","silent missing event",Игорь,"PM + QA","data can be repaired before traffic day","ad test cannot start"
