Список;Карточка;PM-статус;Слой запуска;Метки;Вложения;Комментарии;Чек-листы;Есть описание;Blue link;Trello link;Следующее действие
"План на июнь";"Отчет за июнь";"нужен разбор/решение";"Отчетность месяца";"";"9";"0";"0";"да";"june-plan.html";"https://trello.com/c/9esE7cSp/131-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-%D0%B8%D1%8E%D0%BD%D1%8C";"Использовать для месячного отчета после фактических результатов."
"План на июнь";"проанализировать вес контент из группы Небула и составить список непонятных вещей, вопросов и тд которые далее проработаем";"нужен разбор/решение";"Контент и банк знаний";"";"0";"0";"0";"нет";"launch-content-source-register-2026-06-06.html";"https://trello.com/c/LzB7e7qX/116-%D0%BF%D1%80%D0%BE%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D0%B2%D0%B5%D1%81-%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82-%D0%B8%D0%B7-%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0-%D0%B8-%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%D1%8C-%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA-%D0%BD%D0%B5%D0%BF%D0%BE%D0%BD%D1%8F%D1%82%D0%BD%D1%8B%D1%85-%D0%B2%D0%B5%D1%89%D0%B5%D0%B9-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D0%BE%D0%B2-%D0%B8-%D1%82%D0%B4-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D0%B5-%D0%B4%D0%B0%D0%BB%D0%B5%D0%B5-%D0%BF%D1%80%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D0%B5%D0%BC";"Извлечь материалы, вопросы и непонятные места в контент-реестр."
"План на июнь";"Поискать дизайнера для Nebula";"связано с планом";"Фронт, дизайн и макеты";"";"0";"2";"1";"да";"screen-contract-capture-sheet-2026-06-06.html";"https://trello.com/c/51amszof/118-%D0%BF%D0%BE%D0%B8%D1%81%D0%BA%D0%B0%D1%82%D1%8C-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D0%B0-%D0%B4%D0%BB%D1%8F-nebula";"Связать экран с backend, контентом, ошибками и QA."
"План на Июнь";"Codex plan";"связано с планом";"PM-контур и управление";"В работе, обновить";"5";"1";"1";"да";"june-plan.html";"https://trello.com/c/gJnFd2wT/298-codex-plan";"Сопровождать как систему управления задачами, proof и Blue Panel."
"План на Июнь";"Прогнать все макеты готовых ТЗ через Codex";"связано с планом";"Фронт, дизайн и макеты";"В работе";"16";"2";"1";"да";"screen-contract-capture-sheet-2026-06-06.html";"https://trello.com/c/awgleR9M/290-%D0%BF%D1%80%D0%BE%D0%B3%D0%BD%D0%B0%D1%82%D1%8C-%D0%B2%D1%81%D0%B5-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%82%D0%B7-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex";"Связать экран с backend, контентом, ошибками и QA."
"План на Июнь";"Email tempates";"связано с планом";"Email и уведомления";"В работе";"3";"0";"1";"да";"email-notifications-handoff.html";"https://trello.com/c/e8aFOO8G/299-email-tempates";"Держать как пакет событий, шаблонов, переменных и no-send проверки."
"План на Июнь";"Описать регламент работы на основе Nebula / PbExpert";"связано с планом";"Регламент экспертов";"В работе";"9";"0";"1";"да";"expert-work-regulation-v1.html";"https://trello.com/c/oZYN15XV/292-%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D1%8C-%D1%80%D0%B5%D0%B3%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B-%D0%BD%D0%B0-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B5-nebula-pbexpert";"Использовать как основу обучения и контроля качества."
"План на Июнь";"Продумать ЗП для сотрудников";"нужен разбор/решение";"Оплата и мотивация команды";"обновить, В работе";"4";"0";"1";"да";"expert-agent-compensation-handoff.html";"https://trello.com/c/bNsEmcDz/291-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B7%D0%BF-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2";"PM-пакет есть; финальные ставки остаются решением основателя."
"План на Июнь";"Школа экспертов для первых 5 экспертов";"нужен разбор/решение";"Школа и допуск экспертов";"В работе";"8";"0";"1";"да";"expert-launch-admission-control-2026-06-06.html";"https://trello.com/c/36nRKvdb/302-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D1%85-5-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2";"Довести до accepted proof по E01-E05."
"План на Июнь";"Пакет рабочего места эксперта и агента в админке";"связано с планом";"Рабочее место эксперта/агента";"ТЗ Игорю";"3";"0";"1";"да";"expert-agent-workspace-handoff.html";"https://trello.com/c/bRjDaHwL/303-%D0%BF%D0%B0%D0%BA%D0%B5%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B5%D1%81%D1%82%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%B0-%D0%B8-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%B0-%D0%B2-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B5";"Передавать Игорю как функциональный контур админки."
"План на Июнь";"Проверка страниц и функций перед запуском рекламы";"блокер запуска";"Pre-traffic QA и страницы";"В работе";"14";"0";"1";"да";"prelaunch-qa-capture-sheet-2026-06-06.html";"https://trello.com/c/A4zqo2EI/304-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D0%BE%D0%BC-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B";"Реклама запрещена до контрольного заказа и QA verdict."
"План на Июнь";"Работа с Антоном / дизайн";"связано с планом";"Фронт, дизайн и макеты";"Codex, На согласование";"5";"0";"1";"да";"screen-contract-capture-sheet-2026-06-06.html";"https://trello.com/c/rlMQoaVy/301-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%BC-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD";"Связать экран с backend, контентом, ошибками и QA."
"План на Июнь";"Новый макет страны / города";"нужен разбор/решение";"Отдельный geo-поток";"В работе";"0";"0";"1";"да";"trello-bluepanel-sync-control-2026-06-06.html";"https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0";"Не смешивать с Nebula MVP; учитывать отдельно."
"Стратегия";"ТЗ. Авто продвижение анкет агентов на сайте";"нужен разбор/решение";"Ранжирование и видимость экспертов";"Codex, Done. Testing";"0";"1";"0";"нет";"expert-visibility-moderation-control.html";"https://trello.com/c/bAu5gL1l/245-%D1%82%D0%B7-%D0%B0%D0%B2%D1%82%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B0%D0%BD%D0%BA%D0%B5%D1%82-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5";"Перенести в контур ранжирования/поднятия экспертов после runtime core."
"Стратегия";"seo-аудит от Оли";"нужен разбор/решение";"SEO и внешнее продвижение";"Codex, Done. Testing";"0";"1";"0";"да";"marketing-ltv-acquisition-control.html";"https://trello.com/c/OoNR6BFT/237-seo-%D0%B0%D1%83%D0%B4%D0%B8%D1%82-%D0%BE%D1%82-%D0%BE%D0%BB%D0%B8";"Использовать как pre-traffic подготовку, не как разрешение на запуск."
"Стратегия";"AI-ассистент по сводке диалога для экспертов и советы";"нужен разбор/решение";"Школа и допуск экспертов";"";"0";"0";"0";"да";"expert-launch-admission-control-2026-06-06.html";"https://trello.com/c/lj6vnWeG/259-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82-%D0%BF%D0%BE-%D1%81%D0%B2%D0%BE%D0%B4%D0%BA%D0%B5-%D0%B4%D0%B8%D0%B0%D0%BB%D0%BE%D0%B3%D0%B0-%D0%B4%D0%BB%D1%8F-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B8-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D1%8B";"Довести до accepted proof по E01-E05."
"Стратегия";"AI-ассистент на сайт (сбор инфы)";"нужен разбор/решение";"AI-помощники и автоматизация";"";"0";"1";"0";"да";"pm-autonomous-evidence-workqueue-2026-06-06.html";"https://trello.com/c/egrNDweI/261-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-%D1%81%D0%B1%D0%BE%D1%80-%D0%B8%D0%BD%D1%84%D1%8B";"Считать дочерней инициативой после доказанного core flow."
"Стратегия";"1.0 Составление стратегии продвижении и рекламы";"блокер запуска";"Pre-traffic QA и страницы";"Codex, Done. Testing";"2";"5";"2";"да";"prelaunch-qa-capture-sheet-2026-06-06.html";"https://trello.com/c/W5Ov5djR/171-10-%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D0%B8-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B8-%D0%B8-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B";"Реклама запрещена до контрольного заказа и QA verdict."
"Стратегия";"1.1 Анализ рынка и целевой аудитории";"связано с планом";"Рынок и аудитория";"";"0";"1";"1";"да";"strategy-decision-proof-map-2026-06-06.html";"https://trello.com/c/6VTMTt7b/208-11-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7-%D1%80%D1%8B%D0%BD%D0%BA%D0%B0-%D0%B8-%D1%86%D0%B5%D0%BB%D0%B5%D0%B2%D0%BE%D0%B9-%D0%B0%D1%83%D0%B4%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8";"Использовать как основание offer/traffic hypotheses."
"Стратегия";"1.2. Анализ конкурентов";"связано с планом";"Конкуренты";"";"0";"1";"1";"да";"strategy-decision-proof-map-2026-06-06.html";"https://trello.com/c/zQW2Htac/213-12-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7-%D0%BA%D0%BE%D0%BD%D0%BA%D1%83%D1%80%D0%B5%D0%BD%D1%82%D0%BE%D0%B2";"Использовать как benchmark, не как proof нашего сайта."
"Стратегия";"1.4. Поиск и работа с астрологами";"нужен разбор/решение";"Поиск и работа с экспертами";"Codex, Done. Testing";"0";"1";"1";"да";"expert-launch-admission-control-2026-06-06.html";"https://trello.com/c/Y5rPcPMI/214-14-%D0%BF%D0%BE%D0%B8%D1%81%D0%BA-%D0%B8-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B0%D0%BC%D0%B8";"Свести с текущими 5 экспертами и школой допуска."
"Стратегия";"1.5. Техническая часть";"блокер запуска";"Техническая часть";"Codex, Done. Testing";"0";"2";"1";"да";"mvp-launch-readiness-backlog-2026-06-06.html";"https://trello.com/c/K7Sn0ey2/215-15-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D1%87%D0%B0%D1%81%D1%82%D1%8C";"Требует runtime proof backend/admin/client path."
