id;слой;элемент;статус;вывод;proof;следующий шаг
"R01";"Управление проектом";"Blue panel как мастер-план";"Желтый";"Blue panel опубликована, есть мастер-план, план июня, JUN-02/JUN-08, правило обновить. Нужно довести до единого readiness cockpit с proof по всем слоям.";"https://cutthreat.github.io/confideline/web/blue-panel/index.html";"Добавить MVP-readiness matrix и Trello source map."
"R02";"Trello";"План на июнь";"Желтый";"Есть список План на Июнь и июньские карточки. Назначение карточек связано с Blue panel. Нужно ежедневно сверять метку обновить и фактический статус выполнения.";"https://trello.com/b/84Q9ZqxP/dev-process";"Ввести ежедневный PM-sync: обновить → синхронизация → комментарий."
"R03";"Trello";"Метка обновить как источник истины";"Зеленый";"Метка создана, правило опубликовано, процесс зафиксирован. Технический мониторинг еще не автоматизирован.";"https://cutthreat.github.io/confideline/web/blue-panel/docs/trello-update-label-rule.html?v=a736af7";"Добавить в Trello source map список карточек с этой меткой."
"R04";"Стратегия";"Стратегическая доска Trello";"Желтый";"Список Стратегия существует, часть материалов уже обработана. Нужно полностью вытащить карточки, архив, комментарии и закрытые Google/Figma источники.";"Trello list: Стратегия";"Сделать source map стратегии и пометить недоказанные источники."
"R05";"Backend";"Confideline admin/backend";"Желтый";"Админская поверхность и route map ранее доказаны, но end-to-end P0 путь не подтвержден текущим live QA.";"https://cutthreat.github.io/confideline/web/qa-reports/";"Запустить/собрать P0 test cockpit по клиент→оплата→чат→support."
"R06";"Frontend/design";"Oracle/Nebula дизайн";"Красный";"Понимание есть, но полный экранный реестр дизайн→backend→контент→QA еще не доказан по всем макетам.";"https://cutthreat.github.io/confideline/web/blue-panel/docs/oracle-nebula-design-backend-content-qa.html?v=3741d2d";"Собрать дизайн-карту: PNG/Figma экран, backend dependency, content, QA."
"R07";"Клиентский путь";"Оффер и лендинг";"Желтый";"Есть стратегия platform-first и Nebula упаковка, но live Confideline не является финальным frontend.";"Blue panel strategy/master plan";"Сопоставить legacy page → Nebula page → final content/CTA/trust."
"R08";"Клиентский путь";"Регистрация/вход";"Красный";"Наличие backend не равно готовности. Нет свежего proof, что auth path готов для paid traffic.";"JUN-08 registry";"Добавить в P0 QA: guest/auth/email recovery сценарии."
"R09";"Платежи";"Checkout/payment path";"Красный";"Юрлицо/payment provider пока сознательно вынесены за рамки, реальные платежи не запускаем. No-real-payment QA нужен.";"JUN-08 registry";"Сделать test checkout/failure state без реальных платежей."
"R10";"Чат";"Admin chat и paid session lifecycle";"Желтый";"Есть web-контур admin chat workspace v2 и Trello задача JUN-07. Требуется co2p и backend связка.";"https://cutthreat.github.io/confideline/web/admin-chat-workspace-v2/elements-dictionary-panel.html?tab=flow&v=fd72087a67ea33da42b0b2acc09d864d7f9d17bf";"Допаковать в задачу Игорю: роли, SLA, состояния, QA."
"R11";"Эксперты";"Кабинет/роль эксперта и агента";"Красный";"Админка как вкладки по ролям есть концептуально, но готовый экспертский контур не доказан.";"JUN-07 / JUN-08";"Сделать role map: эксперт, агент, модератор, support, admin."
"R12";"Обучение";"Школа первых 5 экспертов";"Желтый";"Материалы обучения есть в Trello, но их нужно полноценно извлечь из вложений и комментариев, затем оформить в панель обучения.";"Trello training cards / Nebula/PbExpert";"Собрать lesson map, тесты, допуск, задание Ксении как ревизору."
"R13";"Support";"Тикеты, жалобы, refund";"Желтый";"Есть карточка support и admin route support, но единый support/refund flow не доказан.";"https://trello.com/c/IRQiN429";"Сформировать co2p support/refund/failure states."
"R14";"Email";"Email, уведомления, рассылки";"Желтый";"Есть админский email-контур и материалы, но event map/variables/no-send QA должны быть закрыты в JUN-03.";"https://cutthreat.github.io/confideline/web/qa-reports/nebula-email-admin-upload-2026-05-25/?v=4f19983";"Собрать event map по клиенту/эксперту/admin/support/payments."
"R15";"Legal/content";"Terms, Privacy, Refund, FAQ, дисклеймеры";"Красный";"Документы/страницы обсуждались, но HTML-ready пакет и финальный legal gate не доказаны.";"Blue panel legal package placeholder";"Собрать пакет, не публиковать без founder/legal/payment approval."
"R16";"Маркетинг";"Трафик, CAC/LTV, retention";"Красный";"Исследования рынка есть, но нет текущей операционной модели CAC/LTV и readiness gate до трафика.";"Strategy notes / Blue panel";"Сформировать unit economics assumptions и pre-traffic gate."
"R17";"QA";"Проверка перед запуском рекламы и проблемные сценарии";"Желтый";"Есть QA reports и JUN-08 первая версия. Нужно сделать проход по всем обязательным сценариям запуска и proof screenshots.";"https://cutthreat.github.io/confideline/web/qa-reports/";"Собрать чек-лист проверки перед запуском рекламы: PASS/FAIL, owner, retest."
"R18";"Аналитика";"Эксперт/агент/admin metrics";"Красный";"Есть dashboard/statistics карточки, но P0 метрики SLA, revenue, quality, refund, repeat не доказаны.";"https://trello.com/c/whZiCsxv";"Сформировать analytics P0 requirements и связать с dashboard."
