locale,label,slug,file
original,Оригинал,legal,original/legal.html
original,Оригинал,about,original/about.html
original,Оригинал,terms-and-conditions,original/terms-and-conditions.html
original,Оригинал,privacy-policy,original/privacy-policy.html
original,Оригинал,cookie-policy,original/cookie-policy.html
original,Оригинал,payment-subscription-terms,original/payment-subscription-terms.html
original,Оригинал,refund-policy,original/refund-policy.html
original,Оригинал,community-guidelines,original/community-guidelines.html
original,Оригинал,disclaimer,original/disclaimer.html
original,Оригинал,safety,original/safety.html
original,Оригинал,anti-scam,original/anti-scam.html
original,Оригинал,notice-action-appeals,original/notice-action-appeals.html
original,Оригинал,ip-complaints,original/ip-complaints.html
original,Оригинал,legal-notice-contact,original/legal-notice-contact.html
original,Оригинал,consultant-terms,original/consultant-terms.html
original,Оригинал,code-of-ethics,original/code-of-ethics.html
original,Оригинал,aml-kyc-policy,original/aml-kyc-policy.html
original,Оригинал,earnings-disclaimer,original/earnings-disclaimer.html
ar-AR,العربية,legal,ar-AR/legal.html
ar-AR,العربية,about,ar-AR/about.html
ar-AR,العربية,terms-and-conditions,ar-AR/terms-and-conditions.html
ar-AR,العربية,privacy-policy,ar-AR/privacy-policy.html
ar-AR,العربية,cookie-policy,ar-AR/cookie-policy.html
ar-AR,العربية,payment-subscription-terms,ar-AR/payment-subscription-terms.html
ar-AR,العربية,refund-policy,ar-AR/refund-policy.html
ar-AR,العربية,community-guidelines,ar-AR/community-guidelines.html
ar-AR,العربية,disclaimer,ar-AR/disclaimer.html
ar-AR,العربية,safety,ar-AR/safety.html
ar-AR,العربية,anti-scam,ar-AR/anti-scam.html
ar-AR,العربية,notice-action-appeals,ar-AR/notice-action-appeals.html
ar-AR,العربية,ip-complaints,ar-AR/ip-complaints.html
ar-AR,العربية,legal-notice-contact,ar-AR/legal-notice-contact.html
ar-AR,العربية,consultant-terms,ar-AR/consultant-terms.html
ar-AR,العربية,code-of-ethics,ar-AR/code-of-ethics.html
ar-AR,العربية,aml-kyc-policy,ar-AR/aml-kyc-policy.html
ar-AR,العربية,earnings-disclaimer,ar-AR/earnings-disclaimer.html
ca-ES,Català,legal,ca-ES/legal.html
ca-ES,Català,about,ca-ES/about.html
ca-ES,Català,terms-and-conditions,ca-ES/terms-and-conditions.html
ca-ES,Català,privacy-policy,ca-ES/privacy-policy.html
ca-ES,Català,cookie-policy,ca-ES/cookie-policy.html
ca-ES,Català,payment-subscription-terms,ca-ES/payment-subscription-terms.html
ca-ES,Català,refund-policy,ca-ES/refund-policy.html
ca-ES,Català,community-guidelines,ca-ES/community-guidelines.html
ca-ES,Català,disclaimer,ca-ES/disclaimer.html
ca-ES,Català,safety,ca-ES/safety.html
ca-ES,Català,anti-scam,ca-ES/anti-scam.html
ca-ES,Català,notice-action-appeals,ca-ES/notice-action-appeals.html
ca-ES,Català,ip-complaints,ca-ES/ip-complaints.html
ca-ES,Català,legal-notice-contact,ca-ES/legal-notice-contact.html
ca-ES,Català,consultant-terms,ca-ES/consultant-terms.html
ca-ES,Català,code-of-ethics,ca-ES/code-of-ethics.html
ca-ES,Català,aml-kyc-policy,ca-ES/aml-kyc-policy.html
ca-ES,Català,earnings-disclaimer,ca-ES/earnings-disclaimer.html
cs-CZ,Čeština,legal,cs-CZ/legal.html
cs-CZ,Čeština,about,cs-CZ/about.html
cs-CZ,Čeština,terms-and-conditions,cs-CZ/terms-and-conditions.html
cs-CZ,Čeština,privacy-policy,cs-CZ/privacy-policy.html
cs-CZ,Čeština,cookie-policy,cs-CZ/cookie-policy.html
cs-CZ,Čeština,payment-subscription-terms,cs-CZ/payment-subscription-terms.html
cs-CZ,Čeština,refund-policy,cs-CZ/refund-policy.html
cs-CZ,Čeština,community-guidelines,cs-CZ/community-guidelines.html
cs-CZ,Čeština,disclaimer,cs-CZ/disclaimer.html
cs-CZ,Čeština,safety,cs-CZ/safety.html
cs-CZ,Čeština,anti-scam,cs-CZ/anti-scam.html
cs-CZ,Čeština,notice-action-appeals,cs-CZ/notice-action-appeals.html
cs-CZ,Čeština,ip-complaints,cs-CZ/ip-complaints.html
cs-CZ,Čeština,legal-notice-contact,cs-CZ/legal-notice-contact.html
cs-CZ,Čeština,consultant-terms,cs-CZ/consultant-terms.html
cs-CZ,Čeština,code-of-ethics,cs-CZ/code-of-ethics.html
cs-CZ,Čeština,aml-kyc-policy,cs-CZ/aml-kyc-policy.html
cs-CZ,Čeština,earnings-disclaimer,cs-CZ/earnings-disclaimer.html
de-DE,Deutsch,legal,de-DE/legal.html
de-DE,Deutsch,about,de-DE/about.html
de-DE,Deutsch,terms-and-conditions,de-DE/terms-and-conditions.html
de-DE,Deutsch,privacy-policy,de-DE/privacy-policy.html
de-DE,Deutsch,cookie-policy,de-DE/cookie-policy.html
de-DE,Deutsch,payment-subscription-terms,de-DE/payment-subscription-terms.html
de-DE,Deutsch,refund-policy,de-DE/refund-policy.html
de-DE,Deutsch,community-guidelines,de-DE/community-guidelines.html
de-DE,Deutsch,disclaimer,de-DE/disclaimer.html
de-DE,Deutsch,safety,de-DE/safety.html
de-DE,Deutsch,anti-scam,de-DE/anti-scam.html
de-DE,Deutsch,notice-action-appeals,de-DE/notice-action-appeals.html
de-DE,Deutsch,ip-complaints,de-DE/ip-complaints.html
de-DE,Deutsch,legal-notice-contact,de-DE/legal-notice-contact.html
de-DE,Deutsch,consultant-terms,de-DE/consultant-terms.html
de-DE,Deutsch,code-of-ethics,de-DE/code-of-ethics.html
de-DE,Deutsch,aml-kyc-policy,de-DE/aml-kyc-policy.html
de-DE,Deutsch,earnings-disclaimer,de-DE/earnings-disclaimer.html
en-US,English (US),legal,en-US/legal.html
en-US,English (US),about,en-US/about.html
en-US,English (US),terms-and-conditions,en-US/terms-and-conditions.html
en-US,English (US),privacy-policy,en-US/privacy-policy.html
en-US,English (US),cookie-policy,en-US/cookie-policy.html
en-US,English (US),payment-subscription-terms,en-US/payment-subscription-terms.html
en-US,English (US),refund-policy,en-US/refund-policy.html
en-US,English (US),community-guidelines,en-US/community-guidelines.html
en-US,English (US),disclaimer,en-US/disclaimer.html
en-US,English (US),safety,en-US/safety.html
en-US,English (US),anti-scam,en-US/anti-scam.html
en-US,English (US),notice-action-appeals,en-US/notice-action-appeals.html
en-US,English (US),ip-complaints,en-US/ip-complaints.html
en-US,English (US),legal-notice-contact,en-US/legal-notice-contact.html
en-US,English (US),consultant-terms,en-US/consultant-terms.html
en-US,English (US),code-of-ethics,en-US/code-of-ethics.html
en-US,English (US),aml-kyc-policy,en-US/aml-kyc-policy.html
en-US,English (US),earnings-disclaimer,en-US/earnings-disclaimer.html
es-ES,Español (España),legal,es-ES/legal.html
es-ES,Español (España),about,es-ES/about.html
es-ES,Español (España),terms-and-conditions,es-ES/terms-and-conditions.html
es-ES,Español (España),privacy-policy,es-ES/privacy-policy.html
es-ES,Español (España),cookie-policy,es-ES/cookie-policy.html
es-ES,Español (España),payment-subscription-terms,es-ES/payment-subscription-terms.html
es-ES,Español (España),refund-policy,es-ES/refund-policy.html
