"Block","Owner","Need","Acceptance","Proof"
"Очередь моих консультаций","Игорь","Эксперт/агент видит список только своих service_session: новые, назначенные, в работе, просроченные, спорные, закрытые.","Под ролью эксперта видны только назначенные консультации; админ видит все; агент видит свою зону/анкеты.","expert-agent-workspace-handoff.html; co2p-paid-consultation-service-session.html"
"Карточка service_session","Игорь","В карточке есть заказ, клиент, вопрос, язык, категория, экспертская анкета, исполнитель, дедлайн, payment/test status, support status.","Из карточки можно понять, что делать дальше, без поиска по разным разделам админки.","co2p-paid-consultation-service-session.html; expert-agent-workspace-readiness.html"
"Назначение и переназначение","Игорь + PM","Админ назначает эксперта/агента, меняет исполнителя, фиксирует причину, запускает/перезапускает SLA.","История назначений хранит кто, когда, кого назначил и почему; исполнитель получает no-send событие.","expert-agent-workspace-igor-qa-package.html; events.html"
"SLA и просрочка","Игорь + QA","Для каждой консультации есть дедлайн ответа, предупреждение до просрочки, overdue status и escalation.","QA может искусственно довести консультацию до просрочки и увидеть уведомление/очередь support.","expert-work-regulation-v1.html; expert-agent-workspace-handoff.html"
"Рабочий чат ответа","Игорь","Чат привязан к service_session: вопрос, история сообщений, черновик ответа, отправка, статус ответа, видимость для клиента.","Ответ нельзя отправить в неправильный общий dating-чат; support и админ видят связанный контекст.","admin-chat-workspace-v2-handoff.html; co2p-paid-consultation-service-session.html"
"Подсказки и база знаний","Игорь + PM","Из карточки доступны регламент, школа, примеры ответов, запреты, FAQ, безопасные формулировки и Ksenia review после появления.","Эксперт видит нужные инструкции в рабочем месте, не ищет документы в Trello/Drive.","expert-training-all-lessons-extraction.html; expert-work-regulation-v1.html; ksenia-review-ready-package.html"
"Качество ответа","Игорь + QA/модератор","Модератор может оценить ответ: персональность, структура, безопасность, срок, платформенность, следующий шаг.","Оценка связана с service_session, исполнителем, жалобой и влияет на видимость/обучение.","expert-quality-moderation.html"
"Видимость и нагрузка","Игорь + PM","Админ видит доступность, лимит активных консультаций, просрочки, качество, ручной lift/down/pause/ban.","Сильные и доступные эксперты поднимаются выше; перегруженные/слабые ограничиваются без ручного хаоса.","expert-quality-moderation.html; expert-agent-workspace-readiness.html"
"Начисления в test-mode","Игорь + PM","После ответа создается тестовое начисление по service_session: исполнитель, сумма, статус, причина, удержание/бонус.","Эксперт/агент видит только свои начисления; админ видит все; спор удерживает начисление.","expert-agent-compensation-handoff.html"
"Support/failure связь","Игорь + support","Если клиент жалуется, эксперт/агент/админ видит связанный support ticket и статус спора без лишних персональных данных.","Сценарии: эксперт молчит, ответ плохой, клиент просит возврат, чат завис — видны в одной карточке.","support-refund-igor-qa-package.html; support-refund-readiness.html"
"QA proof одного заказа","QA/tester + PM","Тестировщик проходит: назначение → эксперт открыл → ответил → модератор оценил → начисление создано → клиент видит ответ.","Публичный QA-report со скринами по ролям: админ, эксперт/агент, клиент, support.","test-order-runtime-proof-plan.html; pre-traffic-qa-decision-package.html"
