"layer","status","color","fact","missing","next_step","evidence"
"Стратегия и мастер-план","можно опираться","green","Стратегия, мастер-план, июньский план, страница для Алексея и связь с Trello опубликованы.","Нужна регулярная сверка после каждого изменения карточек и proof-результата.","Поддерживать Blue Panel как главный реестр решений.","strategy-board.html;june-plan.html;alexey-master-plan.html;trello-current-source-snapshot.html"
"Trello и управление задачами","рабочий контур","yellow","Снят read-only снимок: 10 карточек июня, 17 карточек стратегии, метка “обновить” есть на доске.","Карточки не имеют текущих статусных меток; checklist часто означает PM-пакет, а не внедрение.","Обновлять статусы через смысловую матрицу, не переименовывая карточки.","trello-current-source-snapshot.html;june-card-fact-readiness.html"
"Backend Confideline","база есть","yellow","В Blue Panel зафиксировано: есть пользователи, чат, заказы, роли, админские зоны, платежные и email-контуры.","Не доказан один полный путь консультации от заказа до ответа и админского контроля.","Игорю связать safe checkout, заказ, вопрос, сессию, рабочее место и support-state.","backend-admin-readiness-map.html;test-order-readiness-gate.html;artifacts/TEST_ORDER_GATE_BACKEND_EVIDENCE_2026_06_05.csv"
"Frontend Oracle/Nebula","макеты есть","yellow","Есть локальный контур Oracle/Nebula, карта экранов и пакет правок Антону.","Не подтверждено, что ключевые экраны сверстаны и связаны с backend, контентом и состояниями заказа.","Начать с платной воронки: оффер, оплата, вопрос, чат, ответ, support.","oracle-nebula-mvp-screen-readiness-map.html;oracle-nebula-design-backend-content-qa.html;anton-oracle-nebula-design-fixes.html"
"Клиентский путь платной консультации","блокирует запуск","red","Маршрут описан и подготовлены пакеты для контрольного заказа.","Нет прохождения одного заказа на рабочем сайте без реального списания и без реальных писем.","Закрыть gate, подготовить фикстуры, получить READY от Игоря и запустить QA-проход.","test-order-runtime-cockpit.html;test-order-gate-current-verdict.html;test-order-fixture-readiness-sheet.html"
"Эксперты и обучение","пакет есть","yellow","Материалы обучения, регламент v1, школа v1 и пакет Ксении подготовлены.","Не доказано, что конкретные 5 экспертов прошли обучение, тест и симуляцию ответа.","Заполнить журнал допуска 5 экспертов и проверить тестовые ответы.","expert-training-materials-register.html;expert-school-v1-operational-pack.html;first-five-expert-admission-journal.html;ksenia-review-ready-package.html"
"Рабочее место эксперта и агента","не доказано","red","Пакет рабочего места подготовлен: задачи, чат, сроки, статусы, начисления, видимость админа.","Нет proof, что рабочее место связано с реальным заказом и работает для исполнителя.","Игорю внедрить связку; QA проверить задачу, срок, ответ, статус и начисление.","expert-agent-workspace-handoff.html;co2p-expert-agent-workspace-service-session.html;june-card-fact-readiness.html"
"Админка и операционный контроль","не доказано","red","Описано, что админ должен видеть заказ, вопрос, назначение, сроки, ответ, проблему и начисления.","Не доказано, что админ видит весь путь без ручного поиска и догадок.","На контрольном заказе показать admin route и сделать скрины/лог статусов.","admin-ops.html;backend-admin-readiness-map.html;test-order-handoff-bundle.html"
"Email, уведомления и события","не доказано","red","Подготовлены события, шаблоны, получатели, переменные и подход no-send.","Нет журнала событий по тестовому заказу; не доказано, что письма не уходят реальным людям.","Включить no-send, проверить события заказа, вопроса, назначения, дедлайна, ответа и support.","email-notifications-handoff.html;events-notifications-launch-control.html;qa-test-order-preflight.html"
"Support и проблемные ситуации","не доказано","red","Сценарии просрочки, плохого ответа, жалобы и возврата описаны как часть запуска.","Не доказано, что проблема клиента связана с заказом, чатом, экспертом и решением поддержки.","Включить минимум один problem state в QA-проход контрольного заказа.","support-refund-launch-control.html;test-order-runtime-cockpit.html;qa-test-order-execution-brief.html"
"Документы, дисклеймеры и checkout-тексты","готовить можно","yellow","Есть понимание legal-документов, disclaimer, refund wording и мест показа условий.","Финальные seller/payment/refund решения отложены, поэтому публикация как финальных документов запрещена.","Готовить HTML-ready пакет с переменными, но держать legal/payment gate.","legal-docs-readiness.html;legal-content-package.html;co2p-legal-checkout-public-docs.html"
"Оплата, начисления и экономика команды","модель есть","yellow","Модель ЗП, начислений, бонусов, удержаний и вопросов основателя подготовлена.","Не утверждены ставки, валюта, правила выплат; не проверено начисление на тестовом заказе.","Получить решения основателя, затем проверить начисления после контрольного заказа.","expert-agent-compensation.html;expert-agent-compensation-handoff.html;founder-compensation-decisions.html"
"Маркетинг, трафик, CAC/LTV","запуск запрещен","red","Есть рамка рекламного теста, stop-сигналы и связь с оффером/повторными касаниями.","Нет QA PASS по заказу, нет фактической пропускной способности 5 экспертов, нет данных первой продажи.","Не покупать трафик до контрольного заказа и базовой аналитики.","marketing-traffic-launch-control.html;launch-before-traffic-action-plan.html;first-sales-economics.html"
"QA и доказательство перед рекламой","главный блокер","red","Подготовлены preflight, фикстуры, задача QA, задача Игорю и пульт контрольного заказа.","Нет runtime PASS/WARN/STOP отчета с экранами и фактами.","После READY от Игоря запустить QA-проход и обновить весь светофор по фактам.","qa-test-order-preflight.html;qa-test-order-execution-brief.html;test-order-handoff-bundle.html"
