"sort","key","name","type_id","type_label","count_user_settings","subject_email","event_name","condition_id","delay","source_trigger","needs_new_backend_event","when_to_send","why_send","settings_reason","backend_gate","import_decision","test_scenario","required_backend_variables"
"0","user_registration","Регистрация пользователя","1","service","0","Добро пожаловать в {{siteName}}","user.register","0","0","user_registered","False","Сразу после создания аккаунта по событию user.register.","Это отдельное welcome/service-письмо: оно подтверждает факт регистрации, но не заменяет письмо подтверждения email.","Сервисное письмо, type_id 1, event user.register, condition_id 0, delay 0, count_user_settings 0.","Пользователь создан; письмо не должно отправляться повторно для условий 1/3 days; подтверждение email обрабатывается отдельным user.email_confirmation.","Загружать в отдельный User registration / No conditions шаблон. Не подменять им Email confirmation.","Создать тестового пользователя; проверить welcome-письмо, затем отдельно проверить email confirmation.","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, termsUrl, userName"
"1","email_confirmation","Подтверждение email","1","service","0","Подтвердите email для {{siteName}}","user.email_confirmation","0","0","email_confirmation_required","False","Сразу после регистрации или смены email, когда адрес еще не подтвержден.","Закрывает базовый доступ и доставляемость: пользователь подтверждает адрес, а сервис получает рабочий email для критичных уведомлений.","Сервисное письмо, без учета пользовательских email-настроек, без задержки и без дополнительных условий.","У пользователя есть неподтвержденный email; confirmation token активен; письмо не отправлялось повторно слишком часто.","Можно импортировать первым, но backend-trigger все равно подтвердить в актуальном коде.","Создать тестового пользователя или запросить повторное подтверждение email; проверить ссылку, срок действия и отсутствие жесткого рабочего названия проекта в тексте.","confirmationExpiresAt, confirmUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, termsUrl, userName"
"2","password_reset","Сброс пароля","1","service","0","Сброс пароля для {{siteName}}","user.password_recovery","0","0","password_reset_requested","True","Сразу после запроса восстановления пароля.","Критичное security-письмо: пользователь должен быстро и безопасно восстановить доступ.","Сервисное письмо, без opt-out, delay 0, condition 0. Не должно зависеть от маркетинговых настроек.","Запрос восстановления создан; reset token активен; не превышен rate limit; email принадлежит найденному аккаунту или используется безопасный одинаковый ответ.","Нужен backend event или привязка к текущему mailer восстановления пароля.","Запросить восстановление пароля на тестовом аккаунте; проверить одноразовость ссылки, срок действия и отсутствие раскрытия существования аккаунта.","legalMerchantName, privacyUrl, refundPolicyUrl, resetExpiresAt, resetUrl, siteName, siteUrl, supportEmail, termsUrl, userName"
"3","security_change_alert","Изменение безопасности","1","service","0","Изменение безопасности в аккаунте {{siteName}}","security.security_change","0","0","security_setting_changed","True","Сразу после изменения пароля, email, 2FA или другого чувствительного параметра аккаунта.","Снижает риск захвата аккаунта: пользователь видит подозрительное изменение и может обратиться в поддержку.","Сервисное security-письмо, без пользовательского opt-out, delay 0, condition 0.","Изменение безопасности действительно сохранено; есть тип изменения, время, IP/устройство если это разрешено политикой приватности.","Нужен новый backend event и согласованный список типов security-событий.","Изменить пароль/2FA в тестовом аккаунте; проверить, что письмо не содержит лишних персональных или технических данных.","accountSecurityUrl, legalMerchantName, privacyUrl, refundPolicyUrl, securityChangedAt, siteName, siteUrl, supportEmail, termsUrl, userName"
"4","payment_success_receipt","Оплата подтверждена","1","service","0","Оплата подтверждена: чат-консультация {{siteName}} готова","payment.success","0","0","payment_success","False","Сразу после успешного подтверждения платежа платежным провайдером.","Дает пользователю уверенность, чек/статус оплаты и быстрый переход к чату с экспертом.","Сервисное платежное письмо, delay 0, condition 0, без учета маркетинговых настроек.","Платеж имеет финальный success/paid status; заказ связан с консультацией; сумма и orderId доступны.","Event есть в dropdown, но нужен реальный trigger от платежного контура.","Провести тестовую оплату/sandbox callback; проверить сумму, orderId, ссылку на чат и отсутствие дублей при повторном webhook.","advisorName, amount, chatUrl, currency, firstResponseSla, legalMerchantName, merchantDescriptor, orderId, paidAt, privacyUrl, receiptUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, termsUrl, userName"
"5","payment_failed","Оплата не прошла","1","service","0","Оплата не прошла","payment.error","0","0","payment_failed","False","После финального отказа платежа или ошибки, когда пользователь может повторить попытку.","Снижает потерю оплачиваемого сценария: объясняет статус и дает аккуратный путь повторить оплату.","Сервисное письмо, delay 0, condition 0. Не отправлять на каждую промежуточную provider-ошибку.","Платеж в failed/error status; заказ не оплачен; доступна безопасная ссылка повторной оплаты.","Event есть в dropdown, но нужно подтвердить точку вызова и дедупликацию.","Смоделировать failed payment; проверить один email на одну попытку и корректный retry URL.","amount, checkoutUrl, currency, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportUrl, termsUrl, userName"
"6","payment_started","Оплата начата, но не завершена","3","marketing","1","Вы можете завершить оплату чат-консультации","payment.init","0","2","payment_started_not_completed","False","Через 2 часа после начала оплаты, только если заказ остался неоплаченным.","Аккуратное восстановление незавершенного платежа без давления: пользователь мог закрыть страницу или потерять ссылку.","Маркетингово-поведенческое письмо: type_id 3, count_user_settings 1, event payment.init, delay 2, condition 0.","Payment init создан; success/error/refund не наступили; нет более свежей успешной оплаты по этому заказу; пользователь не отписан от таких писем.","Event есть в dropdown, но delay должен работать как отложенная проверка состояния, а не как мгновенный email.","Создать платеж и не завершать его; через тестовый delay проверить, что письмо уходит только для unpaid order. При success/error до delay письмо должно быть отменено.","amount, checkoutUrl, currency, emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName"
"7","paid_chat_no_message_reminder","Оплаченный чат без первого сообщения","2","behavior","0","Чат с экспертом доступен - осталось написать сообщение","message.no_first_chat_message","5","2","paid_chat_no_message_after_delay","True","Через 2 часа после оплаты/открытия чата, если пользователь так и не написал первое сообщение.","Сохраняет ценность оплаченной консультации: пользователь купил доступ, но не сделал главный шаг.","Поведенческое сервисное письмо: type_id 2, condition_id 5 No messages, delay 2, count_user_settings 0.","Чат оплачен и активен; от пользователя нет первого сообщения; консультация не закрыта; reminder еще не отправлялся.","Нужен новый backend event или cron/queue job с проверкой no messages.","Оплатить тестовый чат и не писать сообщение; проверить отправку после delay и отсутствие письма, если сообщение появилось до delay.","chatUrl, legalMerchantName, orderId, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportUrl, termsUrl, userName"
"8","chat_message_received","Сообщение клиента принято","2","behavior","0","Сообщение принято: эксперт получил ваш чат","message.received","0","0","customer_chat_message_submitted","False","Сразу после отправки пользователем сообщения в чат, обычно первого или важного сообщения.","Снимает тревогу после оплаты: пользователь понимает, что сообщение принято и эксперт его увидит.","Поведенческое уведомление, delay 0, condition 0. Нужно отличать направление client -> advisor.","Создано сообщение от клиента; чат активен; это не системное сообщение; событие не должно сработать на ответ эксперта.","Event message.received есть в dropdown, но нужен direction/context, иначе конфликт с письмом ответа эксперта.","Отправить сообщение клиентом; проверить, что уходит это письмо, а не advisor_chat_reply_ready.","advisorName, answerDueAt, chatUrl, consultationId, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, userName"
"9","chat_sla_delay","Ответ эксперта задерживается","2","behavior","0","Статус чата: ответ задерживается","message.answer_delayed","0","0","chat_answer_sla_delay_detected","True","Когда SLA ответа нарушен или приближается к нарушению, а ответа эксперта все еще нет.","Предотвращает недоверие и обращения в поддержку: пользователь видит, что сервис контролирует задержку.","Поведенческое сервисное письмо, delay 0 на момент SLA job, condition 0. Сам delay должен жить в SLA job, не в шаблоне.","Есть активный оплаченный чат; клиент ждет ответа; SLA threshold достигнут; эксперт еще не ответил; письмо не отправлялось ранее по этой задержке.","Нужен новый backend event/message.answer_delayed и SLA-проверка.","Создать чат без ответа эксперта и искусственно сдвинуть время; проверить одно письмо и отмену, если эксперт ответил.","answerDueAt, chatUrl, consultationId, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseUrl, termsUrl, updatedAnswerEta, userName"
"10","advisor_chat_reply_ready","Эксперт ответил в чате","2","behavior","0","Эксперт ответил в чате","message.received","0","0","advisor_chat_reply_created","False","Сразу после публикации ответа эксперта клиенту.","Главное retention-письмо консультации: возвращает пользователя в кабинет к готовому ответу.","Поведенческое уведомление, delay 0, condition 0. Нужно отличать направление advisor -> client.","Создан ответ эксперта; ответ видим клиенту; клиент не находится уже в активном чате/не получил realtime-уведомление в той же сессии.","Event message.received есть в dropdown, но нужен direction/context или отдельный event, чтобы не конфликтовать с chat_message_received.","Создать ответ эксперта; проверить, что письмо ушло клиенту и содержит ссылку на конкретный чат.","advisorName, chatUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName"
