"Screen","Why","Design","Backend","Content","Proof","Status","Next"
"Landing / offer","understand service, format, price, disclaimer","Oracle/Nebula offer mockup","CTA to order flow","offer, FAQ, disclaimer, trust blocks","page screenshot + CTA click","yellow","sync text and CTA with checkout"
"Service/package selection","choose paid consultation","package cards","service/package id, price, availability","package description, response time, limits","selection screenshot + backend value","red","bind package to test order"
"Checkout/consent","clear paid consent","payment and consent form","safe test order, payment test mode","terms, privacy, disclaimer, refund review","checkout screenshot + test order","red","check safe checkout"
"Client question","client request reaches expert","question form","question id bound to order id","placeholder, examples, privacy note","form screenshot + admin card","red","check question binding"
"Thank you/order status","client knows next step","success/status screen","order status created/assigned","response time, support link","success screenshot + order id","red","check after-checkout page"
"Client cabinet/history","client finds order/answer/support","cabinet/chat/history","user orders, messages, answer delivery","empty state, status, help","history before/after answer","red","check client access"
"Chat/expert answer","client receives text result","chat/answer card","answer id, author, timestamp, delivery","answer, follow-up, disclaimer","client and admin answer screenshots","red","send trial answer"
"Expert workspace","expert handles order inside platform","admin/workspace","assignment, task, status, answer submit","instructions, hints, quality reminder","workspace screenshot","red","bind expert gate"
"Admin order card","admin controls order","admin order list/card","order, question, assignee, events, status","understandable labels/status","order card screenshot","red","bind admin gate"
"Support/problem","client problem bound to order","support entry/case view","case id bound to order id","reasons, SLA, refund review","case create/resolution screenshots","red","check failure path"
"Email/notification preview","no-send proof visible","email preview/admin log","no-send queue/log events","subject/body variables","no-send preview screenshot","red","bind notification gate"
"Errors/empty states","avoid dead ends","error/empty states","error codes/status handling","clear text, next action, support link","screenshots of 3 failure states","red","add to QA scenario"
