"Step","Screen","Role","Need","Acceptance","Evidence"
"1","Экран после онбординга / matching","Антон","Пользователь видит подходящих экспертов или категорию услуги, понимает почему они подходят и какой следующий шаг","За 3 секунды понятно: кто доступен, что можно купить, куда нажать","Скрин desktop/mobile с состояниями доступен/занят/недоступен"
"2","Карточка эксперта","Антон","Карточка объясняет статус эксперта, формат консультации, доверие, рейтинг/качество, цену или путь к цене","Недоступный эксперт не выглядит как ошибка; есть понятный следующий шаг","Скрин карточек: доступен, занят, оффлайн, недоступен"
"3","Оффер перед оплатой","Антон","Перед оплатой видны выбранный эксперт/категория, формат услуги, цена, срок ответа, что входит, ограничения, поддержка и условия","Пользователь понимает, что покупает, что будет после оплаты и почему можно доверять","Скрин оффера + чек-лист содержимого"
"4","Оплата / тестовая оплата","Антон + Игорь","Экран должен иметь состояния: ожидание, успех, ошибка, отмена, повторить, поддержка","После ошибки нет тупика; после успеха пользователь понимает следующий шаг","Скрины success/failed/canceled/pending"
"5","Вопрос после оплаты","Антон","Пользователь задает вопрос, видит подсказки по качеству запроса, язык, тему, приватность и срок ответа","Оплаченный пользователь не теряется и не пишет вопрос в случайный чат","Скрин формы вопроса и состояния “вопрос принят”"
"6","Платный чат / ожидание ответа","Антон","Чат показывает статус консультации, дедлайн, кто отвечает, что уже оплачено, где поддержка и история","Обычный чат визуально отличается от платной консультации","Скрин ожидания, ответа, завершения и истории"
"7","Запасной сценарий","Антон","Если эксперт стал недоступен, оплата не прошла или чат не создался, пользователь видит причину и выбор: другой эксперт, повторить, поддержка","Ни один критичный сбой не оставляет пользователя в пустом экране","Скрин fallback для недоступности, оплаты и чата"
"8","Поддержка внутри платной услуги","Антон","На экранах оплаты, вопроса и чата есть понятный путь в поддержку без агрессии и страха","Пользователь может сообщить проблему, не уходя из маршрута услуги","Скрин кнопки/ссылки поддержки и формы обращения"
"9","Состояния сообщений и диалогов","Антон","В мессенджере показаны sending/sent/delivered/failed, unread, muted, blocked, online/busy/offline","Пользователь и эксперт понимают, дошло ли сообщение и кто доступен","Скрин состояний списка диалогов и сообщений"
"10","Мобильная версия платной воронки","Антон","Ключевой путь не должен разваливаться на мобильном: оффер, оплата, вопрос, чат, поддержка","CTA виден, текст читается, состояния не прячутся, нет перегруза","Mobile screenshots 390px по 5 ключевым экранам"
"11","Связка с backend и QA","PM + QA","Для каждого экрана есть связь с событием backend: заказ, оплата, вопрос, назначение, ответ, жалоба","PM может рядом с экраном указать, какая backend-сущность и какой тест его подтверждает","Экранный контракт: экран → событие → статус → проверка"
