Критерий;Что должно быть;Что принимает PM;Что возвращаем;Кто дает факт;Статус сейчас
Личность и слот;Эксперт закреплен как E01-E05, есть имя/рабочий идентификатор, язык, специализация;Заполненная строка в журнале допуска;У нас есть 5 человек без конкретных строк;PM / Алексей;нет proof
Доступность и SLA;Рабочие часы, срок ответа, правило просрочки и замены;SLA и лимиты зафиксированы;Общие обещания быстро отвечать;Эксперт + PM;нет proof
Обучение;Пройден обязательный минимум: регламент, примеры, запреты, структура ответа, support;Отметка прохождения или ручное подтверждение;Ссылка на материалы без факта прохождения;Эксперт + PM;материалы есть, прохождение не доказано
Пробный ответ;Ответ на единый тестовый клиентский кейс;Текст ответа сохранен и связан с экспертом;Устное умеет отвечать;Эксперт;нет proof
Качество ответа;Проверка по scorecard;Оценка PM, комментарии, verdict;Субъективное нормально без критериев;PM + Ксения;нет proof
Понимание регламента;Понимание запретов, эскалаций, работы с недовольством;Мини-тест или ручной чек-лист;Прочитал без проверки;PM / Ксения;нет proof
Роль и анкета;Связка эксперт-анкета-роль-язык-категория-supervisor;Связка зафиксирована;Назначение по договоренности без фиксации;PM + Игорь;нет proof
Рабочее место;Эксперт видит назначенную консультацию и может ответить;Скрин/лог доступа к задаче на test order;Ответ через внешний чат/таблицу;Игорь + QA;нет proof
Уведомления эксперта;События назначения, дедлайна, просрочки и support в no-send;No-send preview/log;Реальная отправка или нет журнала;Игорь + QA;нет proof
Итоговый допуск;Verdict: допущен / условно для QA / доработка / не допущен;Вердикт в журнале с причиной;Можно попробовать без статуса;PM;нет proof
