"Code";"Card";"Trello";"Hours";"PMStatus";"Color";"Fact";"Proof";"Gap";"Next"
"JUN-01";"Codex plan";"https://trello.com/c/gJnFd2wT";"18";"Частично закрыто";"yellow";"Опубликованы Blue Panel, короткий мастер-план для Алексея, план июня, Trello-стандарт и страница фактического статуса.";"index.html; alexey-master-plan.html; june-plan.html; trello-customer-standard.html; trello-june-fact-status.html";"Нужно дальше синхронизировать Trello, Blue Panel и proof по мере выполнения задач.";"Вести ежедневную/еженедельную синхронизацию и обновлять статусы по фактам."
"JUN-02";"Прогнать все макеты готовых ТЗ через Codex";"https://trello.com/c/awgleR9M";"28";"Частично закрыто";"yellow";"10 связанных карточек разобраны, результат опубликован, но не все дочерние пакеты доведены до передачи Игорю.";"jun-02-ready-tz-triage.html";"Нужна доводка по тем блокам, которые идут в запуск: support, analytics, translator, rating, dialogs, email.";"Из triage выбрать блоки запуска и сформировать co2p-пакеты."
"JUN-03";"Email tempates";"https://trello.com/c/e8aFOO8G";"22";"PM-пакет готов";"green";"Собраны обязательные события, получатели, шаблоны, переменные, админские статусы и сценарии проверки без реальной отправки.";"email-notifications-handoff.html; EMAIL_NOTIFICATIONS_TEST_SCENARIOS_2026_06_04.md; nebula-email-admin-upload-2026-05-25";"Нужно согласование и внедрение/проверка в runtime.";"Передать Игорю после согласования; QA проверяет no-send события."
"JUN-04";"Описать регламент работы на основе Nebula / PbExpert";"https://trello.com/c/oZYN15XV";"22";"PM-пакет v1 готов, нужна ревизия";"yellow";"Регламент v1 собран: правила ответа, сроки, запреты, качество, эскалации, санкции, видимость, начисления и примеры хорошего/слабого/запрещенного ответа.";"expert-work-regulation-v1.html; EXPERT_WORK_REGULATION_V1_2026_06_04.md; expert-quality-moderation.html; ksenia-expert-school-review-task.html";"Нужна ревизия Ксении, заполнение журнала первых 5 экспертов и усиление уроками AskNebula/PbExpert после доступа/экспорта.";"Передать Ксении задачу на ревизию и после замечаний выдать регламент первым 5 экспертам."
"JUN-05";"Продумать ЗП для сотрудников";"https://trello.com/c/bNsEmcDz";"12";"PM-пакет готов, решения основателя нужны";"yellow";"Описаны роли, гибридная стартовая модель, статусы начислений, бонусы, удержания и сценарии проверки без реальных выплат.";"expert-agent-compensation-handoff.html; expert-agent-compensation.html; first-sales-economics.html";"Точные ставки, валюта, период выплат, способ выплаты и legal-статус исполнителей остаются founder decisions.";"Согласовать ставки и внедрить тестовую видимость начислений."
"JUN-06";"Школа экспертов для первых 5 экспертов";"https://trello.com/c/36nRKvdb";"16";"PM-пакет v1 готов частично";"yellow";"Создан маршрут обучения, журнал допуска первых 5 экспертов, задача Ксении и реестр материалов.";"expert-school-v1-operational-pack.html; first-five-expert-admission-journal.html; ksenia-expert-school-review-task.html; expert-training-materials-register.html";"Реальные 5 экспертов не заполнены в журнале; закрытые уроки AskNebula/PbExpert требуют доступа/экспорта.";"Заполнить журнал по 5 экспертам и довынуть закрытые уроки."
"JUN-07";"Пакет рабочего места эксперта и агента в админке";"https://trello.com/c/bRjDaHwL";"20";"PM-пакет готов";"green";"Описаны роли, вкладки, статусы консультации, события, критерии приемки и сценарии проверки.";"expert-agent-workspace-handoff.html; EXPERT_AGENT_WORKSPACE_TEST_SCENARIOS_2026_06_04.md; admin-chat-workspace-v2-handoff.html";"Нужно внедрение в runtime и связь с service_session.";"Передать Игорю вместе с ТЗ слоя платной услуги."
"JUN-08";"Проверка страниц и функций перед запуском рекламы";"https://trello.com/c/A4zqo2EI";"12";"PM-пакет готов, запуск рекламы запрещен";"red";"Создан контрольный маршрут до рекламы, preflight payment sandbox PASS, backend gap доказан, ТЗ service_session подготовлено.";"pre-traffic-paid-consultation-control.html; jun-08-page-screen-registry.html; launch-test-scenario.html; test-order-sandbox-preflight-report.html; consultation-domain-layer-tz.html";"Нет runtime proof полного пути: заказ → вопрос → service_session → эксперт → ответ → support/report.";"Игорь внедряет service_session; QA проходит сквозной тест без реальных денег."
"JUN-UX";"Работа с Антоном / дизайн";"https://trello.com/c/rlMQoaVy";"10";"PM-пакет правок готов";"yellow";"Собран пакет правок Антону по Oracle/Nebula: P0 путь платной консультации, P1 состояния карточек/фильтров/мессенджера, P2 улучшения пустых и promo-состояний.";"anton-oracle-nebula-design-fixes.html; ANTON_ORACLE_NEBULA_DESIGN_FIXES_2026_06_04.csv; первая волна CSV; вторая волна Slides text";"Нужно согласование с Заказчиком, фактическая работа Антона и повторная сверка экранов после правок.";"Передать Антону пакет, начать с P0: matching → offer → payment → fallback → paid chat."
"GEO";"Новый макет страны / города";"https://trello.com/c/PrkrhWqN";"без оценки";"Отдельный поток";"neutral";"В Trello есть две preview-ссылки на country/city страницы.";"geo-india-country-preview.html; geo-delhi-city-preview.html";"Не входит в 160 часов Nebula/PM-запуска; нужна отдельная постановка и оценка.";"Вести отдельно от Nebula launch plan."
