Материал;Где найден;Что доказано;Содержание извлечено;Статус;Следующее действие
Карточка “Адаптация обучающего материала от Nebula”;Trello Z3gdn6rU;Описание, вложения и комментарии сняты;Да, метаданные и связанные источники;источник снят;Использовать как главный источник школы
Урок 1;Trello attachment;OAuth download successful, 21 слайд, 75 фрагментов;Да;извлечено;Встроить в модуль первого контакта и SLA
Урок 2;Trello attachment;OAuth download successful, 29 слайдов, 163 фрагмента;Да;извлечено;Встроить в модуль качества ответа и роли эксперта
Урок 3 часть 1;Комментарий Trello, Google Drive ZIP;Public Drive download, 34 слайда, 224 фрагмента;Да;извлечено;Адаптировать engagement без манипуляций
Урок 3 часть 2;Комментарий Trello, Google Drive ZIP;Public Drive download, 18 слайдов, 123 фрагмента;Да;извлечено;Адаптировать стратегию чата безопасно
Урок 4;Комментарий Trello, Google Drive ZIP и Google Form;ZIP 16 слайдов/201 фрагмент, form 36 фрагментов;Да;извлечено;Встроить как практический алгоритм чата
Урок 5;Google Presentation;export/pptx successful, 17 слайдов, 283 фрагмента;Да;извлечено;Встроить в метрики эксперта/агента/админа
Урок 6;Trello attachment ZIP;OAuth download successful, 25 слайдов, 258 фрагментов;Да;извлечено;Встроить как базовый эзотерический модуль с safety-фильтром
Урок 7;Google Slides;export/pptx successful, 14 слайдов, 120 фрагментов;Да;извлечено;Жестко адаптировать: только safe entertainment/self-reflection
Финальный тест и формы;Google Forms;final form HTTP 200, lesson 4 form HTTP 200;Частично;извлечено частично;Сделать наш финальный тест допуска с критическими safety-вопросами
Чек-лист Ксении;Trello/форма/пакет ревизии;Контур ревизии и задача Ксении подготовлены;Шаблон готов, фактический ответ не получен;нужна ревизия;Получить вердикт Ксении
