ID;Вход;Кто дает;Что должно быть;Что считается proof;Что PM делает;Если нет;Статус сейчас
QSP01;Scope контрольного заказа;PM;Одна тестовая платная консультация: услуга, вопрос, цена/test amount, язык, срок, ограничения;Строка в fixture sheet и ссылка на экран/макет/offer context;Готовит сам и держит в Blue Panel;QA будет проверять неопределенный сценарий;желтый
QSP02;Тестовые роли и доступы;PM + Игорь + QA;Клиент, админ, исполнитель, support; URL/route; запрет production-клиентов;Fixture sheet с ролями, URL, ограничениями, owner;Собирает список, отмечает пробелы;QA не сможет повторить proof;желтый
QSP03;Safe test order;Игорь;order_id, test marker, amount/currency, no real charge proof;Скрин/лог заказа и явный маркер отсутствия реального списания;Принимает или возвращает по acceptance contract;QA и платежи STOP;красный
QSP04;Связка order/question/session;Игорь;Вопрос клиента связан с order_id и service_session/task, виден клиенту, админу и исполнителю;Скрины клиента, админки и session/task с одним marker;Проверяет, что это один процесс;Сервисная услуга не доказана;красный
QSP05;Админский маршрут;Игорь + QA;Заказ, вопрос, статус, исполнитель, события, support видны без ручного поиска;Скрин списка, карточки, timeline/event/support context;Принимает только screen proof, не устное “есть”;Админка не готова к запуску;красный
QSP06;Допущенный исполнитель;Ксения / PM / эксперт;Минимум один эксперт: пробный ответ, SLA, язык, доступ, назначенная анкета, verdict;Admission row E01-E05 или EP01-EP10 с accepted status;Сравнивает с gate допуска;QA не стартует, потому что отвечать некому;красный
QSP07;Workspace исполнителя;Игорь + QA;Исполнитель под своей ролью видит вопрос, срок, контекст, поле ответа, статус;Скрин рабочего места с order/session marker;Принимает только роль исполнителя, не админский суррогат;Экспертский runtime STOP;красный
QSP08;No-send события;Игорь + QA;События created/assigned/answered/support есть, preview доступен, external_send=false;NSP proof: event id, template, recipient, variables, no-send marker;Сверяет с no-send acceptance board;QA небезопасен и трафик запрещен;красный
QSP09;Support problem state;Игорь + QA + support;case_id, reason, owner, status, order/session/chat/expert link, decision;SR proof по problem-state кейсу;Сверяет с support/refund acceptance board;Проблемный заказ не управляется;красный
QSP10;Purchase analytics fields;Игорь + QA;source/session/order/value/currency/service/support link для daily report;PA proof по purchase analytics acceptance board;Проверяет, можно ли считать CAC/LTV позже;Экономика первого трафика невалидна;красный
QSP11;Лист фиксации proof;PM + QA;Где записать order id, session id, скрины, event logs, support case, verdict;Ссылка на proof capture sheet и naming standard;Готовит до старта QA;Доказательства будут разрознены;желтый
QSP12;Публичный QA отчет;QA + PM;PASS/WARN/STOP, скрины, логи, дефекты, residual risks, next owner;Опубликованный URL в Blue Panel;После QA пересчитывает readiness;Нельзя переходить к трафику;красный
