"N","Status","Role","Packet","Receives","Result","Acceptance","PM","External","Link"
"1","Красный","Игорь","Контрольный заказ и платная консультация","Контракт AC01-AC09, gate test order, safe/no-send условия","Один тестовый заказ связан с вопросом, карточкой консультации, исполнителем, ответом, событиями и support","Order id, session/task id, assignment, workspace, answer, no-send events, support case","Готовит сценарий, фикстуры, приемку и proof-страницу","Игорь показывает runtime; QA проходит мышкой","igor-test-order-acceptance-contract.html"
"2","Красный","QA / тестировщик","Сквозная проверка контрольного заказа","QA brief, фикстуры, аккаунты, gate READY/STOP, список скринов","Публичный отчет PASS/WARN/STOP по клиенту, админке, исполнителю, уведомлениям и support","Отчет со скринами и выводом можно/нельзя двигаться к первому трафику","Готовит brief и шаблон отчета","QA выполняет проход после готовности Игоря","qa-test-order-execution-brief.html"
"3","Красный","Игорь","Рабочее место эксперта и агента","Пакет workspace: задача, вопрос, срок, чат, ответ, качество, начисление-preview","Эксперт/агент видит назначенную консультацию и закрывает ее внутри системы","Скрины роли исполнителя до ответа, после ответа и видимость статуса у админа","Уточняет поля, роли, acceptance и связь с заказом","Игорь показывает workspace на test order","expert-agent-workspace-handoff.html"
"4","Красный","Игорь + QA","Email, события и уведомления без отправки","Матрица no-send событий и требования к preview/log","По ключевым событиям есть получатель, шаблон, переменные и отметка no-send","Event log по order/question/assignment/answer/support без реальной отправки","Формирует список событий и expected variables","Игорь/QA дают журнал событий","nosend-event-proof-matrix.html"
"5","Красный","Игорь + support + QA","Support и проблемные ситуации","Сценарии просрочки, плохого ответа, жалобы и review/refund status без реального возврата","Support-case связан с заказом, консультацией, чатом, исполнителем и решением","Проблемная ситуация открывается из заказа и имеет владельца/статус/решение","Готовит failure states и правила решений","Игорь/QA показывают runtime support-case","support-failure-state-gate.html"
"6","Желтый","PM + Ксения","Допуск первых 5 экспертов","Регламент, школа, пробные задания, журнал EP01-EP10 и критерии качества","По каждому из 5 экспертов есть статус допущен/доработка/не допущен и причина","Заполненный admission journal, пробный ответ, SLA/capacity по каждому эксперту","Сам делает методологию, Ксения проверяет понятность и практичность","Ксения и эксперты дают фактические ответы/ревизию","first-five-expert-admission-execution-pack.html"
"7","Желтый","Антон","Экранная связка Oracle/Nebula","Правки по офферу, доверию, оплате, вопросу, чату, ответу, FAQ и support","Дизайн ведет к покупке платной консультации и соответствует backend-сценарию","Экранные контракты: что показывает экран, куда ведет, какие ошибки и какой backend нужен","Сверяет дизайн, контент и backend-связь","Антон возвращает обновленные экраны/состояния","frontend-design-backend-evidence-inventory.html"
"8","Желтый","Основатель","Legal/payment/founder gates","Реестр документов, checkout disclosures, refund/geography/payment decisions","Перед боевым checkout понятно кто продает услугу, как платят, что клиент видит и как идет возврат","Founder/legal/payment решения внесены до публикации LP/checkout","Готовит HTML-ready пакет и карту недостающих решений","Основатель/legal/payment закрывают решения","legal-checkout-docs-evidence-inventory.html"
"9","Красный","Маркетинг + PM","Первый трафик","Оффер, каналы, CAC/LTV рамки, лимиты, stop-сигналы и daily tracking","Первый рекламный тест запускается только после QA proof и capacity первых 5 экспертов","Go/no-go документ с лимитом заказов, метриками и условиями остановки","Готовит план и экономику, но не включает рекламу","Founder approves after QA/capacity/legal/payment gates","first-traffic-capacity-economy-gate.html"
"10","Зеленый","PM / Codex","Blue Panel и proof-стандарт","Правило evidence, публичные proof-страницы, CSV, link audit и связь с Trello","Команда и Заказчик видят не мнения, а статусы, proof и следующий шаг","Каждая завершенная задача имеет публичную страницу результата и ссылку для Trello","Закрывает самостоятельно и поддерживает","Команда дает факты, PM не выдумывает runtime proof","pm-evidence-trust-standard.html"
