ID;Зона;Что PM делает сейчас;Что открывает малый тест;Что запрещено сейчас;Accepted proof;Статус
FTX01;Runtime/QA gate;Готовит runbook, capture sheets, запросы Игорю/QA;QA PASS/WARN по одному safe order;Покупать трафик без QA report;Published QA report with PASS/WARN;Красный
FTX02;Capacity 5 экспертов;Готовит admission board, SLA, scorecard, задачу Ксении;E01-E05 accepted или explicit daily cap;Вести заявки при 0/5 accepted;E01-E05 admission proof/capacity;Красный
FTX03;Checkout/docs/legal;Готовит HTML-ready docs, checkout wording, FAQ/disclaimer;Founder/legal/payment decision log;Публиковать checkout без seller/provider/refund/geography;PDC01-PDC12 + approval log;Красный
FTX04;Purchase analytics;Готовит UTM/source/order/value field model;PAC01-PAC12 accepted на safe order;Считать CAC/LTV вручную;source→session→order→value proof;Красный
FTX05;No-send/support;Готовит CSA board, NSC/SPC sheets;CSA01-CSA12 accepted or WARN;Реальные письма/support без no-send proof;event/case/analytics linked by order_id;Красный
FTX06;Offer pack;Готовит честный offer: one-time consultation, срок, limitations;Offer approved and linked to checkout docs;Обещать гарантии/точные предсказания;LP/CTA/checkout copy accepted;Желтый
FTX07;Creative policy;Готовит safe creatives, forbidden claims, disclosure rules;Creative preflight approved;Публиковать креативы без policy/legal check;Approved creative set + source links;Желтый
FTX08;UTM/tracking conventions;Готовит naming, source/campaign rules, daily report fields;Tracking works on safe order;Запускать кампании без clean tracking;UTM/source linked to order_id;Желтый
FTX09;Daily report;Готовит отчет первого дня и evening decision rules;Template accepted and owner assigned;Запускать день без отчета;Daily report template + owner;Желтый
FTX10;Budget and order cap;Готовит model: max spend, max orders, stop-loss;Founder-approved cap after QA/capacity;Назначать бюджет сейчас;Decision log after gates;Красный
FTX11;Channel choice;Готовит shortlist 1-2 channels and whitelist;Channel chosen after policy/docs/analytics;Запускать все каналы сразу;Approved channel brief;Желтый
FTX12;Scale decision;Готовит критерии 3 зеленых дней;3 daily reports without critical incidents;Масштабировать после первого дня;3-day decision log;Post-MVP
