Функция запуска;Frontend / дизайн;Backend / админка;Контент;Проверка;Статус;Следующее действие
Главная и оффер;Есть Nebula public pages;Нужна связка CTA с регистрацией, услугой и заказом;Частично есть источники, нужна screen-by-screen вставка;Нет сквозного клика до test order;желтый;Сопоставить CTA с backend-действием
Регистрация и вход;Auth slice частично есть;Confideline user/auth база;Нужны письма и privacy note;Нужен guest/auth proof;желтый;Проверить signup/login/forgot и возврат к покупке
Каталог экспертов;Есть psychic pages, профили, search/favorites;Dating/person search можно использовать как базу;Нужны профили экспертов и trust-блоки;Нет связи каталога с платной консультацией;желтый;Определить выбор конкретного эксперта или очереди
Покупка консультации;Generic payment surface;Есть база заказов/платежных настроек, реальные платежи не трогаем;Нужны payment terms и письма;Test order описан, но не пройден;красный;Реализовать/проверить test order без списания
Вопрос клиента после оплаты;Нужен question intake;Нужна связь order→question→consultation;Нужны подсказки и FAQ;Нет proof связи вопроса с заказом;красный;Сделать карточку консультации
Чат консультации;Есть chat UI и admin chat workspace v2;Messaging/admin база есть, lifecycle не доказан;Нужны шаблоны и регламент;Нужен скрин client/expert/admin sides;желтый;Связать chat с paid consultation status
Операционная админка;Backend/admin слой;Очереди и карточка описаны;Нужны подписи и причины действий;Нет screen proof полного пути;красный;Проверить очереди и карточку консультации
Рабочее место эксперта;Можно через админку по ролям;Требуются права, назначение, дедлайн, начисления;Нужны регламент, база знаний, шаблоны;Нет proof роли эксперта;красный;Собрать role-based admin view
Поддержка и возвраты;Есть public legal/support pages;Нужна связь тикета с заказом/чатом;Нужны refund/support тексты;Нет support/refund ticket proof;красный;Проверить проблемный сценарий
Email и уведомления;UI должен показывать статусы;Нужны события заказа/вопроса/ответа;Email-пакеты есть, нужна связка;No-send proof не выполнен;желтый;Проверить no-send события
Качество экспертов;Нужна вкладка качества;Нужны оценка, замечания, видимость;Рубрика и регламент описаны;Нет proof очереди модерации;желтый;Связать жалобу с проверкой ответа
Начисления;Нужна панель начислений;Модель статусов описана;Нужны founder decisions;Нет proof начисления;желтый;Добавить тестовое начисление
Документы сайта;Есть legal/support pages во frontend;Live Confideline legal legacy dating;Нужен HTML-ready package;Live docs проверены как не готовые;красный;Готовить пакет без публикации до approval
Аналитика и экономика;Нужны отчеты;События и экономика описаны;Нужны event names и markers;Нет сквозного отчета test order;красный;Собрать отчет test order
