"area","status","owner","must","proven","missing","next","proof"
"Список первых 5 экспертов","red","PM","Есть 5 конкретных людей/профилей, для каждого понятны имя, роль, язык, специализация, доступность и ограничения.","В проектной логике зафиксировано, что стартуем с 5 готовыми экспертами.","В Blue Panel нет доказанного заполненного списка 5 экспертов с персональными статусами допуска.","Заполнить журнал допуска 5 экспертов: эксперт 1-5, специализация, язык, доступность, статус.","first-five-expert-admission-journal.html|expert-contour-readiness-map.html"
"Учебный маршрут","yellow","PM","Каждый эксперт проходит понятный маршрут: уроки, правила, примеры, ошибки, тест, практика.","Есть школа v1, пакет запуска и реестр материалов AskNebula/PbExpert.","Не доказано фактическое прохождение всеми 5 экспертами и полный доступ ко всем урокам.","Собрать короткий launch-track для первых 5: только обязательные материалы перед первыми продажами.","expert-school-v1-operational-pack.html|expert-training-materials-register.html"
"Тест и практическое задание","red","PM + Ксения как ревизор","Эксперт не допускается к платным консультациям без теста и 1-3 пробных ответов по чек-листу качества.","Формат школы и журнала допуска уже есть.","Нет proof результатов теста и проверенных пробных ответов первых 5 экспертов.","Сделать тест допуска и рубрику оценки пробных ответов; Ксении дать только ревизию понятности.","expert-school-first-five-launch-package.html|expert-quality-moderation.html|ksenia-expert-school-review-task.html"
"Регламент ответа","yellow","PM","Эксперт понимает сроки, тон, структуру ответа, запреты, безопасные формулировки, follow-up и эскалации.","Есть регламент v1 и карта качества.","Не доказано, что регламент прочитан, понятен и применен в тестовых ответах.","Связать регламент с тестовым ответом: эксперт отвечает, PM проверяет по чек-листу.","expert-work-regulation-v1.html|expert-quality-moderation.html"
"SLA и доступность","red","PM + Игорь","Для каждого эксперта есть рабочие часы/доступность, срок ответа, правила просрочки и замены исполнителя.","SLA уже выделен как обязательный запусковый вопрос.","Нет утвержденного SLA v1 и runtime proof дедлайна/просрочки.","Зафиксировать SLA v1 для первых продаж и проверить overdue scenario на test order.","paid-consultation-launch-control.html|admin-operations-control-map.html"
"Рабочее место в админке","red","Игорь","Эксперт/агент видит назначенную консультацию, вопрос, срок, чат, инструкции, статус и начисление.","Есть handoff рабочего места и admin/chat база.","Нет runtime proof доступа эксперта/агента на test order.","Игорю: показать роль эксперта/агента на одной тестовой консультации.","expert-agent-workspace-handoff.html|admin-operations-control-map.html"
"Назначение анкет и ролей","red","PM + Игорь","На старте понятно, какой эксперт/агент работает от какой анкеты, кто назначает и кто контролирует.","Требование назначения анкет обсуждено как bootstrap-операция и связано с админкой.","Нет role/profile assignment proof для Nebula.","Описать минимальную матрицу: эксперт, агент, анкета, язык, категория, доступ, supervisor.","expert-agent-workspace-readiness.html|confideline-admin-route-evidence-map.html"
"Качество первого ответа","yellow","PM + Ксения как ревизор","Первый ответ проверяется на персонализацию, эмпатию, структуру, безопасность, отсутствие пустых шаблонов и понятный следующий шаг.","Есть критерии качества и модерации.","Нет 3-5 реальных/тестовых ответов, оцененных по рубрике.","Подготовить 3 типовых клиентских вопроса и провести оценку ответов первых экспертов.","expert-quality-moderation.html|expert-work-regulation-v1.html"
"Уведомления эксперта/агента","yellow","Игорь + QA","Исполнитель получает событие: назначена консультация, скоро дедлайн, просрочено, клиент ответил, жалоба/support.","Email/events handoff есть.","Нет no-send proof экспертских уведомлений на test order.","Связать expert events с no-send preview и журналом событий.","email-notifications-handoff.html|co2p-events-notifications-nosend-service-session.html"
"Support и спор по эксперту","red","PM + Support + Игорь","Если ответ плохой или эксперт молчит, support видит исполнителя, чат, срок, решение, влияние на качество и начисление.","Есть support/refund пакеты и admin operations map.","Нет proof сценария плохого ответа/молчания эксперта.","Проверить два problem states: просрочка и клиент недоволен ответом.","support-refund-readiness.html|admin-operations-control-map.html"
"Начисление и удержание","yellow","PM + Игорь","После консультации понятно: начислено, ожидает проверки, удержано, причина, период, связь с жалобой.","Есть compensation handoff и balance база.","Нет test calculation после закрытия консультации.","Сделать тестовое начисление без реальной выплаты на одном test order.","expert-agent-compensation.html|expert-agent-compensation-handoff.html"
"Решение о допуске","red","PM","По каждому эксперту есть итог: допущен, допущен с ограничениями, не допущен, что исправить.","Журнал допуска как формат есть.","Нет заполненного readiness verdict по 5 экспертам.","Заполнить verdict после обучения, теста, пробного ответа и проверки рабочего места.","first-five-expert-admission-journal.html|expert-school-first-five-launch-package.html"
"Масштабирование после первых 5","yellow","PM","Bootstrap-модель не мешает будущему классическому набору, обучению и сертификации экспертов.","Стратегия: после отладки перейти к классической модели набора.","Нет готового full expert application/admission pipeline как продукта.","После первых продаж оформить публичный набор, школу, тест, сертификацию и обучение в отдельный модуль.","expert-contour-readiness-map.html|expert-school-readiness.html"
