Порядок,Статус,Работа,Кто ведет,Результат,Proof,Blue Panel
1,Красный,Провести первый test order proof,PM->Игорь->QA,"Один test order: заказ, вопрос, консультация, эксперт, support, events","QA-report с order/session id и PASS/WARN/STOP","test-order-runtime-cockpit.html; igor-first-runtime-task-test-order.html; qa-test-order-execution-brief.html"
2,Красный,Доказать рабочее место эксперта и агента на test order,PM->Игорь->QA,"Эксперт видит задачу и отвечает","Скрины роли эксперта/агента","expert-agent-workspace-handoff.html"
3,Красный,Доказать support/problem state на test order,PM->Игорь->QA,"Тикет связан с заказом, чатом, экспертом и решением","Скрины support ticket","support-refund-launch-control.html"
4,Красный,Доказать события и no-send уведомления,PM->Игорь->QA,"Event timeline и preview без отправки","Event log + preview","events-notifications-launch-control.html"
5,Красный,Пересчитать готовность запуска после runtime QA,PM,"Обновленная готовность, proof-ledger, PM audit","Обновленные страницы Blue Panel","launch-readiness-master-control.html; pm-objective-completion-audit.html"
6,Желтый,Дособрать школу первых 5 экспертов,PM+Ксения,"Школа, тест, журнал допуска","Заполненный журнал","expert-school-v1-operational-pack.html"
7,Желтый,Оформить регламент работы экспертов v1,PM+Ксения,"Регламент и чек-лист ревизии","Опубликованный регламент","expert-work-regulation-v1.html"
8,Желтый,Сверить дизайн Oracle/Nebula с backend и контентом,PM+Антон,"Screen-by-screen карта","Дизайн->backend->content proof","oracle-nebula-mvp-screen-readiness-map.html"
9,Желтый,Подготовить legal/checkout пакет к решению основателя,PM+founder/legal/payment,"HTML-ready пакет и список gates","Checkout docs package","co2p-legal-checkout-public-docs.html"
10,Зеленый,Поддерживать Blue Panel как мастер-план и proof-хранилище,PM,"Публичные результаты связаны с Trello","GitHub Pages links","index.html; result-publication-standard.html"
