"layer","status","owner","proven","missing","next","proof"
"Управление проектом и Blue Panel","green","PM","Blue Panel, стратегия, мастер-план, месячный план, proof-страницы и публикация результатов работают как контур управления.","Нужно поддерживать актуальность после каждого решения и не смешивать верхний слой с техническими файлами.","Вести новые результаты через опубликованные страницы и ссылать Trello на конкретные proof-страницы.","alexey-master-plan.html|june-plan.html|result-publication-standard.html"
"Backend Confideline как универсальная база","yellow","Игорь + PM","В коде найдены пользователи, профили, сообщения, переводы, уведомления, заказы, платежная база, жалобы и админские зоны.","Не доказан единый lifecycle платной консультации: заказ, вопрос, назначение, ответ, support, события.","Связать существующие кирпичи через test order/service consultation route.","backend-code-evidence-map.html|confideline-admin-route-evidence-map.html"
"Frontend и дизайн Oracle/Nebula","yellow","Антон + PM","Есть Figma/публичная верстка, экранный контракт, карта MVP-экранов и связи дизайн -> backend -> контент -> QA.","Нет proof, что ключевые экраны подключены к рабочему backend и paid flow.","Закрывать экраны от paid route: оффер, регистрация, экран перед оплатой, вопрос, кабинет, чат, support.","oracle-nebula-mvp-screen-readiness-map.html|frontend-design-readiness-map.html"
"Платная консультация как основной продукт","red","Игорь + QA + PM","Контрольный маршрут и co2p-пакеты описаны: offer -> test order -> question -> assignment -> answer -> support -> report.","Нет runtime proof одного test order без реального списания.","Первый обязательный proof: test order, вопрос, назначение, ответ, события, support, QA PASS/WARN/STOP.","paid-consultation-launch-control.html|service-session-first-runtime-slice.html|igor-test-order-consultation-handoff.html"
"Путь клиента","red","PM + QA","Клиентский путь описан от оффера до ответа, support и повторной покупки.","Нет сквозного доказательства, что клиент проходит путь без тупиков.","Проверить guest/signup, выбор услуги, test order, вопрос, статус, ответ, support, уведомления.","client-journey-readiness-map.html|paid-consultation-launch-control.html"
"Админка и ежедневный операционный контроль","red","Игорь + PM","Admin routes найдены, создана карта операционного контроля: заказы, вопросы, назначения, SLA, support, начисления, QA.","Нет единой карточки консультации и runtime proof, что админ видит маршрут без ручного поиска.","Показать в админке один test order: заказ, вопрос, исполнитель, чат, события, support, итог.","admin-operations-control-map.html|confideline-admin-route-evidence-map.html"
"Первые 5 экспертов","red","PM + Ксения как ревизор + Игорь","Методическая база есть: школа, регламент, журнал допуска, карта первых 5 экспертов.","Нет заполненного допуска конкретных 5 экспертов, тестовых ответов, SLA и workspace proof.","Заполнить журнал 5 экспертов, провести тест/пробные ответы, проверить назначение на test order.","first-five-experts-launch-control.html|expert-contour-readiness-map.html"
"События, уведомления и no-send","red","Игорь + QA","Определены 16 обязательных событий и no-send подход для безопасной проверки без реальных писем.","Нет сквозного no-send proof по test order.","Проверить preview/log для заказа, оплаты, вопроса, назначения, дедлайна, ответа, support, начисления.","events-notifications-launch-control.html|email-notifications-handoff.html"
"Support, жалобы, возвраты, problem states","red","Support + Игорь + PM","Собраны 12 проблемных сценариев и операционный путь проблемы клиента.","Нет runtime proof карточки обращения, связанной с заказом, чатом, экспертом, событиями и решением.","Смоделировать просрочку, плохой ответ, payment issue, жалобу и test refund review без реальных возвратов.","support-refund-launch-control.html|support-refund-readiness.html"
"Legal, документы, checkout disclosures","red","Founder/legal gate + PM","Есть legal readiness, HTML-ready подход, Terms/Privacy/Refund/Disclaimer/FAQ контур.","Нет утвержденного legal seller/payment/refund wording и финального размещения документов.","PM готовит HTML-ready пакет; финальную публикацию держать на founder/legal/payment gate.","legal-docs-readiness.html|legal-docs-compliance-readiness-map.html|legal-content-package.html"
"Маркетинг, экономика, малый трафик","red","PM","Собраны go/no-go, UTM, CAC/LTV рамка, stop-сигналы, dashboard и условия малого теста.","Нет runtime proof, фактических CAC/LTV, capacity 5 экспертов и daily dashboard.","Готовить маркетинг без покупки трафика; запускать только после QA PASS и dashboard.","marketing-traffic-launch-control.html|marketing-economics-readiness-map.html"
"QA и proof перед рекламой","red","QA + PM","Есть сценарии, шаблоны QA, pre-traffic decision package, proof approach.","Нет заполненного end-to-end QA отчета со скринами и логами.","После внедрения test order пройти QA и опубликовать PASS/WARN/STOP.","pre-traffic-qa-decision-package.html|test-order-runtime-qa-report-template.html|pre-traffic-paid-consultation-control.html"
"Trello и месячное исполнение","yellow","PM","Есть карта Trello, правила source-of-truth, план июня, ссылки на Blue Panel результаты.","Нужно не менять названия без команды и регулярно синхронизировать статус карточек с proof.","При переносе задач в Trello добавлять ссылку на конкретный результат Blue Panel и вести по человеческому стандарту.","trello-source-map.html|trello-june-fact-status.html|source-of-truth-rules.html"
"co2p-передача Игорю/Антону/Ксении/QA","yellow","PM","Подготовлены handoff-пакеты по paid consultation, workspace, email, support, QA и дизайну.","Не все пакеты прошли внедрение, ревизию и runtime acceptance.","Приоритизировать передачу по красному маршруту: test order -> admin/workspace -> no-send -> support -> QA.","co2p-runtime-implementation-handoff-index.html|team-action-queue.html"
