Источник;HTTP;Что открывается;Роль;Ограничение
QA index;200;Confideline | QA Reports;Каталог QA-отчетов;Не доказывает Nebula test order
QA control center;200;Confideline QA | Control Center;Стандарт QA;Не заменяет runtime QA
PHP upgrade QA;200;Confideline Live QA PHP 8.5;Проверка после обновления окружения;Не доказывает платную консультацию
Email admin upload QA;200;Confideline email templates;Proof email/admin upload;Нужен no-send event proof на test order
Messages lifecycle QA;200;Confideline | Messages Thread Lifecycle 2026-05-10;Косвенный proof сообщений;Не доказывает chat service_session
Full functional audit proof-gap;200;Proof-gap: full-functional-audit-2026-06-02;Фиксация отсутствия аудита;Не proof готовности
Admin chat workspace public;200;Админ-панель чата V2 - словарь элементов;Публичный handoff по чату;Не runtime proof консультации
Google strategy competitors;200;Сравнительный Анализ Астрологических Сайтов - Google Таблицы;Источник стратегии;Требует смысловой обработки
Google strategy pages;200;Nebula - подготовительный этап - Google Таблицы;Источник подготовительного этапа;Не заменяет crosswalk
Google MVP doc;200;План запуска Nebula - Google Документы;Источник раннего плана MVP;Актуализируется через Blue Panel
Trello board;200;Trello;Главная доска задач;HTTP 200 не доказывает полное извлечение карточек/архивов/вложений
