Событие;Кому адресовано;Зачем нужно;Что должно быть в proof;PASS;WARN;STOP
Заказ создан;Клиент, админ;Покупка начата, заказ виден системе;order id, услуга, цена, валюта, test marker, preview;event + preview + no-send;preview неполный;нет event или ушло реально
Оплата test/sandbox успешна;Клиент, админ, support;Клиент переводится к вопросу, support видит оплату;payment status, no real charge, ссылка на вопрос;test payment ясен;статус не везде;риск real charge
Клиент не написал вопрос;Клиент, support;Не потерять оплаченный заказ без вопроса;очередь оплачен без вопроса, reminder preview;есть queue + preview;только ручной контроль;заказ теряется
Вопрос принят;Клиент, админ;Запрос клиента связан с заказом и ушел в работу;question id/text, language, order/session id;связка доказана;нет языка/категории;вопрос без заказа
Эксперт назначен;Эксперт/агент, админ;Исполнитель получает работу и срок;assignee, deadline, task link, no-send preview;исполнитель видит задачу;контекст неполный;нет задачи исполнителю
Срок ответа приближается;Эксперт/агент, админ;Предупредить просрочку до жалобы;deadline, remaining time, performer, order id;warning работает;можно отложить в MVP;нет SLA контроля
Ответ отправлен;Клиент, админ;Клиент получает результат консультации;answer id, author/profile, timestamp, result link;статус и preview есть;preview неполный;ответ не виден клиенту
Support-кейс создан;Support, админ, модератор;Проблема клиента не теряется;case id, reason, order/session/chat/expert link;тикет связан;не хватает owner/deadline;жалоба отдельно
Support-решение принято;Клиент, support, админ;Клиент получает понятный итог по проблеме;resolution type, owner, comment, no-send preview;решение видно;только ручной комментарий;нет решения/статуса
Заказ закрыт;Клиент, эксперт/агент, админ;Финальный статус услуги, качество и начисление не теряются;closed/completed, quality marker, compensation preview, no real payout;закрытие доказано;нет quality/compensation;заказ зависает
