id,screen,status,design_source,backend_link,content_blocker,next_proof,owner
SC01,"Главная и оффер",yellow,"Oracle/Nebula source найден","CTA -> order draft","Финальный promise/offer","CTA runtime proof","PM + Антон + Игорь"
SC02,"Вход и возврат",yellow,"Есть экранный слой","user/session/order","Тексты входа/ошибок","guest -> login -> same order","Игорь + QA"
SC03,"Запрос клиента",yellow,"Онбординг/квиз","question/order fields","Обязательные поля MVP","Полевая карта + backend binding","PM"
SC04,"Услуга и цена",red,"Нужно связать с offer","service/package/price","Что входит в покупку","order draft","PM + Игорь"
SC05,"Checkout",red,"Нужен экран согласия","payment/order/consent","Legal/payment gate","safe checkout","Founder + legal/payment + Игорь"
SC06,"Форма вопроса",red,"Нужен accepted screen","question_id/order_id","Подсказки и ограничения","binding proof","Игорь + QA"
SC07,"Статус заказа",red,"Нужен экран состояния","status/SLA/support","Тексты ожидания/проблем","status transition proof","Игорь + support"
SC08,"Кабинет клиента",red,"Есть кабинетный дизайн-слой","answer/transcript/repeat","Follow-up и repeat CTA","answer visible proof","Антон + Игорь"
SC09,"Рабочее место эксперта",red,"Admin/chat contour","assignment/SLA/answer","Регламент/шаблоны","E01 accepted test","PM + Ксения + Игорь"
SC10,"Очередь админки",red,"Admin layer","order/question/expert/SLA","Названия статусов","admin queue proof","Игорь"
SC11,"Support",red,"Нужна админ-страница","support_case/decision","Шаблоны решений","case open/close proof","Support + Игорь"
SC12,"Email и события",red,"Email contour exists","event/template/recipient","Финальные шаблоны","no-send preview","PM + Игорь"
SC13,"Документы и FAQ",red,"Нужны публичные страницы","docs routes/checkout links","Approval gate","HTML docs pass","Founder + PM"
SC14,"Аналитика",red,"Нужна отчетная страница","source/session/order/value","Событийная схема","single order report","PM + Игорь"
