section,priority,label,link,purpose
main,1,Для Алексея,docs/alexey-master-plan.html,Короткий мастер-план и таблица для Заказчика
main,2,Статус запуска,docs/alexey-launch-status-brief-2026-06-06.html,Светофор и причины почему запуск пока нельзя
main,3,Ближайшие действия,docs/current-next-action-board.html,R01/R02 и следующий proof
main,4,Маршрут сегодня,docs/pm-today-route-2026-06-06.html,Рабочий путь PM на день
main,5,План июня,docs/june-plan.html,160 часов и задачи месяца
main,6,Готовность по слоям,docs/launch-layer-readiness-map-2026-06-06.html,Красный/желтый/зеленый статус по слоям запуска
service,1,Индекс proof,docs/launch-proof-index.html,Единый маршрут доказательств запуска
service,2,Страницы и backend,docs/page-content-backend-readiness-map-2026-06-06.html,Связка дизайн-функция-контент-proof
service,3,Экспертный контур,docs/expert-launch-admission-control-2026-06-06.html,Школа и допуск первых экспертов
service,4,Первый трафик,docs/first-traffic-execution-board-2026-06-06.html,Подготовка без запуска рекламы
