ref,work,hours,status,why,result,proof,owner,link
01,"PM-панель и управление задачами",18,green,"Заказчик видит план статус результат","Blue Panel; статус; план июня; светофор; proof links","published pages; current proof links; Trello not renamed",PM,alexey-master-plan.html
02,"Разбор готовых ТЗ макетов и прошлых наработок",28,yellow,"Понять что отдавать команде","реестр готово/правки/проверка/отложено","owner; acceptance criteria; next step per package",PM,jun-02-ready-tz-triage.html
03,"Email уведомления и рассылки",22,green,"Не терять события заказа","карта событий; шаблоны; переменные; no-send","event log on safe order; no real send proof",PM/Igor/QA,communications-support-analytics-execution-board-2026-06-06.html
04,"Регламент работы экспертов",22,green,"Единые правила качества сроков тона продаж","регламент v1; scorecard; admission rules","trial answer can be accepted/returned by standard",PM/Ksenia,expert-work-regulation-v1.html
05,"Модель оплаты сотрудников и экспертов",12,yellow,"Мотивация и контроль качества первых экспертов","PM compensation model","founder approves rates currency payout period holds",PM/founder,expert-agent-compensation-handoff.html
06,"Школа экспертов для первых 5 экспертов",16,red,"Capacity before QA and traffic","school v1; E01-E05 journal; test/simulation","E01 accepted for QA; E01-E05 accepted for traffic",PM/Ksenia,first-five-expert-admission-execution-board-2026-06-06.html
07,"Рабочее место эксперта и агента в админке",20,yellow,"Expert completes consultation inside platform","handoff to Igor: task question deadline status answer payout admin visibility","assignment expert work answer admin timeline on safe order",PM/Igor/QA,expert-agent-workspace-handoff.html
08,"Проверка страниц и функций перед рекламой",12,red,"Frontend backend content errors support QA must align","screen/function readiness map","QA report and accepted proof for critical scenarios",PM/QA/Igor,page-content-backend-readiness-map-2026-06-06.html
09,"Контрольный заказ QA и первый трафик preflight",10,red,"Prove service can be safely shown to first clients","safe order proof; QA verdict; traffic stop signals","accepted R01/R02; QA report; capacity; docs/payment; analytics",PM/Igor/QA/founder,first-traffic-execution-board-2026-06-06.html
TOTAL,"Итого",160,,,,,,
