"Area","Status","Evidence","Link","Proven","Missing","Next"
"Массовая платная реклама","Красный","Marketing traffic readiness и client journey показывают незакрытые красные блокеры","marketing-traffic-readiness.html","Правило сформулировано: рекламу не включать до доказанного пути услуги","Сквозной proof: заказ, вопрос, ответ, поддержка, уведомления, аналитика","Оставить paid traffic в запрете до прохождения контрольного пакета"
"Первый малый рекламный тест","Желтый","Есть handoff-пакет первого рекламного теста с go/no-go, метриками и стоп-сигналами","marketing-traffic-test-handoff.html","Методика теста готова","Фактический допуск после test order и QA proof","Включать только после закрытия 9 условий приемки платной консультации"
"Оффер и посадочные страницы","Желтый","Есть Nebula frontend/design карта и страницы услуг","frontend-design-readiness-map.html","Визуальная база и коммерческие страницы найдены","Offer-proof: цена/формат/SLA/FAQ/legal note/CTA до заказа","Собрать offer-proof для Home + 1 коммерческой страницы"
"Платный путь клиента","Красный","Карта клиентского пути: 8 красных блокеров, 0 зеленых шагов","client-journey-readiness-map.html","Путь описан как сценарий","Runtime proof полного маршрута","Закрыть test order и полный путь до ответа эксперта"
"Аналитика и UTM","Красный","Events map определяет события для рекламы, заказов, возвратов, повторов","events.html","Список событий и логика измерения есть","Фактический отчет по test order/source/refund/repeat","Собрать no-send/test analytics отчет в сквозном сценарии"
"CAC и стоимость покупки","Желтый","First sales economics задает формулу: расход / оплатившие клиенты","first-sales-economics.html","Метрика и принцип ограничения CAC подготовлены","Нет фактических оплат и расхода","Считать после малого теста, не прогнозировать как факт"
"LTV и повторные покупки","Желтый","First sales economics и events требуют repeat 7/14/30 дней","first-sales-economics.html","LTV не рисуется заранее, повтор должен считаться по факту","Нет repeat-сценария и данных","После первой консультации добавить follow-up/repeat сценарий"
"Нагрузка 5 экспертов","Красный","Экспертский контур показывает незакрытые SLA/допуск/workspace","expert-contour-readiness-map.html","Риск нагрузки определен","Сколько качественных ответов выдерживают 5 экспертов в день","Провести тестовую нагрузку до рекламы"
"Email и возврат клиентов","Желтый","Email handoff готовит transactional и retention-события","email-notifications-handoff.html","Шаблоны, события и no-send подход подготовлены","No-send proof и разделение сервисных/маркетинговых писем","Связать с test order и consent/отпиской"
"SEO и контент","Желтый","Blog pages, FAQ, service pages и strategy board уже есть как база","frontend-design-readiness-map.html","Можно готовить без покупки трафика","SEO-план, контент-календарь, категории, связь с воронкой","Вынести как дочернюю инициативу после закрытия paid flow"
"Инфлюенсеры и отзывы","Желтый","Marketing readiness ссылается на FTC endorsement/reviews правила","marketing-traffic-readiness.html","Ограничения по раскрытию рекламы и fake reviews зафиксированы","Список инфлюенсеров, шаблон disclosure, запрет на фейковые отзывы","Подготовить whitelist/brief креативов, не запускать без working landing"
"Креативы и рекламные обещания","Желтый","Marketing readiness фиксирует запрет страха, гарантий, fake reviews и чувствительного таргетинга","marketing-traffic-readiness.html","Рекламная безопасность описана","Чек-лист конкретных креативов и stop-words","Сделать creative review checklist перед первым тестом"
"Правила рекламных площадок","Желтый","В Blue Panel есть ссылки на Meta Advertising Standards, Google Ads policies, FTC endorsements","marketing-traffic-readiness.html","Официальные источники указаны","Текущая проверка конкретных креативов/лендинга под выбранную площадку","Перед запуском обновить правила по выбранному каналу и проверить креативы"
"Stop-сигналы рекламного теста","Желтый","Marketing traffic test handoff перечисляет остановки: оплата без консультации, нет ответа, жалобы, высокая стоимость, отклонение креативов","marketing-traffic-test-handoff.html","Stop-сигналы есть","Фактический мониторинг в админке/отчете","Связать stop-сигналы с админкой, support и daily report"
"Отчет Заказчику после теста","Желтый","Blue Panel стандарт результата и events map задают proof-подход","result-publication-standard.html","Формат публикации результата есть","Шаблон итогового отчета рекламного теста с расходами и выводом","Создать шаблон отчета до покупки первого трафика"
