"variable","meaning","backend_source","status","templates_count","templates","events","action","note"
"accountSecurityUrl","URL раздела безопасности аккаунта","route_builder/account","new_or_event_scoped","1","security_change","security.security_change","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Для security_change. Не подставлять общий siteUrl, если нет отдельного раздела безопасности."
"advisorName","Имя эксперта/консультанта, назначенного на конкретную чат-консультацию","consultation.assignedAdvisor.displayName","new_or_event_scoped","3","advisor_followup_offer, message_received, payment_success","advisor.followup.offer, message.received, payment.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Это не менеджер поддержки и не бренд. Если в коде сущность называется expert/consultant, маппинг можно оставить в шаблоне как advisorName или согласованно переименовать в expertName отдельной задачей."
"amount","Сумма платежа или заказа в человекочитаемом виде","payment_order.amount","new_or_event_scoped","5","balance_topup_success, payment_error, payment_init, payment_success, service_purchase_success","balance.topup.success, payment.error, payment.init, payment.success, service.purchase.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Форматировать на backend: 19.99, без сырого minor-unit значения."
"answerDueAt","Плановое время ответа эксперта по SLA","consultation.sla.answerDueAt","new_or_event_scoped","1","message_answer_delayed","message.answer_delayed","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Должно учитывать timezone пользователя или явно заданную timezone сервиса."
"chatUrl","URL конкретного чата/консультации в кабинете","consultation.chatUrl","new_or_event_scoped","6","advisor_followup_offer, message_answer_delayed, message_chat_saved, message_no_first_chat_message, message_received, payment_success","advisor.followup.offer, message.answer_delayed, message.chat_saved, message.no_first_chat_message, message.received, payment.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Должен вести в конкретный чат, не просто на главную кабинета."
"checkoutUrl","URL возврата к незавершенной оплате","payment_order.checkoutUrl","new_or_event_scoped","2","payment_error, payment_init","payment.error, payment.init","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Должен быть безопасным и привязанным к актуальной unpaid попытке."
"confirmationExpiresAt","Дата/время истечения ссылки подтверждения email","email_confirmation_token.expiresAt","new_or_event_scoped","1","email_confirmation","user.email_confirmation","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Нужно для честного сервисного текста и повторной отправки confirmation."
"confirmUrl","URL подтверждения email","email_confirmation_token.url","confirmed_live_id1","1","email_confirmation","user.email_confirmation","Проверить доступность в конкретном event; переменная подтверждена только по live id=1.","Подтвержден по live id=1, но все равно проверить scope конкретного event."
"consultationId","Внутренний ID консультации/чата","consultation.id","new_or_event_scoped","1","message_answer_delayed","message.answer_delayed","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Показывать пользователю только если ID реально используется в поддержке."
"currency","Валюта платежа/возврата","payment_order.currency","new_or_event_scoped","6","balance_topup_success, payment_error, payment_init, payment_refund, payment_success, service_purchase_success","balance.topup.success, payment.error, payment.init, payment.refund, payment.success, service.purchase.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Форматировать вместе с amount по правилам платежного контура."
"emailPreferencesUrl","URL настроек email-уведомлений","user.emailPreferencesUrl","new_or_event_scoped","4","advisor_followup_offer, message_chat_saved, payment_init, review_request","advisor.followup.offer, message.chat_saved, payment.init, review.request","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Нужен для lifecycle/marketing писем, не для критичных security/payment писем."
"firstResponseSla","Обещанный срок первого ответа эксперта","consultation.sla.firstResponseLabel","new_or_event_scoped","1","payment_success","payment.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Например: 'до 24 часов'. Не использовать, если SLA не подтвержден продуктово."
"followupOfferUrl","URL предложения продолжить консультацию с тем же экспертом","lifecycle_offer.followupOfferUrl","new_or_event_scoped","1","advisor_followup_offer","advisor.followup.offer","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Создавать только если follow-up разрешен и эксперт доступен."
"legalMerchantName","Юридическое имя продавца/сервиса","global_config.legalMerchantName","new_or_event_scoped","21","advisor_followup_offer, balance_topup_success, email_confirmation, message_answer_delayed, message_chat_saved, message_no_first_chat_message, message_received, payment_error, payment_init, payment_refund, payment_refund_update, payment_success, review_request, security_change, service_purchase_success, support_message_received, support_safety_notice, support_ticket_opened, user_age_restricted, user_password_recovery, user_registration","advisor.followup.offer, balance.topup.success, message.answer_delayed, message.chat_saved, message.no_first_chat_message, message.received, payment.error, payment.init, payment.refund, payment.refund.update, payment.success, review.request, security.security_change, service.purchase.success, support.message.received, support.safety_notice, support.ticket.opened, user.age_restricted, user.email_confirmation, user.password_recovery, user.register","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Для footer/legal. Не равно маркетинговому названию бренда."
"merchantDescriptor","Дескриптор продавца в выписке/чеке","payment_merchant.descriptor","new_or_event_scoped","1","payment_success","payment.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Использовать только если платежный провайдер реально возвращает/хранит это значение."
"orderId","ID заказа/платежа","payment_order.id","new_or_event_scoped","3","message_no_first_chat_message, payment_refund, payment_success","message.no_first_chat_message, payment.refund, payment.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Должен совпадать с тем, что поддержка может найти."
"paidAt","Дата/время успешной оплаты","payment_order.paidAt","new_or_event_scoped","1","payment_success","payment.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Форматировать в понятном виде, без сырого timestamp."
"paymentMethod","Пользовательское название метода оплаты или пополнения","payment.method.label","new_or_event_scoped","2","balance_topup_success, service_purchase_success","balance.topup.success, service.purchase.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Передавать как локализованный label для языка письма: Stripe, Unlimit, Manual/Вручную. Не выводить внутренний gateway code."
"privacyUrl","URL политики приватности","legal_config.privacyUrl","new_or_event_scoped","21","advisor_followup_offer, balance_topup_success, email_confirmation, message_answer_delayed, message_chat_saved, message_no_first_chat_message, message_received, payment_error, payment_init, payment_refund, payment_refund_update, payment_success, review_request, security_change, service_purchase_success, support_message_received, support_safety_notice, support_ticket_opened, user_age_restricted, user_password_recovery, user_registration","advisor.followup.offer, balance.topup.success, message.answer_delayed, message.chat_saved, message.no_first_chat_message, message.received, payment.error, payment.init, payment.refund, payment.refund.update, payment.success, review.request, security.security_change, service.purchase.success, support.message.received, support.safety_notice, support.ticket.opened, user.age_restricted, user.email_confirmation, user.password_recovery, user.register","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Footer/legal. Должен быть доступен для RU и EN."
"processorRefundId","ID возврата в платежном провайдере","refund.processorRefundId","new_or_event_scoped","1","payment_refund","payment.refund","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Показывать только если он полезен пользователю/поддержке."
"receiptUrl","URL чека/квитанции","payment_order.receiptUrl","new_or_event_scoped","1","payment_success","payment.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Если чека нет, шаблон нужно адаптировать, а не оставлять пустую ссылку."
"refundAmount","Сумма возврата","refund.amount","new_or_event_scoped","1","payment_refund","payment.refund","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Форматировать вместе с currency."
"refundEta","Ожидаемый срок поступления возврата","refund.etaLabel","new_or_event_scoped","1","payment_refund","payment.refund","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Например: 'обычно 3-10 рабочих дней'. Не обещать точную дату без основания."
"refundPolicyUrl","URL правил возврата","legal_config.refundPolicyUrl","new_or_event_scoped","21","advisor_followup_offer, balance_topup_success, email_confirmation, message_answer_delayed, message_chat_saved, message_no_first_chat_message, message_received, payment_error, payment_init, payment_refund, payment_refund_update, payment_success, review_request, security_change, service_purchase_success, support_message_received, support_safety_notice, support_ticket_opened, user_age_restricted, user_password_recovery, user_registration","advisor.followup.offer, balance.topup.success, message.answer_delayed, message.chat_saved, message.no_first_chat_message, message.received, payment.error, payment.init, payment.refund, payment.refund.update, payment.success, review.request, security.security_change, service.purchase.success, support.message.received, support.safety_notice, support.ticket.opened, user.age_restricted, user.email_confirmation, user.password_recovery, user.register","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Footer/legal. Должен открываться без авторизации."
"resetExpiresAt","Дата/время истечения ссылки сброса пароля","user_password_recovery_token.expiresAt","new_or_event_scoped","1","user_password_recovery","user.password_recovery","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Нужно для security UX и ограничения повторных запросов."
"resetUrl","URL сброса пароля","user_password_recovery_token.url","new_or_event_scoped","1","user_password_recovery","user.password_recovery","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Не логировать и не раскрывать вне письма."
"reviewUrl","URL формы отзыва о консультации","review_flow.reviewUrl","new_or_event_scoped","1","review_request","review.request","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Создавать только если review еще не оставлен и нет refund/complaint/safety."
"securityChangedAt","Дата/время изменения настройки безопасности","security_event.changedAt","new_or_event_scoped","1","security_change","security.security_change","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Без лишних IP/device деталей, если privacy-основание не подтверждено."
"serviceName","Название купленной услуги","paid_service.localizedName","new_or_event_scoped","1","service_purchase_success","service.purchase.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Передавать в языке письма: Premium, Credits package / Премиум, пакет кредитов. Не использовать внутренний SKU."
"siteName","Название сайта/бренда","global_config.siteName","confirmed_live_id1","21","advisor_followup_offer, balance_topup_success, email_confirmation, message_answer_delayed, message_chat_saved, message_no_first_chat_message, message_received, payment_error, payment_init, payment_refund, payment_refund_update, payment_success, review_request, security_change, service_purchase_success, support_message_received, support_safety_notice, support_ticket_opened, user_age_restricted, user_password_recovery, user_registration","advisor.followup.offer, balance.topup.success, message.answer_delayed, message.chat_saved, message.no_first_chat_message, message.received, payment.error, payment.init, payment.refund, payment.refund.update, payment.success, review.request, security.security_change, service.purchase.success, support.message.received, support.safety_notice, support.ticket.opened, user.age_restricted, user.email_confirmation, user.password_recovery, user.register","Проверить доступность в конкретном event; переменная подтверждена только по live id=1.","Заменяет жесткое рабочее название проекта. Подтвержден по live id=1."
"siteUrl","Базовый URL сайта/личного кабинета","global_config.siteUrl","new_or_event_scoped","21","advisor_followup_offer, balance_topup_success, email_confirmation, message_answer_delayed, message_chat_saved, message_no_first_chat_message, message_received, payment_error, payment_init, payment_refund, payment_refund_update, payment_success, review_request, security_change, service_purchase_success, support_message_received, support_safety_notice, support_ticket_opened, user_age_restricted, user_password_recovery, user_registration","advisor.followup.offer, balance.topup.success, message.answer_delayed, message.chat_saved, message.no_first_chat_message, message.received, payment.error, payment.init, payment.refund, payment.refund.update, payment.success, review.request, security.security_change, service.purchase.success, support.message.received, support.safety_notice, support.ticket.opened, user.age_restricted, user.email_confirmation, user.password_recovery, user.register","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Использовать как fallback, но CTA должен вести на конкретную сущность, если она есть."
"supportCaseId","ID обращения в поддержку","support_case.id","new_or_event_scoped","4","message_answer_delayed, payment_refund_update, support_message_received, support_ticket_opened","message.answer_delayed, payment.refund.update, support.message.received, support.ticket.opened","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Показывать, если по нему поддержка реально ищет тикет."
"supportCaseStatus","Пользовательский статус обращения","support_case.publicStatus","new_or_event_scoped","1","support_message_received","support.message.received","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Не использовать внутренние статусы операторов."
"supportCaseUrl","URL конкретного обращения в поддержку","support_case.url","new_or_event_scoped","5","message_answer_delayed, payment_refund, payment_refund_update, support_message_received, support_ticket_opened","message.answer_delayed, payment.refund, payment.refund.update, support.message.received, support.ticket.opened","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Должен вести к обращению, не к общей поддержке."
"supportEmail","Email поддержки","global_config.supportEmail","new_or_event_scoped","13","balance_topup_success, email_confirmation, message_received, payment_refund, payment_success, security_change, service_purchase_success, support_message_received, support_safety_notice, support_ticket_opened, user_age_restricted, user_password_recovery, user_registration","balance.topup.success, message.received, payment.refund, payment.success, security.security_change, service.purchase.success, support.message.received, support.safety_notice, support.ticket.opened, user.age_restricted, user.email_confirmation, user.password_recovery, user.register","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Footer/service fallback."
"supportUpdatedAt","Дата/время обновления обращения","support_case.updatedAt","new_or_event_scoped","2","payment_refund_update, support_message_received","payment.refund.update, support.message.received","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Показывать только для пользовательски видимых обновлений."
"supportUrl","URL раздела поддержки","route_builder.support","new_or_event_scoped","5","message_no_first_chat_message, message_received, payment_error, support_safety_notice, user_age_restricted","message.no_first_chat_message, message.received, payment.error, support.safety_notice, user.age_restricted","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Fallback для сценариев, где нет конкретного supportCaseUrl."
"termsUrl","URL пользовательских условий","legal_config.termsUrl","new_or_event_scoped","21","advisor_followup_offer, balance_topup_success, email_confirmation, message_answer_delayed, message_chat_saved, message_no_first_chat_message, message_received, payment_error, payment_init, payment_refund, payment_refund_update, payment_success, review_request, security_change, service_purchase_success, support_message_received, support_safety_notice, support_ticket_opened, user_age_restricted, user_password_recovery, user_registration","advisor.followup.offer, balance.topup.success, message.answer_delayed, message.chat_saved, message.no_first_chat_message, message.received, payment.error, payment.init, payment.refund, payment.refund.update, payment.success, review.request, security.security_change, service.purchase.success, support.message.received, support.safety_notice, support.ticket.opened, user.age_restricted, user.email_confirmation, user.password_recovery, user.register","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Footer/legal. Должен открываться без авторизации."
"transactionId","Номер платежной или финансовой транзакции","payment_transaction.publicId","new_or_event_scoped","2","balance_topup_success, service_purchase_success","balance.topup.success, service.purchase.success","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Должен быть понятен поддержке и безопасен для показа пользователю. Не подставлять сырой private gateway token."
"unsubscribeUrl","URL отписки от marketing/lifecycle писем","unsubscribe.url","new_or_event_scoped","4","advisor_followup_offer, message_chat_saved, payment_init, review_request","advisor.followup.offer, message.chat_saved, payment.init, review.request","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Нужен для lifecycle/marketing. Не применять как блокировку service/security/payment писем."
"updatedAnswerEta","Обновленный прогноз ответа при задержке SLA","consultation.sla.updatedAnswerEta","new_or_event_scoped","1","message_answer_delayed","message.answer_delayed","Добавить или подтвердить в backend payload/render context вместе с event/queue.","Использовать только если SLA job умеет рассчитать новый честный ETA."
"userName","Имя пользователя для персонализации","user.displayName","confirmed_live_id1","21","advisor_followup_offer, balance_topup_success, email_confirmation, message_answer_delayed, message_chat_saved, message_no_first_chat_message, message_received, payment_error, payment_init, payment_refund, payment_refund_update, payment_success, review_request, security_change, service_purchase_success, support_message_received, support_safety_notice, support_ticket_opened, user_age_restricted, user_password_recovery, user_registration","advisor.followup.offer, balance.topup.success, message.answer_delayed, message.chat_saved, message.no_first_chat_message, message.received, payment.error, payment.init, payment.refund, payment.refund.update, payment.success, review.request, security.security_change, service.purchase.success, support.message.received, support.safety_notice, support.ticket.opened, user.age_restricted, user.email_confirmation, user.password_recovery, user.register","Проверить доступность в конкретном event; переменная подтверждена только по live id=1.","Подтвержден по live id=1. Должен иметь fallback без пустоты."
