"event_name","title","source","yiiEvent","available_params","comment"
"user.register","User registration","UserMailer::class","UserMailer::EVENT_AFTER_USER_REGISTER","siteName, confirmUrl, confirmationExpiresAt, siteUrl, privacyUrl, refundPolicyUrl, termsUrl, supportEmail, legalMerchantName, userName, password, showPassword","Автоматически после регистрации. Может комбинироваться с условиями NOT_LOGGED_1_DAY/3_DAYS/7_DAYS для отдельных follow-up шаблонов."
"user.email_confirmation","Email confirmation","RegistrationController::class","RegistrationController::EVENT_AFTER_RESEND","siteName, confirmUrl, confirmationExpiresAt, siteUrl, privacyUrl, refundPolicyUrl, termsUrl, supportEmail, legalMerchantName, userName","Повторная отправка подтверждения после действия пользователя."
"user.email_reconfirmation","Email reconfirmation","UserMailer::class","UserMailer::EVENT_AFTER_ENTER_NEW_EMAIL","siteName, confirmUrl, confirmationExpiresAt, siteUrl, privacyUrl, refundPolicyUrl, termsUrl, supportEmail, legalMerchantName, userName, email","Подтверждение нового email после изменения адреса."
"message.received","New message received","MessageManager::class","MessageManager::EVENT_AFTER_MESSAGE_CREATE","siteName, userName","Базовое событие сообщения. Для чат-консультации не хватает chatUrl, advisorName, message direction и consultation context."
"like.received","Like received","LikeManager::class","LikeManager::EVENT_AFTER_CREATE_LIKE","siteName, userName, subject, senderName, senderProfileUrl, senderAvatarUrl","Legacy dating/social сценарий, не нужен для текущей онлайн чат-консультации."
"profile.viewed","Profile view","GuestManager::class","GuestManager::EVENT_AFTER_TRACK","siteName, userName, subject, senderName, senderProfileUrl, senderAvatarUrl","Legacy dating/social сценарий, не нужен для текущей онлайн чат-консультации."
"gift.received","Gift received","GiftManager::class","GiftManager::EVENT_AFTER_SEND_GIFT","siteName, userName, subject, senderName, senderProfileUrl, senderAvatarUrl","Legacy dating/social сценарий, не нужен для текущей онлайн чат-консультации."
"photo.access.request","Request access to private photos","PhotoManager::class","PhotoManager::EVENT_PHOTO_ACCESS_REQUEST","siteName, userName, subject, senderName, senderProfileUrl, senderAvatarUrl, privatePhotosLink","Legacy dating/social сценарий, не нужен для текущей онлайн чат-консультации."
"photo.access.decision","Decision on access to private photos","PhotoManager::class","PhotoManager::EVENT_PHOTO_ACCESS_ACTION","siteName, userName, subject, senderName, senderProfileUrl, senderAvatarUrl, photoAccess, noPhotoAccess","Legacy dating/social сценарий, не нужен для текущей онлайн чат-консультации."
"group.access.request","Request access to a private group","GroupManager::class","GroupManager::EVENT_AFTER_JOIN_GROUP","siteName, userName, subject, senderName, senderProfileUrl, senderAvatarUrl, privateGroupRequestLink","Legacy group сценарий."
"group.access.granted","Access to a private group granted","GroupUser::class","GroupUser::EVENT_ACCESS_GRANTED_TO_PRIVATE_GROUP","siteName, userName, subject, senderName, senderProfileUrl, senderAvatarUrl","Legacy group сценарий."
"group.buy.access.request","Request access to a private group","GroupManager::class","GroupManager::EVENT_AFTER_JOIN_GROUP","siteName, userName, subject, senderName, senderProfileUrl, senderAvatarUrl, paidGroupLink","Legacy paid group сценарий."
"security.2fa_generated","2FA code generated","null","","siteName, userName, code, expiresIn","Событие есть в списке, но источник не привязан к конкретному Yii event."
"payment.init","Payment initialized","null","","siteName, userName, amount, currency, paymentMethod","Событие есть в списке, но источник не привязан к конкретному Yii event. Для восстановления оплаты не хватает checkoutUrl/orderId."
"payment.success","Successful payment","null","","siteName, userName, amount, currency, transactionId","Событие есть в списке, но источник не привязан к конкретному Yii event. Для квитанции не хватает orderId/receiptUrl/chatUrl/paidAt."
"payment.error","Payment error","null","","siteName, userName, amount, errorMessage","Событие есть в списке, но источник не привязан к конкретному Yii event. Для retry не хватает checkoutUrl/currency."
"payment.refund","Payment refund","null","","siteName, userName, amount, transactionId","Событие есть в списке, но источник не привязан к конкретному Yii event. Нужно различать refund update и confirmed."
"credits.spent","Credits spent","null","","siteName, userName, credits, reason","Не нужен для текущей модели онлайн чат-консультации, если нет credit-баланса."
"support.message.received","Support message received","null","","siteName, userName, subject, supportUrl","Событие есть в списке, но источник не привязан к конкретному Yii event. Для тикета не хватает supportCaseId."
"group.post.published","Post published in group","null","","siteName, userName, groupName, postUrl","Legacy group сценарий."
"review.left","Review left","null","","siteName, userName, rating, reviewText","Семантически это отзыв уже оставлен. Для просьбы оставить отзыв нужен отдельный review.request или строгая условная логика."
"premium.expires_24h","Premium expires in 24 hours","null","","siteName, userName, expiresAt, renewUrl","Legacy premium сценарий, не нужен для текущей онлайн чат-консультации."
"premium.expired","Premium expired","null","","siteName, userName, renewUrl","Legacy premium сценарий, не нужен для текущей онлайн чат-консультации."
"user.not_login_48h","User inactive for 48 hours","null","","siteName, userName, loginUrl","Поведенческое событие неактивности. Может использоваться только если cron реально его вызывает."
"user.go.to.site","User go to site","null","","siteName, userName, loginUrl","Неочевидная семантика; не использовать без уточнения trigger source."
