"Code","ShortLink","CurrentTitle","FirstKnownTitle","RenameCount","LastTitleBeforeCurrent","CurrentMatchesFirst","Url"
"JUN-01","gJnFd2wT","Codex plan","Codex plan","7","JUN-01 — Внедрение Codex plan и Codex PM","True","https://trello.com/c/gJnFd2wT/298-codex-plan"
"JUN-02","awgleR9M","Прогнать все макеты готовых ТЗ через Codex","Прогнать все макеты готовых ТЗ через Codex","6","JUN-02 — Классифицировать связанные ТЗ и макеты через Codex","True","https://trello.com/c/awgleR9M/290-%D0%BF%D1%80%D0%BE%D0%B3%D0%BD%D0%B0%D1%82%D1%8C-%D0%B2%D1%81%D0%B5-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%82%D0%B7-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex"
"JUN-03","e8aFOO8G","Email tempates","Email tempates","5","JUN-03 — Email templates, уведомления и рассылки","True","https://trello.com/c/e8aFOO8G/299-email-tempates"
"JUN-04","oZYN15XV","Описать регламент работы на основе Nebula / PbExpert","Описать регламент работы на основе Nebula / PbExpert","5","JUN-04 — Регламент работы экспертов и агентов на основе Nebula / PbExpert","True","https://trello.com/c/oZYN15XV/292-%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D1%8C-%D1%80%D0%B5%D0%B3%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B-%D0%BD%D0%B0-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B5-nebula-pbexpert"
"JUN-05","bNsEmcDz","Продумать ЗП для сотрудников","Продумать ЗП для сотрудников","5","JUN-05 — Модель оплаты ролей и загрузки команды","True","https://trello.com/c/bNsEmcDz/291-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B7%D0%BF-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2"
"JUN-06","36nRKvdb","Школа экспертов для первых 5 экспертов","JUN-06 — Школа экспертов и обучение первых 5 экспертов","4","JUN-06 — Школа экспертов и обучение первых 5 экспертов","False","https://trello.com/c/36nRKvdb/302-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D1%85-5-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2"
"JUN-07","bRjDaHwL","Пакет рабочего места эксперта и агента в админке","JUN-07 — Admin chat и экспертский доступ через роли админки","6","Рабочее места эксперта / агента в админке","False","https://trello.com/c/bRjDaHwL/303-%D0%BF%D0%B0%D0%BA%D0%B5%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B5%D1%81%D1%82%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%B0-%D0%B8-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%B0-%D0%B2-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B5"
"JUN-08","A4zqo2EI","Проверка страниц и функций перед запуском рекламы","JUN-08 — Реестр страниц, экранов и P0 QA/failure states","4","JUN-08 — Проверка страниц, функций и проблемных сценариев перед запуском рекламы","False","https://trello.com/c/A4zqo2EI/304-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D0%BE%D0%BC-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B"
"JUN-extra","PrkrhWqN","Новый макет страны / города","Новый макет страны / города","0","","True","https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0"
"JUN-UX","rlMQoaVy","Работа с Антоном / дизайн","Работа с Антоном / дизайн","7","JUN-UX — Работа с Антоном по дизайну Oracle/Nebula","True","https://trello.com/c/rlMQoaVy/301-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%BC-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD"
