ID,Элемент,Где показывается,Что должно быть внутри,Proof приемки,Кто готовит,Кто утверждает,Статус,Следующий шаг
PDC01,Terms of Service,"Footer; checkout; registration; account","Платная консультация; роли; account rules; limitations; no medical/legal/financial advice","HTML-ready page + checkout/footer link",PM,Founder/legal,адаптировать,"Убрать dating legacy и подготовить Nebula wording"
PDC02,Privacy Policy,"Footer; registration; checkout; support","Данные профиля; консультации; сообщения; expert/admin access; support; analytics; email events","HTML-ready page + список данных и целей",PM,Founder/legal,адаптировать,"Связать с client/expert/support flow"
PDC03,Cookie / tracking notice,"Landing; footer; privacy","Analytics; source/campaign tracking; consent/notice by geography","Страница/баннер/текст + analytics events","PM + Игорь",Founder/legal,частично,"Согласовать с purchase analytics PAC01-PAC12"
PDC04,Refund / support review policy,"Checkout; Terms; support; FAQ","Как подать обращение; причины review; кто решает; что не обещаем","HTML-ready text + support_case_id связь",PM,"Founder/legal/payment",approval gate,"Подготовить текст но не утверждать window/reasons без владельца"
PDC05,Service disclaimer,"Landing; checkout; FAQ; email/footer","Эзотерический/self-reflection/entertainment context; no guarantees; not medical/legal/financial advice","Скрин/HTML блока до оплаты",PM,Founder/legal,обязательно,"Разместить в landing/checkout/success/email templates"
PDC06,Checkout consent wording,Checkout,"Что покупает клиент; price; currency; delivery time; format; support note; one-time purchase","Скрин checkout checkbox/text + order value","PM + Игорь","Founder/payment/legal",нет финала,"Собрать microcopy и связать с safe checkout"
PDC07,FAQ / trust blocks,"Landing; checkout; cabinet; support","Как работает сервис; кто отвечает; сроки; качество; безопасность; problem path","HTML-ready FAQ + support path",PM,Founder,подготовить,"Сверить с AskNebula/PbExpert и нашим flow"
PDC08,Contact / support page,"Footer; FAQ; checkout; cabinet","Куда писать; какие данные указать; support SLA; problem-state route","Ссылка на страницу + support capture SPC01-SPC10","PM + Игорь",Founder,не доказано,"Связать public support с admin support case"
PDC09,Expert terms / code of conduct,"Expert onboarding; training; admin access","Правила эксперта; quality; safety; no off-platform; SLA; sanctions","HTML/PDF/lesson link + checkbox acceptance",PM,Founder,частично,"Связать с регламентом и E01-E05 admission"
PDC10,Email / notification legal footer,No-send email templates,"Service name; support link; reason; unsubscribe/preference if applicable; disclaimer","No-send preview NSC event with footer","PM + Игорь",Founder/legal,не доказано,"Проверить в no-send capture sheet"
PDC11,Advertising / endorsement disclosure,"Ads; influencers; reviews; landing","Truthful claims; sponsored/affiliate disclosure; no fake guarantees","Ad/influencer checklist before traffic","PM + marketing",Founder/legal,preflight,"Добавить в marketing go/no-go before paid traffic"
PDC12,Final approval gate,"Перед публикацией LP/checkout","Seller; payment provider; descriptor; refund window; geography; final legal approval","Founder decision log + approved publication checklist","Founder/legal/payment",Founder,не PM-only,"PM готовит пакет финал ждет решения владельца"
