"ID","Area","Status","Proved","Missing","Next","Owner","Proof"
"REQ01","Доказательная база текущего состояния","yellow","Есть proof ledger, source coverage, trust standard, blocker burn-down, link audit и опубликованные реестры по слоям.","Нет runtime-фактов сайта: order id, session id, no-send log, support case, QA report.","Двигаться по очереди снятия блокеров и добавлять только фактические proof.","PM + команда","pm-current-state-proof-ledger.html"
"REQ02","Backend Confideline как база платформы","yellow","Есть backend/admin inventory, admin gate, контракт Игорю и runtime evidence kit.","Не доказан сквозной путь order -> question -> session -> assignment -> answer -> support -> events.","Игорь показывает AC01-AC09 на одном безопасном тестовом заказе.","Игорь + QA + PM","backend-admin-function-evidence-inventory.html"
"REQ03","Frontend/design Oracle/Nebula","yellow","Есть дизайн-источники, screen/backend/content inventory и экранные gates.","Нет полного screen-by-screen proof для P0 paid-flow и runtime-связки с backend.","Сначала закрыть оффер, checkout, вопрос, ответ, support и FAQ через screen contract.","PM + Антон + Игорь","frontend-design-backend-evidence-inventory.html"
"REQ04","Trello и план июня","yellow","Есть снимок Trello, план июня, правило “обновить”, запрет менять названия без команды, факт-статусы.","Не все карточки имеют внедренный результат и proof-ссылку.","После результата добавлять Blue Panel proof в карточку, не перетирая постановку.","PM","trello-current-source-snapshot.html"
"REQ05","Blue Panel как инфраструктура контроля","green","Есть главная панель, страница для Алексея, PM coverage, readiness, proof стандарт, burn-down, опубликованные ссылки.","Требует регулярного обновления после каждого факта.","Поддерживать как stakeholder cockpit, не превращать в склад мыслей.","PM","../index.html"
"REQ06","Документы, policies, дисклеймеры и checkout","yellow","Есть public docs/checkout PM-пакет и отдельный реестр документов, правил, blockers и мест размещения.","Финал зависит от seller/payment/descriptor/refund/geography/legal review и checkout runtime proof.","Готовить HTML-ready пакет, но не публиковать финал и не запускать оплату.","PM + Founder + legal/payment later","legal-checkout-docs-evidence-inventory.html"
"REQ07","Обучение и школа экспертов","yellow","Материалы AskNebula/PbExpert извлечены; есть школа v1, регламент, scorecard и admission gate.","Нет ревизии Ксении по готовому пакету и нет результатов прохождения первыми экспертами.","Выдать ревизию Ксении и подготовить тестовый кейс для пробных ответов.","PM + Ксения","expert-training-admission-evidence-inventory.html"
"REQ08","Первые 5 экспертов","red","Есть gate и журнал допуска.","Журнал не заполнен по каждому из 5: обучение, тест, пробный ответ, SLA, PM verdict.","Заполнить статус каждого эксперта: допущен / доработка / не допущен.","PM + Ксения + эксперты","first-five-expert-admission-gate.html"
"REQ09","Экспертский/агентский контур","red","Есть workspace handoff и expert runtime proof register.","Не доказано, что исполнитель получает задачу и отвечает внутри системы.","Проверить assignment, workspace и answer delivery на контрольном заказе.","Игорь + QA + эксперт","expert-runtime-proof-register.html"
"REQ10","Клиентский путь платной консультации","red","PF00-PF12 описаны; есть runtime proof master и evidence capture kit.","Нет фактического прохода offer -> checkout/test order -> question -> answer -> support/follow-up.","После READY gate провести безопасный контрольный заказ.","Игорь + QA + PM","runtime-proof-master-register.html"
"REQ11","Админка и операционная видимость","red","Есть admin control gate и backend/admin inventory.","Нет скринов/логов, что админ видит весь заказ без ручного поиска.","Показать order, question, assignment, events, support и final status в admin route.","Игорь + QA","admin-control-order-gate.html"
"REQ12","Support, тикеты, просрочки, возвраты","red","Есть support/failure gate и problem proof register.","Нет runtime support-case, связанного с order/session/chat/expert.","Включить один problem state в контрольный заказ.","Support + QA + PM","support-failure-state-gate.html"
"REQ13","Email, события, уведомления, no-send","red","Есть no-send gate, event matrix и требования к preview/log.","Нет no-send event log на тестовом заказе.","Проверить created/question/assigned/answered/support/resolved events без отправки.","Игорь + QA","notification-event-nosend-gate.html"
"REQ14","QA перед трафиком","red","Есть QA brief, public report shell, proof naming и evidence kit.","Нет PASS/WARN/STOP по рабочему сайту.","После READY от Игоря пройти QA и опубликовать отчет.","QA + PM","qa-test-order-execution-brief.html"
"REQ15","Маркетинг, экономика и первый трафик","red","Есть go/no-go, CAC/LTV, capacity/economy gates и marketing inventory.","Нет QA PASS, capacity proof, legal/payment decisions и фактической экономики.","Готовить материалы, но paid traffic запрещен до runtime proof.","PM + Founder","marketing-launch-evidence-inventory.html"
"REQ16","Классификация красный/желтый/зеленый","green","Есть readiness, coverage, objective audit и trust standard, который фиксирует вес доказательств.","Статусы должны пересчитываться только по новым фактам.","После каждого runtime proof обновлять связанные страницы.","PM","pm-evidence-trust-standard.html"
"REQ17","Пробелы, блокеры и владельцы","green","Есть owner map, team queue, current next actions и launch blocker burn-down board.","Красные блокеры остаются до runtime/external proof.","Двигаться по burn-down board: кто, действие, результат, proof.","PM + команда","launch-blocker-burndown-board.html"
"REQ18","Понятный мастер-план с proof-ссылками","green","Есть страница для Алексея, июньская карта, мастер-план, PM coverage и proof-ссылки.","После runtime QA нужно обновить go/no-go и Trello result links.","Использовать как основу разговора с Заказчиком.","PM + Алексей","alexey-master-plan.html"
"REQ19","Автономная работа PM","green","Есть матрица автономности, стандарт доказательств и очередь PM-действий.","Автономность не заменяет runtime от Игоря, QA, Ксении и решений founder/legal/payment.","PM закрывает все подготовительные желтые пакеты сам, красное закрывается только фактами.","PM","pm-autonomous-workstream.html"
