"ID";"Зона";"Статус";"Что можно делать сейчас";"Что нельзя делать";"Что должно стать proof";"Кто следующий";"Решение PM";"Ссылка"
"TRF01";"Запрет paid traffic до QA";"красный";"Готовить preflight, оффер, отчеты, UTM, stop-rules";"Покупать рекламу, публиковать кампании, вести внешний трафик";"QA PASS/WARN по safe order";"QA + PM";"До QA traffic = 0";"prelaunch-qa-capture-sheet-2026-06-06.html"
"TRF02";"Оффер первой покупки";"желтый";"Собрать один честный offer pack: разовая консультация, срок, формат, ограничения, CTA";"Обещать точные предсказания, гарантированный результат, скрытую подписку";"Offer pack связан с LP/checkout/docs";"PM + Антон";"Готовить, не публиковать без gates";"launch-content-source-register-2026-06-06.html"
"TRF03";"LP/checkout связка";"красный";"Сверить landing CTA, package, checkout, question, support";"Публиковать LP/checkout без safe order и legal/payment approvals";"CTA → safe order → question proof";"Игорь + PM";"Без proof LP остается черновиком";"page-content-backend-readiness-map-2026-06-06.html"
"TRF04";"Документы и checkout trust";"красный";"Готовить HTML-ready Terms/Privacy/Refund/disclaimer/FAQ";"Утверждать seller/provider/descriptor/refund/geography вместо founder/legal/payment";"PDC01-PDC12 + decision log";"Founder/legal/payment";"Approval gate не закрыт";"public-docs-checkout-capture-sheet-2026-06-06.html"
"TRF05";"Capacity первых 5 экспертов";"красный";"Готовить admission, SLA, scorecard, daily capacity";"Открывать поток заявок при 0/5 accepted experts";"E01-E05 accepted или явный capacity limit";"PM + Ксения";"Внешний лимит заказов сейчас = 0";"expert-launch-admission-control-2026-06-06.html"
"TRF06";"Post-payment ops";"красный";"Готовить admin/no-send/support capture sheets";"Покупать трафик без support и no-send runtime proof";"AOC + NSC + SPC на одном order_id";"Игорь + QA";"Без ops proof трафик запрещен";"post-payment-ops-control-2026-06-06.html"
"TRF07";"Purchase analytics";"красный";"Задать source/session/order/value/currency/service/support поля";"Считать CAC/LTV по ручным предположениям без order proof";"PAC01-PAC12 на safe order";"Игорь + PM";"CAC/LTV сейчас невалидны";"purchase-analytics-control-order-capture-sheet-2026-06-06.html"
"TRF08";"Daily report первого дня";"желтый";"Подготовить шаблон spend/click/orders/CAC/SLA/support/verdict";"Запускать день без владельца отчета и evening decision";"Шаблон принят, поля связаны с analytics";"PM";"Можно готовить заранее";"first-traffic-daily-report-template.html"
"TRF09";"Stop-rules первого дня";"желтый";"Определить STOP/HOLD/CONTINUE SMALL/REDUCE/RETEST";"Автоскейлить без 3 зеленых дней и support/quality control";"Stop-rules в daily report";"PM + Founder";"Small test only after gates";"first-traffic-preflight-operating-board.html"
"TRF10";"Policy-safe креативы";"желтый";"Готовить креативы без гарантий, страха, чувствительных claims; перед публикацией перепроверить policy";"Публиковать креативы без актуальной policy/legal проверки";"Creative preflight + approval";"PM + Founder/legal";"Черновики можно, публикация нельзя";"marketing-ltv-acquisition-control.html"
"TRF11";"Organic / PR / UGC";"желтый";"Готовить shortlist площадок, influencer brief, disclosure, материалы";"Публиковать отзывы/UGC/партнерки без disclosure и approval";"Whitelist + brief + approval log";"PM + Founder";"Можно готовить без публикации";"organic-pr-ugc-trust-content-control.html"
"TRF12";"Email retention / service messages";"красный";"Разделить service email и marketing email, подготовить no-send previews";"Отправлять реальные письма/ретеншн-цепочки до consent/no-send proof";"NSC events + footer/consent proof";"Игорь + PM";"No-send first, real send later";"nosend-control-order-capture-sheet-2026-06-06.html"
"TRF13";"Первый бюджет и лимит";"красный";"Считать допустимый small cap после QA/capacity/docs/analytics";"Назначать бюджет до доказанной capacity и stop-loss";"Founder-approved cap + daily capacity";"Founder + PM";"Budget = 0 сейчас";"first-traffic-cac-ltv-calculator.html"
"TRF14";"Переход к масштабированию";"красный";"Описать критерии: 3 зеленых дня, SLA, support, CAC, quality, no payment/docs incidents";"Включать app/AI/influencers/SEO scale до базового proof";"First test report + decision log";"PM + Founder";"Scale после фактов, не сейчас";"launch-readiness-proof-index-2026-06-06.html"
