"Layer","Current","Required","Quality","Risk","Next","Link"
"Стратегия и мастер-план","L8 PM-вывод + L5 Trello/Blue Panel","L5-L8 достаточно для управленческой основы","достаточно для PM","Стратегия не доказывает работоспособность сайта.","Поддерживать связь с runtime proof и не повышать launch-status по стратегии.","alexey-master-plan.html"
"Blue Panel / PM cockpit","L3-L5 опубликованные страницы, CSV, proof-ссылки","L3-L5 достаточно для управленческого контроля","достаточно для PM","Панель может устареть после новых ответов команды.","Обновлять после accepted/returned/blocked.","pm-daily-control-room.html"
"Trello / задачи месяца","L5 источник намерений и плана","L5 для плана, L1-L2 для результата внедрения","только контекст","Карточка не доказывает внедрение.","После результата добавлять ссылку Blue Panel и proof.","trello-june-fact-status.html"
"Backend Confideline / админка","L3 подготовленные gates и handoff","L1 runtime order + L2 QA для зеленого","недостаточно для запуска","Нет единого заказа с вопросом, исполнителем, ответом, событиями и support.","R01: safe test order от Игоря.","backend-admin-safe-order-execution-board-2026-06-06.html"
"Frontend/design Oracle/Nebula","L4 design/screen contracts","L4+L3 для передачи, L1-L2 для готовности paid-flow","частично","Макет без backend/action/error states не доказывает функцию.","Screen contracts для критичных экранов.","oracle-nebula-screen-contract-2026-06-06.html"
"Клиентский платный путь","L8/L3 описанный сценарий и контракт","L1 runtime path + L2 QA","красный","Нет прохода offer -> order -> question -> answer -> support.","После R01/R02 запустить QA по контрольному заказу.","paid-client-flow-proof-contract-2026-06-06.html"
"Рабочее место эксперта/агента","L3 handoff и требования","L1 assignment/answer + L2 QA","красный","Не доказано, что исполнитель получает и закрывает задачу в системе.","Проверить assignment и answer_id на safe order.","expert-runtime-proof-register.html"
"Школа и первые 5 экспертов","L6 материалы + L8 PM-адаптация","L1/L2 admission journal, scorecard, пробный ответ, E01-E05 verdict","красный","0/5 экспертов accepted.","R02: минимум E01 для QA, затем E01-E05.","first-five-expert-admission-proof-contract.html"
"Email, уведомления, события","L3 no-send acceptance","L1 event log на order_id + L2 QA","красный","Шаблоны без trigger/event log не доказывают работу.","No-send events в safe order.","notification-event-nosend-gate.html"
"Support и проблемные ситуации","L3 support/failure contracts","L1 support_case_id на order_id + L2 QA","красный","Нет проблемного сценария с владельцем и решением.","Смоделировать problem state в контрольном заказе.","support-failure-state-gate.html"
"Документы и checkout доверие","L6/L8 пакет и PM-тексты","L3 HTML-ready + founder/legal/payment decision + checkout screen","желтый","PM не утверждает seller/provider/descriptor/refund/geography.","Готовить пакет, финал после решений владельца.","public-docs-checkout-trust-proof-contract-2026-06-06.html"
"Маркетинг, трафик, LTV","L7 research + L8 PM-модель","L1 purchase analytics + L2 QA + capacity proof","красный","CAC/LTV без source/session/order/value является гипотезой.","Готовить материалы, paid traffic = 0 до proof.","first-traffic-capacity-economy-gate.html"
"Аналитика покупки","L3 capture sheets","L1 source/session/order/value/currency/service/support row","красный","Нет связанной строки покупки на одном заказе.","Привязать purchase analytics к safe order.","purchase-analytics-control-order-capture-sheet-2026-06-06.html"
"QA перед трафиком","L3 QA runbook/contract","L2 public QA report PASS/WARN/STOP","красный","QA нельзя стартовать без R01/R02.","Старт QA только после READY.","prelaunch-qa-proof-contract-2026-06-06.html"
"Founder/legal/payment decisions","L8 список решений и блокеров","L5/L3 зафиксированное решение владельца","желтый","PM не может принять юридические и платежные решения сам.","Decision record по seller/provider/descriptor/refund/geography.","launch-blocker-owner-register-2026-06-06.html"
