"area","status","owner","must","proven","missing","next","proof"
"Go/no-go перед первым трафиком","red","PM / QA","Есть PASS/WARN/STOP по test order: оффер, заказ, вопрос, эксперт, ответ, support, no-send, админка, отчет.","Контрольные карты paid consultation, support, events и QA уже собраны.","Нет фактического runtime QA отчета по одному test order.","Не запускать трафик до публикации PASS/WARN/STOP отчета.","paid-consultation-launch-control.html|pre-traffic-qa-decision-package.html"
"Оффер и посадочная страница","yellow","PM + Антон","Клиент до клика оплаты понимает формат консультации, цену, срок ответа, ограничения, support и следующий шаг.","Есть дизайн/верстка Nebula и карта MVP-экранов.","Нет offer-proof по конкретной landing/service page, связанной с test order.","Собрать proof для Home + одной коммерческой страницы услуги.","oracle-nebula-mvp-screen-readiness-map.html|marketing-economics-readiness-map.html"
"UTM и источник клиента","red","PM + Игорь","Каждый тестовый клиент имеет источник, кампанию, креатив, страницу входа и связь с заказом/консультацией.","Events map требует сохранения source/UTM.","Нет proof source -> order -> consultation -> result.","В test order добавить источник и проверить его в отчете.","events-notifications-launch-control.html|marketing-economics-readiness-map.html"
"Минимальный рекламный бюджет","yellow","PM / founder decision","Запускается только малый тест, достаточный для проверки воронки, но не для масштабирования.","Handoff рекламного теста и stop rules есть.","Не утвержден размер теста и канал; нет готовности сервиса принимать трафик.","После go/no-go согласовать лимит, канал, длительность и дневной контроль.","marketing-traffic-test-handoff.html|co2p-marketing-first-traffic-gonogo.html"
"CAC как расчетная рамка","yellow","PM","CAC считается как расход / оплатившие клиенты; допустимый CAC сравнивается с валовой прибылью и риском возвратов.","First sales economics задает формулу и не выдает прогноз как факт.","Нет фактических расходов, оплат, refund и repeat.","Считать только после малого теста; до этого хранить как модель, не обещание.","first-sales-economics.html|marketing-economics-readiness-map.html"
"LTV и повторные покупки","yellow","PM","После первой консультации фиксируются repeat 7/14/30, follow-up, причина возврата клиента и качество первого опыта.","Events и economics выделяют repeat/LTV.","Нет фактических повторов и follow-up сценария на test order.","Добавить follow-up после успешного test order и считать repeat только по данным.","events-notifications-launch-control.html|first-sales-economics.html"
"Нагрузка 5 экспертов","red","PM + expert lead","Перед трафиком понятно, сколько консультаций в день выдерживают 5 экспертов без просрочек и падения качества.","Экспертский контур показывает SLA, качество, допуск и workspace как блокеры.","Нет capacity test и proof допуска первых 5.","Провести тестовую нагрузку: хотя бы 3-5 тестовых консультаций с SLA и quality review.","first-five-experts-launch-control.html|expert-contour-readiness-map.html"
"Stop-сигналы рекламного теста","yellow","PM / QA / support","Тест останавливается при сбое оплаты/заказа, отсутствии ответа, неработающем support, высокой доле жалоб, непонятном статусе клиента или отклонении креативов.","Stop-сигналы описаны в marketing handoff и pre-traffic control.","Не связаны с фактическим dashboard и daily report.","Собрать daily stop checklist перед первым тестом.","marketing-traffic-test-handoff.html|support-refund-launch-control.html"
"Отчет первого рекламного теста","red","PM","После теста есть отчет: расход, визиты, регистрации, заказы, вопросы, ответы, SLA, жалобы, refund, repeat, вывод go/stop.","Result publication standard и events map есть.","Нет шаблона результата именно под маркетинговый тест и нет данных.","Создать report template до покупки трафика; заполнить после теста.","result-publication-standard.html|events-notifications-launch-control.html"
"Креативы и обещания","yellow","PM + Антон","Креативы не обещают гарантированный результат, не давят страхом, не используют фейковые отзывы, соответствуют выбранному каналу.","Marketing readiness фиксирует рекламные ограничения и необходимость review.","Нет списка конкретных креативов и чек-листа stop-words.","Собрать creative review checklist и применить к первым 5-10 креативам.","marketing-traffic-readiness.html|strategy-board.html"
"Email/retention после покупки","yellow","PM + Игорь","После консультации клиент получает сервисные статусы и follow-up без нарушения consent/отписки.","Email/events handoff и no-send control есть.","Нет no-send proof follow-up/repeat и разделения service vs marketing messages.","После test order добавить follow-up preview и consent boundary.","events-notifications-launch-control.html|email-notifications-handoff.html"
"Органика, SEO, контент","yellow","PM / content","Контент можно готовить до рекламы: страницы услуг, FAQ, блог, внутренние ссылки, доверие, но не подменять readiness.","В Nebula есть service pages, blog, FAQ, design/content карты.","Нет контент-плана и связи страниц с paid flow.","Собрать отдельный SEO/content backlog после закрытия paid consultation proof.","oracle-nebula-mvp-screen-readiness-map.html|marketing-economics-readiness-map.html"
"Инфлюенсеры и внешние размещения","yellow","PM","Можно готовить список площадок и brief, но не публиковать без working landing, disclosure и support readiness.","Стратегия и marketing readiness учитывают конкурентов и внешние каналы.","Нет whitelist, disclosure шаблона и рабочей landing acceptance.","Подготовить shortlist и brief после offer-proof.","strategy-board.html|marketing-traffic-readiness.html"
"Dashboard первых дней","red","PM + Игорь","Каждый день видны визиты, регистрации, заказы, вопросы, назначение, ответы, просрочки, жалобы, refund, расход и вывод дня.","Admin/events карты требуют dashboard.","Нет фактического dashboard по paid consultation.","Сначала собрать dashboard на test order, потом использовать для малого трафика.","admin-operations-control-map.html|events-notifications-launch-control.html"
