"id","work","status","pm_result","proof_limit","next","owner"
"PM-01","Стратегия и мастер-план","делать сейчас","Стратегия связана с мастер-планом, июнем и proof-ссылками","Не доказывает работу сайта","Обновлять после новых фактов","PM"
"PM-02","План июня и Trello-связка","делать сейчас","Для каждой задачи есть понятный результат, Blue Panel ссылка и статус","Не менять названия Trello без команды","Держать снимок задач и результат месяца","PM"
"PM-03","Источники и пробелы","делать сейчас","Показано, что извлечено, что не доказано и где нужен доступ","Источник не равен запусковой готовности","Добрать только критичные закрытые источники","PM"
"PM-04","Экранные контракты Oracle/Nebula","делать сейчас","Экран связан с backend, контентом, ошибками и QA-ожиданием","Макет не равен внедрению","Разбирать P0-экраны по очереди","PM + Антон"
"PM-05","Контент страниц и документов","делать сейчас","Контент-реестр: где текст показывается, источник, владелец и статус","Не публиковать legal/payment без решения","Готовить HTML-ready пакет","PM"
"PM-06","Школа экспертов и регламент","делать сейчас","Материалы, scorecard, тест, журнал E01-E05 и роль Ксении","0/5 accepted до фактического допуска","Подготовить приемку E01 и затем E02-E05","PM + Ксения"
"PM-07","Рабочее место эксперта/агента","готовить пакет","co2p-пакет: задача, вопрос, SLA, ответ, начисления, видимость админа","Нужен runtime order proof","Связать с R01","PM + Игорь"
"PM-08","Email, уведомления, no-send","готовить пакет","События, шаблоны, переменные, правила no-send проверки","Нет event_id без safe order","Включить в R01 и QA","PM + Игорь + QA"
"PM-09","Support и failure states","готовить пакет","Сценарии просрочки, плохого ответа, refund-review, escalation","Нет support_case_id без runtime","Включить в safe order/problem case","PM + Игорь + QA"
"PM-10","Analytics, CAC/LTV, first traffic preflight","готовить без запуска","Поля покупки, source/session/order/value, условия первого рекламного теста","Трафик = 0 до QA и capacity","Не запускать рекламу, готовить учет","PM"
"PM-11","QA-пакет","готовить без запуска","Сценарий, чек-лист, PASS/WARN/STOP, что фотографировать и где смотреть","QA стартует только после R01/R02","Открыть QA-ready после accepted proof","PM + QA"
"PM-12","Ежедневный контроль","делать постоянно","Утро: статус. День: прием proof. Вечер: Blue/Trello/блокеры. Понедельник: update.","Контроль не заменяет выполнение","Вести без технического шума","PM"
