id,page,group,sections_count,sections_preview,public_url,backend_dependency,content_dependency,status,status_reason,source,header_links
DS01,Home,Главная / вход в продукт,16,Hero v1; What is Neuro?; Browse more psychic readers statistics/numbers; Hundreds of psychic readers ready for You; Clients love our services; Testimonials (video cards); Best Online reading; Browse more topics on the Neuro,https://cutthreat.github.io/nebula-pages-public/home.html,"страницы CMS, настройки темы, регистрация, аналитика, модалки","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,https://pavlo-bondarchuk.github.io/neuro/home.html; https://github.com/pavlo-bondarchuk/neuro; https://github.com/pavlo-bondarchuk/neuro/releases/tag/1.0
DS02,Psychic Reading 1200+,Коммерческая страница услуги,7,Hero v2; Browse more psychic readers simplified; Users Rate Our Psychics Highly; Why Trust Neuro Psychics?; Transform Your Life with Neuro Psychic Readings Today; Psychic Readings Tailored Specifically for You; FAQ,https://cutthreat.github.io/nebula-pages-public/psychic-reading-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS03,Tarot Reading 1200+,Коммерческая страница услуги,7,Hero v2; Browse more psychic readers simplified; Users Rate Our Psychics Highly; Witness the Power of Tarot Reading with Neuro; Why Rely on Tarot Reading Services?; True Tarot Reading Within Your Reach; FAQ++,https://cutthreat.github.io/nebula-pages-public/tarot-reading-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS04,PALM Reading 1200+,Коммерческая страница услуги,4,Hero v2; How a Palm Reading Scanner Works and What It Sees; Top Questions a Palm Reading Can Answer; FAQ,https://cutthreat.github.io/nebula-pages-public/palm-reading-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS05,PHONE PSYCHIC Reading 1200+,Коммерческая страница услуги,7,Hero v2; Browse more psychic readers simplified; Honest Reviews from People; Why Choose Nebula’s Psychic Phone Readings?; Phone Psychic Readings for All Life Scenarios; Affordable Conversation with Phone Psychics; FAQ++,https://cutthreat.github.io/nebula-pages-public/phone-psychic-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS06,ALL PSYCHIC Reading 1200+,Коммерческая страница услуги,10,Hero v3; Best in Love readings; Best Online Psychics; numbers; video; Browse all from category; Affordable Conversation with Phone Psychics; Why Choose Online Psychics from Neuro?,https://cutthreat.github.io/nebula-pages-public/all-psychic-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS07,Cheap Psychic 1200+,Коммерческая страница услуги,7,Hero v2; Browse all from category; Real Reviews from Users; Why use Nebula for cheap psychic reading online?; When You Need a Cheap Psychic Reading; Cheap Online Psychics Are Just a Click Away; FAQ++,https://cutthreat.github.io/nebula-pages-public/cheap-psychic-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS08,LOVE READING 1200+,Коммерческая страница услуги,6,Hero v2; Browse more psychic readers simplified; People Rate Our Psychics Highly; What a Love Psychic Can Help You See; Love Psychic Readings People Turn to More Often; FAQ++,https://cutthreat.github.io/nebula-pages-public/love-reading-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS09,Zodiac Compatibility 1200+,Коммерческая страница услуги,7,Hero v4; Birthday compatibility; EXPLORE THE UNIVERSE OF YOUR RELATIONSHIP; Astrology Compatibility Chart; Astrological elements; Love compatibility test with our expert; FAQ++,https://cutthreat.github.io/nebula-pages-public/zodiac-compatibility-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS10,taurus Compatibility 1200+,Коммерческая страница услуги,13,Hero v2; Choose Your Partner’s Zodiac Sign; EXPLORE THE UNIVERSE OF YOUR RELATIONSHIP; Astrology Compatibility Chart v2 - Taurus Compatibility Chart; The Best Compatibility For taurus; video; Taurus Compatibility With The 12 Zodiac Signs; EXPLORE THE UNIVERSE OF YOUR RELATIONSHIP,https://cutthreat.github.io/nebula-pages-public/taurus-compatibility-new.html,"страницы CMS, категории, карточки экспертов, цены, CTA, заказ","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS11,Blog,Контент / блог,3,Choose a category:; Find answers for your life; blog grid,https://cutthreat.github.io/nebula-pages-public/blog-new.html,"страницы/посты, SEO, категории, перелинковка","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
DS12,Blog inner page,Контент / блог,2,main; blog grid,https://cutthreat.github.io/nebula-pages-public/blog-input-new.html,"страницы/посты, SEO, категории, перелинковка","тексты блоков, CTA, FAQ/доверие, юридические пояснения, переводы и email/уведомления там, где есть действие пользователя",желтый,"Есть структура блоков и публичная верстка, но нет доказанной связи с бекендом, контентом, состояниями ошибок и тестом.",Google Sheet 100Vms: структура пробной верстки Nebula/Neuro,
