"Area","Status","Evidence","Link","Proven","Missing","Next"
"QA-инфраструктура Confideline","Зеленый как источник","Есть публичный каталог QA-отчетов и стандарт тестирования","https://cutthreat.github.io/confideline/web/qa-reports/","Можно использовать как доказательную базу по текущему сайту","Не заменяет запусковой тест Nebula","Привязывать отчеты к конкретным условиям запуска"
"Общий аудит текущего сайта","Красный для запуска","Полный аудит функционала 2026-06-02 показывает FAIL/WARN/BLOCKED","https://cutthreat.github.io/confideline/web/qa-reports/full-functional-audit-2026-06-02/","Текущий сайт нельзя считать production-ready для Nebula без исправлений и нового proof","Сквозной маршрут платной консультации","Использовать как базовый риск-лист, не как разрешение на трафик"
"Пользователи, вход, роли","Желтый","Confideline имеет dating/user/admin базу и отчеты public/auth","https://cutthreat.github.io/confideline/web/qa-reports/public-auth-accessibility-2026-05-09/","Есть база платформы для аккаунтов и доступа","Роли эксперта/агента в Nebula-сценарии не доказаны","Проверить роль эксперта/агента на тестовой консультации"
"Поиск людей / каталог","Желтый","Есть discovery/detail/user interaction QA-отчеты","https://cutthreat.github.io/confideline/web/qa-reports/discovery-surfaces-2026-05-09/","Dating-логика поиска может быть платформенной базой","Связка каталога экспертов с платной консультацией","Решить: клиент выбирает эксперта или категорию/очередь"
"Сообщения и чат","Желтый","Есть отчет messages-thread-lifecycle и отдельный admin-chat workspace","https://cutthreat.github.io/confideline/web/qa-reports/messages-thread-lifecycle-2026-05-10/","Поверхность сообщений существует и тестировалась","Связь чата с paid consultation lifecycle","Связать чат с заказом, дедлайном и ролью эксперта"
"Тестовый заказ консультации","Красный","Есть handoff-пакет Игорю, но runtime proof отсутствует","igor-test-order-consultation-handoff.html","Задача сформулирована","Рабочий test order без реального платежа","Реализовать/подтвердить order → question → assignment → chat → answer"
"Операционная админка","Красный","Есть карта admin ops и handoff-пакеты","admin-ops.html","Описано, какие очереди и статусы нужны","Скрин/отчет, что админ видит весь маршрут без ручного поиска","Проверить очереди: новые, без вопроса, без назначения, просрочено, жалоба"
"Рабочее место эксперта и агента","Красный","Есть готовый пакет передачи Игорю","expert-agent-workspace-handoff.html","Описаны роли, вкладки, задачи, сроки, качество, начисления","Фактическая роль в админке на тестовой консультации","Подтвердить/реализовать role-based доступ и сценарий работы"
"Email, уведомления и события","Желтый","Есть email handoff и публичный email admin upload контур","email-notifications-handoff.html","События, шаблоны, переменные и no-send подход подготовлены","No-send proof в полном маршруте консультации","Связать уведомления с test order, назначением, ответом, жалобой"
"Поддержка, жалобы, возвраты","Красный","Есть support/refund handoff","support-refund-handoff.html","Описана карточка обращения и связи с заказом/чатом/экспертом","Runtime proof проблемного сценария","Проверить сценарий: эксперт не ответил или клиент недоволен"
"Модерация, баны, качество","Желтый","Есть QA-отчеты bans/moderation/shadow-ban и карта качества экспертов","https://cutthreat.github.io/confideline/web/qa-reports/bans-current-2026-05-09/","У платформы есть модерационная база","Связь качества ответа с видимостью эксперта и санкциями","Прописать и проверить quality → warning/ban/visibility"
"Начисления экспертам и агентам","Желтый","Есть handoff-пакет начислений","expert-agent-compensation-handoff.html","Описаны статусы, удержания и видимость начислений","Тестовое начисление после закрытия консультации","Добавить в сквозной маршрут тестовое начисление без реальных выплат"
"Юридические страницы и дисклеймеры","Красный","Есть legal readiness и HTML-пакет как подготовка","legal-docs-readiness.html","Список необходимых документов определен","Founder/legal/payment approval и финальное размещение","Готовить пакет, но не публиковать как финальные правила до решений"
"Аналитика запуска","Красный","Есть карта событий и экономика первых продаж","events.html","События и показатели определены","Фактический отчет по test order: источник, заказ, ответ, жалоба, начисление","Собрать отчет после сквозного теста"
