ID;Блок;Что должно быть;Где показывается;Что блокирует финал;Статус;Следующее действие PM
LD01;Terms of Service;Paid text consultation, аккаунт, правила услуги, ограничения, dispute/support path;Footer, регистрация, checkout;Legal seller, jurisdiction, governing law, final service wording;Желтый - черновик/адаптация;Подготовить HTML-ready Nebula terms с переменными
LD02;Privacy Policy;Аккаунт, сообщения, консультации, платежный статус, support, analytics, email events;Footer, регистрация, checkout, email footer;Фактические analytics tools, payment provider, data controller;Желтый - адаптировать;Сверить с реальным tracking/email/payment стеком
LD03;Cookie / tracking notice;Login/session cookies, analytics, marketing tags, consent/отказ;Первый визит, footer, privacy;Какие теги реально включены и какой consent tool используется;Желтый - готовить;Не включать marketing tags без согласованной consent-логики
LD04;Service disclaimer;Entertainment/self-reflection, не medical/legal/financial/mental health advice, no guaranteed outcome;Landing, expert profile, checkout, FAQ, Terms;Финальный wording и места показа в макетах;Желтый - обязателен;Сделать короткую и полную версию
LD05;Refund / satisfaction review;Окно обращения, SLA ответа, retry/credit/refund review, владелец решения;Checkout, Terms, FAQ, support;Refund window/reasons/owner не утверждены;Красный - ждет решение;Подготовить варианты, не утверждать вместо основателя
LD06;Checkout consent;Цена, one-time payment, формат, срок ответа, Terms/Privacy, disclaimer, refund review;Перед оплатой и на кнопке/чекбоксе;Payment provider, descriptor, final checkout design;Красный - нет финала;Собрать microcopy для starter package
LD07;FAQ / how it works;Как задать вопрос, кто отвечает, срок, что делать при проблеме, что не обещаем;Landing, footer, кабинет, checkout sidebar;Нужна сверка с реальным order/support flow;Желтый - готовить;Собрать 12-15 FAQ вокруг paid consultation
LD08;Expert/advisor rules;SLA, запреты, качество ответа, privacy, no off-platform, жалобы, санкции;Школа, админка, onboarding эксперта;Нужно связать с регламентом и quality scorecard;Желтый - частично;Связать с экспертским регламентом и допуском E01-E05
LD09;Reviews / influencer / UGC rules;Disclosure, no fake reviews, no guaranteed result, proof archive;Marketing, landing, публикации, task brief;Нет whitelist/approved creator brief для запуска;Желтый - контур есть;Связать с organic/PR/UGC preflight
LD10;Subscription notice;Если позже подписка: recurring price, period, renewal, easy cancel, explicit consent;Только subscription checkout/account;Phase 1 без подписки; future gate нужен отдельно;Зеленый - не включать в Phase 1;Зафиксировать one-time payment в checkout copy
