internal_id,customer_title,current_title,url,area,status,hours,checklist,labels,attachments,comments,customer_reason,expected_result,pm_recommendation
JUN-01,Рабочий PM-контур Blue panel и Codex,Рабочий PM-контур Blue panel и Codex,https://trello.com/c/gJnFd2wT,стратегия и управление проектом,на согласовании,20,,Codex,,,"Заказчику нужна прозрачная система, где видно: что уже изучено, что доказано, какие задачи идут в месяц, где результат и почему следующий шаг именно такой.","Рабочая Blue panel и PM-контур: мастер-план, июньский план, ссылки на доказательства, правила Trello и публикация результатов.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."
JUN-02,Реестр готовности связанных ТЗ и макетов,Реестр готовности связанных ТЗ и макетов,https://trello.com/c/awgleR9M,"дизайн, ТЗ и готовые наработки",на согласовании,32,,Codex,,,"У нас уже есть много ТЗ и макетов. Перед разработкой нужно понять, что реально готово, что устарело, что можно отдавать Игорю, а что требует переделки.","Реестр связанных ТЗ и макетов: статус готово/частично/не готово, ссылка на результат, решение PM и следующий шаг.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."
JUN-03,Карта обязательных email-уведомлений и рассылок,Карта обязательных email-уведомлений и рассылок,https://trello.com/c/e8aFOO8G,email и уведомления,на согласовании,24,,Codex,,,"Без уведомлений клиент, эксперт и админ не понимают статус заказа, оплаты, ответа, восстановления доступа и повторного контакта. Это влияет на конверсию, поддержку и возвраты.","Карта событий и шаблонов: кто получает уведомление, когда, с какими переменными, где редактируется и как проверяется без реальной отправки.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."
JUN-04,Регламент работы экспертов и агентов,Регламент работы экспертов и агентов,https://trello.com/c/oZYN15XV,эксперты и обучение,на согласовании,24,,Codex,,,"Первые 5 экспертов должны работать одинаково: по правилам ответа, срокам, качеству, продажам, запретам и эскалациям. Иначе сервис будет нестабильным.","Регламент эксперта/агента: правила ответа, срок ответа, продажи, запреты, санкции, критерии качества и действия в спорных ситуациях.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."
JUN-05,Модель работы с агентами и оплатой,Модель работы с агентами и оплатой,https://trello.com/c/bNsEmcDz,экономика и роли,на согласовании,12,,Codex,,,"До запуска трафика нужно понимать, кто за что отвечает, как оплачивается работа, сколько выдерживают 5 экспертов и где риски по марже.","Модель ролей и оплаты: эксперт, агент, модератор, поддержка; варианты оплаты, бонусы, штрафы, риски и решение, что брать на старт.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."
JUN-06,Школа экспертов для первых 5 экспертов,Школа экспертов для первых 5 экспертов,https://trello.com/c/36nRKvdb,эксперты и обучение,на согласовании,16,,Codex,,,Обучение можно делать отдельно от регистрации эксперта. Нам нужно быстро и аккуратно довести первых 5 экспертов до единого стандарта работы.,"Панель/пакет школы v1: уроки, документы, тест допуска, инструкция, контроль прохождения и задача Ксении как ревизору понятности.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."
JUN-07,Пакет рабочего места эксперта и агента в админке,Пакет рабочего места эксперта и агента в админке,https://trello.com/c/bRjDaHwL,чат и рабочее место,на согласовании,20,,Codex,,,"Это ядро платной услуги: после оплаты эксперт/агент должен видеть задачу, контекст, срок ответа, подсказки, историю и начисления, а админ должен видеть контроль.","Веб-контур и ТЗ рабочего места: роли, очереди, статусы, сообщения, срок ответа, начисления, контроль админа и проверка результата.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."
JUN-08,Проверка страниц и функций перед запуском рекламы,Проверка страниц и функций перед запуском рекламы,https://trello.com/c/A4zqo2EI,проверка перед запуском,на согласовании,12,,Codex,,,"Перед рекламой нужно доказать, что клиентский путь, экспертский путь, админка, уведомления и проблемные сценарии проходят проверку. Иначе трафик сгорит.","Понятная карта готовности: какие страницы и функции готовы, что частично готово, что блокирует запуск рекламы и какие проблемные ситуации должен проверить тестировщик.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."
JUN-UX,Список правок дизайна Oracle/Nebula для Антона,Список правок дизайна Oracle/Nebula для Антона,https://trello.com/c/rlMQoaVy,дизайн и страницы,на согласовании,,,Codex,,,"Антон делает дизайн по примеру AskNebula, а PM должен дать ему правки не “на вкус”, а по продуктовой логике: оффер, доверие, путь клиента, связь с бекендом.","Список правок для Антона: экран, что изменить, почему это важно, на какой сценарий влияет, ссылка на макет/доказательство.","Показывать Заказчику через бизнес-результат, аргументацию, часы и ссылку на Blue panel; служебный ID держать отдельно, не в заголовке."

