ID,Слой,Статус,Что уже есть,Что не доказано,Следующий proof,Владелец,Proof/capture
LR01,PM-контур и Blue Panel,зеленый как система,"Панель proof-страницы CSV GitHub Pages связи","Нужно поддерживать актуальность","Обновлять статусы после фактов команды",PM/Codex,pm-current-state-proof-ledger.html
LR02,Стратегия и platform-first,зеленый как направление,"Платформа YouDate сначала Nebula vertical","Стратегия не доказывает работу сайта","Держать задачи месяца связанными с control order",PM,strategy-board.html
LR03,Trello и план июня,желтый,"План июня и Trello source rule","Часть задач не внедрена и не проверена","Обновлять карточки результатами без переименований",PM,june-plan.html
LR04,Backend Confideline и admin route,красный,"Backend/admin основа есть","Нет safe order lifecycle proof","AOC01-AOC15 + Игорь safe order proof",Игорь + PM + QA,admin-operations-capture-sheet-2026-06-06.html
LR05,Дизайн и экраны Oracle/Nebula,желтый,"SCR01-SCR14 готовы","Нет runtime связки экран-действие-backend-content-QA","SCR-листы через test order",PM + Антон + Игорь + QA,screen-contract-capture-sheet-2026-06-06.html
LR06,Клиентский платный путь,красный,"Путь описан","Нет safe checkout/order/question/answer","QAC02-QAC08",Игорь + QA,prelaunch-qa-capture-sheet-2026-06-06.html
LR07,Школа и методология экспертов,желтый,"Школа регламенты scorecard логика","Нет accepted пробных ответов и admission","EA01-EA10 по E01-E05",PM + Ксения,first-five-expert-admission-capture-sheet-2026-06-06.html
LR08,Допуск первых 5 экспертов,красный,"Форма E01-E05 создана","0 из 5 accepted","Заполнить E01-E05 принять минимум E01",PM + Ксения + QA,first-five-expert-admission-capture-sheet-2026-06-06.html
LR09,Рабочее место эксперта/агента,красный,"Требования есть","Нет proof под ролью исполнителя","AOC04/QAC07",Игорь + QA,admin-operations-capture-sheet-2026-06-06.html
LR10,Email события no-send,красный,"No-send sheet есть","Нет event log по одному заказу","NSC01-NSC10",Игорь + QA,nosend-control-order-capture-sheet-2026-06-06.html
LR11,Support problem-state,красный,"Support sheet есть","Нет support_case_id owner decision closure","SPC01-SPC10",Support + PM + QA,support-problem-control-order-capture-sheet-2026-06-06.html
LR12,Public docs checkout trust,красный,"PDC01-PDC12 есть","Нет final approval","HTML-ready пакет + decisions",PM + Founder + Legal/Payment,public-docs-checkout-capture-sheet-2026-06-06.html
LR13,Purchase analytics CAC/LTV,красный,"PAC01-PAC12 есть","Нет source/session/order/value/service/support","PAC01-PAC12 на safe order",Игорь + PM + QA,purchase-analytics-control-order-capture-sheet-2026-06-06.html
LR14,Админский операционный контроль,красный,"AOC01-AOC15 есть","Нет runtime admin proof","AOC01-AOC15 по safe order",Игорь + PM + QA,admin-operations-capture-sheet-2026-06-06.html
LR15,Pre-launch QA,красный STOP,"QAC01-QAC15 есть","QA нельзя стартовать без READY","QAC01-QAC15 + публичный отчет",QA + PM,prelaunch-qa-capture-sheet-2026-06-06.html
LR16,Маркетинг и первый трафик,красный запрещен,"Go/no-go и preflight есть","Нет QA capacity analytics docs approval","First traffic preflight after accepted QA",PM + Marketing + Founder,first-traffic-preflight-operating-board.html
LR17,Legal/payment/founder decisions,красный не PM-only,"Список решений известен","Не утверждены seller provider descriptor refund geography","Founder decision log",Founder,public-docs-checkout-capture-sheet-2026-06-06.html
LR18,Release/launch day control,красный,"План и proof queue есть","Нет QA report traffic limit daily dashboard rollback","Launch day runbook после QA",PM + Founder + Team,launch-proof-execution-queue.html
