Блок;Что должно быть;Где показывается;Что блокирует финал;Статус сейчас;PM-действие
Terms of Service;Paid text consultation, account rules, service limits, support/dispute path;Footer, регистрация, checkout;Legal seller, jurisdiction, final service wording;адаптировать;Подготовить HTML-ready Nebula Terms с переменными
Privacy Policy;Аккаунт, сообщения, консультации, платежный статус, support, analytics, email events;Footer, регистрация, checkout, email footer;Фактические tools, payment provider, data controller;адаптировать;Сверить с реальным tracking/email/payment стеком
Cookie / tracking notice;Login/session cookies, analytics, marketing tags, consent/отказ;Первый визит, footer, privacy;Какие теги реально включены и какой consent tool;готовить;Не включать marketing tags без consent-логики
Service disclaimer;Entertainment/self-reflection, не medical/legal/financial/mental health advice, no guaranteed outcome;Landing, profile, checkout, FAQ, Terms;Final wording и места показа в макетах;обязателен;Сделать короткую и полную версию
Refund / satisfaction review;Окно обращения, SLA ответа, варианты retry/credit/refund review, владелец;Checkout, Terms, FAQ, support;Refund window/reasons/owner не утверждены;ждет решение;Подготовить варианты, не утверждать вместо владельца
Checkout consent;Цена, one-time payment, формат, срок, Terms/Privacy, disclaimer, refund review;Перед оплатой и на кнопке/чекбоксе;Provider, descriptor, final checkout design;нет финала;Собрать microcopy для starter package
FAQ / how it works;Как задать вопрос, кто отвечает, срок, что делать при проблеме, что не обещаем;Landing, footer, кабинет, checkout sidebar;Нужна сверка с real order/support flow;готовить;Собрать FAQ вокруг paid consultation
Expert/advisor rules;SLA, запреты, качество ответа, privacy, no off-platform, жалобы, санкции;Школа, админка, onboarding эксперта;Связать с регламентом и quality scorecard;частично;Связать с допуском E01-E05
Reviews / UGC / influencers;Disclosure, no fake reviews, no guaranteed result, proof archive;Marketing, landing, публикации, task brief;Нет whitelist/approved creator brief;контур есть;Связать с organic/PR/UGC preflight
Subscription notice;Если позже подписка: recurring price, period, renewal, easy cancel, explicit consent;Только subscription checkout/account;Phase 1 без подписки; future gate отдельно;не включать в Phase 1;Зафиксировать one-time payment в checkout copy
