Зона админки;Файлы/маршруты;Статус;Что уже дает;Что не закрывает;Следующий шаг
Заказы;OrderController index/view, views/order;желтый;список и карточка order;нет question/assignment/SLA/answer/support;связать order с service_session/test order
Сообщения и админский чат;MessageController chat/conversations/messages/send/translate/delete, MessageShellService;желтый;админский чат и API сообщений;нет связи с paid consultation;проверить agent answer on test order
Заявки экспертов;ExpertApplicationController index/view/update-status;желтый;очередь и статусы заявок;не заменяет школу и допуск;вести public apply отдельно от первых 5
Пользователи/профиль/баланс;UserController update/update-profile/update-balance/block/toggle-admin;желтый;управление аккаунтами и балансом;не доказывает роли expert/agent;проверить role-based доступ
Жалобы и блокировки;ReportController, BanController;желтый;модерационная база;нет support/refund карточки по заказу;problem path на test order
Верификация и фото;VerificationController, PhotoController;зеленый;trust/moderation база;не proof consultation;использовать как trust layer
Партнер/агент workspace;PartnerInteractionController index/my;желтый;задел рабочей области;нужно подтвердить agent workspace;сравнить с co2p и test order
Настройки/платежи/переводы;SettingsController prices/currencies/app-status/translator;желтый;цены, валюты, translator;не proof checkout/legal;использовать для sandbox/no-send
Страницы/контент;PageController, HelpController, NewsController;желтый;страницы, FAQ/help, news;нет final legal/Nebula content;HTML-ready package после approval
Языки/локализация;LanguageController, ProfileFieldController;желтый;языки и поля;нет полного перевода Nebula;сверить с crosswalk
Логи/system;LogController, DefaultController dashboard, app-status;желтый;логи и dashboard;нет event timeline consultation;собрать логи в QA
Плагины/темы/группы/подарки;PluginController/ThemeController/GroupController/GiftController;зеленый;дополнительная база платформы;не P0 для paid consultation;не включать в красный маршрут
Paid consultation service_session;не найдена как единый admin lifecycle;красный;есть order/message/user/notification/report кирпичи;нет единой карточки consultation/session;Игорю создать/подтвердить минимальный контур
