strategy_block,human_meaning,june_work,trello_current_title,required_result,required_proof,status,next_link
S0 Платформа сначала,"Строим универсальную платформу платных консультаций, а Nebula является первой нишей","Карта функций, ролей, заказов, админки, чата, уведомлений и проверки","Codex plan","Понятный мастер-план и светофор готовности","Опубликованная Blue Panel со связями задач и доказательств","green: PM-контур есть","alexey-master-plan.html"
S1 Рынок и аудитория,"Понимаем кто покупает консультации и почему готов платить","Используем выводы рынка для оффера, контента, email и первого рекламного теста","Email tempates; Проверка страниц и функций перед запуском рекламы","Связка оффер - первый заказ - повторное касание","Google-источники и карта маркетинговых условий","yellow: источники есть, traffic proof нет","marketing-traffic-launch-control.html"
S2 Конкуренты и УТП,"Берем рабочие механики конкурентов, но не копируем мутные подписки и слабую ценность после оплаты","Собираем честный текстовый offer, путь платной консультации и контроль качества","Проверка страниц и функций перед запуском рекламы; Работа с Антоном / дизайн","Оффер, экран, checkout и чат объясняют ценность до оплаты","Сверка экранов Oracle/Nebula с backend, контентом и проверкой","yellow: карта есть, внедрение не доказано","screen-backend-content-control.html"
S3 Платная консультация,"Главный продукт запуска - оплаченный запрос с понятным результатом","Готовим контрольный заказ без реальных списаний и писем","Проверка страниц и функций перед запуском рекламы","Клиент делает заказ, задает вопрос, эксперт отвечает, support видит проблему","QA-отчет PASS/WARN/STOP по тестовому заказу","red: главный proof отсутствует","test-order-readiness-gate.html"
S4 Универсальное ядро сайта,"Dating-наследие используем как универсальные кирпичи: профиль, поиск, чат, роли, платежи, админка","Отделяем полезное универсальное от того, что привязано к dating-логике","Прогнать все макеты готовых ТЗ через Codex; Пакет рабочего места эксперта и агента в админке","Понятно, что можно переиспользовать, а что нужно адаптировать","Backend/admin карта и test order runtime proof","yellow: база есть, связка не доказана","backend-admin-readiness-map.html"
S5 Эксперты и школа,"Эксперты работают по правилам, проходят обучение и допуск","Собираем школу v1, регламент, тест, журнал допуска и задачу Ксении","Описать регламент работы на основе Nebula / PbExpert; Школа экспертов для первых 5 экспертов","Первые 5 экспертов проходят обучение, тестовый ответ и получают ручной допуск","Журнал допуска и ревизия Ксении","yellow: материалы есть, допуск не доказан","first-five-expert-admission-journal.html"
S6 Операционная админка,"Админ видит очередь заказов, сроки, просрочки, качество, жалобы и деньги без ручного поиска","Описываем рабочее место, статусы, назначение, support и видимость для администратора","Пакет рабочего места эксперта и агента в админке; Проверка страниц и функций перед запуском рекламы","Один заказ можно контролировать от оплаты до закрытия обращения","Скрины/логи из админки в QA-отчете тестового заказа","red: runtime admin proof отсутствует","admin-operations-control-map.html"
S7 Документы и правила,"Условия, дисклеймеры, refund и FAQ готовы как тексты, но публикуются после юридических решений","Держим legal/payment как gate, не блокируя подготовку экранов, текстов и мест показа","Проверка страниц и функций перед запуском рекламы","Понятно, где на сайте показываются условия и какие тексты нужны","HTML-ready пакет и финальное решение по юрлицу/платежам позже","yellow: черновая подготовка возможна","legal-docs-readiness.html"
S8 Уведомления и повторные касания,"Клиент, эксперт, агент, поддержка и админ не теряются после заказа","Собираем события, email-шаблоны, no-send режим, журнал и QA-проверку","Email tempates","Понятно, кому и когда уходит статус, напоминание или предупреждение","No-send proof на тестовом заказе","yellow: пакет есть, проверка нет","email-notifications-handoff.html"
S9 Поддержка и проблемные ситуации,"До рекламы есть маршрут действий при плохом ответе, просрочке, жалобе, споре и refund review","Включаем support-сценарий в контрольный заказ","Проверка страниц и функций перед запуском рекламы","У команды есть понятный маршрут обработки проблемы","Один проблемный сценарий в QA-отчете","red: не проверено","support-refund-launch-control.html"
S10 Экономика и оплата команды,"Понимаем нагрузку 5 экспертов, начисления, бонусы, удержания и допустимую цену клиента","Собираем модель оплаты сотрудников и рамку первых продаж","Продумать ЗП для сотрудников","Есть модель начислений и список решений основателя","Decision sheet по ставкам и проверка начислений после test order","yellow: модель есть, решения нет","expert-agent-compensation.html"
S11 Реклама и масштабирование,"Трафик нельзя включать, пока платный путь не доказан","Готовим условия первого малого трафика, но не запускаем рекламу","Проверка страниц и функций перед запуском рекламы","Есть go/no-go условия, stop-сигналы и метрики первого теста","Рекламный тест разрешается только после QA PASS/WARN по контрольному заказу","red: реклама запрещена","launch-before-traffic-action-plan.html"
