"id","title","priority","status","owner","task","acceptance","mvp","trello","link"
"BLK01","Показать безопасный тестовый заказ без реального списания","1","red","Игорь","Подтвердить или внедрить test/sandbox/mock режим заказа, где создается order id, но нет боевого списания.","Есть order id, сумма, валюта, статус test/sandbox/mock, подтверждение отсутствия реального списания.","MVP02","Проверка страниц и функций перед запуском рекламы","test-order-readiness-gate.html"
"BLK02","Связать вопрос клиента с заказом и сессией","1","red","Игорь","Сделать/показать связку order -> question -> consultation/session -> task/assignment.","Один order/session/question id виден клиенту, админу и исполнителю.","MVP03","Проверка страниц и функций перед запуском рекламы","test-order-runtime-cockpit.html"
"BLK03","Показать рабочее место исполнителя на тестовом заказе","1","red","Игорь + QA","Показать, что эксперт/агент видит задачу, срок, вопрос клиента, контекст, чат/ответ и статус после ответа.","Скрин workspace и proof ответа исполнителя по тестовому заказу.","MVP04","Пакет рабочего места эксперта и агента в админке","expert-agent-workspace-handoff.html"
"BLK04","Показать админскую видимость всего заказа","1","red","Игорь + PM","Показать один заказ в админке по всем зонам: order, question, session, assignment, chat, events, support.","Набор скринов admin route без ручного поиска и догадок.","MVP05","Проверка страниц и функций перед запуском рекламы","backend-admin-readiness-map.html"
"BLK05","Проверить уведомления в no-send режиме","1","red","Игорь + QA","Включить/показать журнал событий без реальной отправки писем по заказу, вопросу, назначению, дедлайну, ответу, support и follow-up.","No-send event log и preview без фактической отправки.","MVP06","Email tempates","nosend-event-proof-matrix.html"
"BLK06","Проверить один problem state через support","1","red","Игорь + QA + PM","Смоделировать просрочку или недовольство клиента и связать обращение с order/session/chat/expert.","Support case имеет статус, решение, связь с заказом и событие.","MVP07","Проверка страниц и функций перед запуском рекламы","support-problem-acceptance-matrix.html"
"BLK07","Допустить первых 5 экспертов по единому журналу","1","red","PM + Ксения","По каждому эксперту заполнить тест/пробный ответ, оценку качества, SLA и решение допуска.","5 строк журнала имеют статус готов/доработка/не допущен и причину.","MVP08","Школа экспертов для первых 5 экспертов","first-five-expert-admission-journal.html"
"BLK08","Получить QA verdict по контрольному заказу","1","red","QA + PM","После READY gate пройти контрольный заказ и опубликовать QA report со скринами и verdict PASS/WARN/STOP.","Публичный QA report с итогом и списком дефектов/решений.","MVP12","Проверка страниц и функций перед запуском рекламы","qa-test-order-execution-brief.html"
"BLK09","Оформить понятный оффер и состав услуги до оплаты","2","yellow","PM + основатель","Собрать цену, формат результата, срок ответа, ограничения, FAQ и дисклеймер для checkout/LP.","Клиент до оплаты понимает, что покупает, когда получит и какие есть ограничения.","MVP01","Работа с Антоном / дизайн; документы/checkout","co2p-legal-checkout-public-docs.html"
"BLK10","Проверить регламент эксперта на пробном ответе","2","yellow","PM + Ксения","Взять один пробный ответ и оценить его по регламенту: тон, качество, продажи, запреты, SLA, escalation.","Есть пример оценки и список правок в регламент/обучение.","MVP09","Описать регламент работы на основе Nebula / PbExpert","expert-work-regulation-v1.html"
"BLK11","Закрыть экранные контракты платной воронки","2","yellow","PM + Антон + Игорь","Для offer, checkout, question, waiting/chat, answer/result, support, profile связать экран, backend, текст, ошибки и QA.","По каждому ключевому экрану есть статус экран/backend/content/QA.","MVP10","Работа с Антоном / дизайн","screen-backend-content-control.html"
"BLK12","Подготовить HTML-ready документы и дисклеймеры","2","yellow","PM + founder/legal","Собрать Terms, Privacy, Disclaimer, Refund/FAQ и места показа с переменными для сайта.","Пакет готов к ревизии, но помечен как не финальный до legal/payment решений.","MVP11","Документы и checkout","co2p-legal-checkout-public-docs.html"
"BLK13","Подготовить go/no-go первого трафика","3","yellow","PM + основатель","Сформировать условия запуска первого трафика: QA verdict, capacity, legal/payment, support readiness, stop-сигналы, CAC/LTV поля.","Есть decision sheet: запускать/не запускать/запускать с ограничениями.","MVP13","Проверка страниц и функций перед запуском рекламы","co2p-marketing-first-traffic-gonogo.html"
