Слой,Статус,Что собрано,Чего не хватает,Следующий шаг,Proof
Backend Confideline,желтый,"Backend-кирпичи найдены; есть backend-code evidence","Нет paid consultation lifecycle runtime proof","Игорю: test order без реального платежа","backend-code-evidence-map.html; igor-first-runtime-task-test-order.html"
Frontend Oracle/Nebula,желтый,"Есть screen contract и crosswalk","Нужен screen-by-screen проход и backend-связь","Сверить ключевые экраны","oracle-nebula-mvp-screen-readiness-map.html"
Trello,желтый,"План июня, fact status, правила заголовков","Не весь архив и закрытые вложения извлечены","Сверять карточки с меткой обновить","trello-june-fact-status.html"
Blue Panel,зеленый,"PM cockpit и GitHub Pages публикация готовы","Нужна постоянная актуализация","Публиковать каждый результат","index.html; alexey-master-plan.html"
Legal checkout,желтый,"Контур документов и disclosure есть","Нет founder/legal/payment approval","Держать как gate","co2p-legal-checkout-public-docs.html"
Обучение экспертов,желтый,"Школа v1, регламент, журнал допуска","Нет фактического допуска 5 экспертов","Заполнить журнал допуска","expert-school-v1-operational-pack.html"
Экспертский контур,желтый,"Workspace, quality, compensation, regulation готовы как пакеты","Нет runtime proof работы эксперта","Проверить на test order","expert-agent-workspace-handoff.html"
Клиентский путь,красный,"Путь описан, screen/content пакеты есть","Нет runtime пути клиента","QA пройти после Игоря","qa-test-order-execution-brief.html"
Админка,красный,"Admin ops и handoff-пакеты есть","Нет proof видимости заказа без ручного поиска","Проверить admin visibility в QA","admin-operations-control-map.html"
Support,красный,"Support/refund пакет есть","Нет problem path proof","Встроить failure state в test order","support-refund-launch-control.html"
Email events,желтый,"Email/no-send пакет есть","Нет event timeline на test order","Снять event log в QA","events-notifications-launch-control.html"
QA before traffic,красный,"Cockpit, QA-пакет, fixtures и шаблон есть","Нет заполненного runtime QA report","Выполнить QA после Игоря","test-order-runtime-cockpit.html; qa-test-order-execution-brief.html"
Маркетинг экономика,желтый,"Traffic readiness и go/no-go есть","Нет QA PASS/legal/capacity proof","Готовить без запуска трафика","marketing-traffic-launch-control.html"
Мастер-план,зеленый,"План июня и runtime queue готовы","Нужно обновлять после proof","Закрывать красный runtime route","june-plan.html; runtime-launch-execution-queue.html"
Инфраструктура контроля,зеленый,"Source rules, publication standard, proof pages, CSV","Нужна дисциплина применения","Вести через Blue Panel + Trello","result-publication-standard.html"
Gate готовности test order,Красный,"Страница gate создана и связана с очередями","Не закрыты safe checkout/no-send/roles/admin access/service/question/support","Сначала gate READY, затем test order QA",test-order-readiness-gate.html
