"N","Blocker","Status","Owner","Now","Result","PMCan","External","Proof"
"1","Контрольный заказ от клиента до ответа","red","Игорь + QA + PM","Подготовить безопасный тестовый заказ: без реальных денег и без реальной отправки писем.","Один заказ имеет order/session/question marker, виден в админке, назначен исполнителю, получен ответ, создан support-case.","Подготовить сценарий, фикстуры, proof-лист, требования к скринам и публичный отчет.","Игорь показывает рабочий путь, QA проходит мышкой.","runtime-proof-master-register.html"
"2","Админка видит весь заказ без ручного поиска","red","Игорь + QA","Показать список заказов, карточку заказа, вопрос, исполнителя, события, support и финальный статус.","Админ понимает, кто должен сделать следующий шаг по заказу.","Описать admin route и acceptance criteria.","Игорь/QA дают скрины по одному заказу.","admin-control-order-gate.html"
"3","Рабочее место эксперта/агента","red","Игорь + QA","Связать задачу исполнителя с заказом, сроком, вопросом, полем ответа и статусами.","Исполнитель отвечает внутри системы, админ видит статус, QA видит связь с заказом.","Держать handoff, UX-логику, список полей и проверку результата.","Игорь показывает workspace на тестовом заказе.","expert-runtime-proof-register.html"
"4","Email, события и уведомления без реальной отправки","red","Игорь + QA","Проверить order/question/assignment/answer/support события в no-send режиме.","Есть preview/log уведомлений, понятно кто получатель и какие переменные подставятся.","Подготовить список событий и требования no-send.","Игорь/QA дают event log.","notification-event-nosend-gate.html"
"5","Support и проблемная ситуация","red","Support + QA + PM","Смоделировать один problem state: просрочка, плохой ответ или жалоба.","Support-case связан с заказом, имеет владельца, решение и финальный статус.","Подготовить сценарии, правила решений и proof-регистр.","Игорь/QA показывают runtime support-case.","support-failure-state-gate.html"
"6","Допуск первых 5 экспертов","red","PM + Ксения","Заполнить журнал по каждому эксперту: обучение, тест/пробный ответ, SLA, решение.","У каждого из 5 экспертов статус: допущен, доработка или не допущен, плюс причина.","Собрать критерии, форму журнала, пример оценки, регламент.","Ксения дает ревизию; эксперты проходят проверку.","first-five-expert-admission-gate.html"
"7","Экранная связка Oracle/Nebula с backend","yellow","PM + Антон + Игорь","Сверить оффер, checkout, вопрос, чат/ответ, support, FAQ: дизайн, backend, контент, ошибки.","Для каждого ключевого экрана есть контракт: что показывает, куда ведет, чем проверяется.","Подготовить screen contract и правки Антону.","Антон/Игорь подтверждают дизайн/верстку/backend.","frontend-design-backend-evidence-inventory.html"
"8","Документы, дисклеймеры и checkout-правила","yellow","PM + Founder + legal/payment later","Держать HTML-ready пакет Terms/Privacy/disclaimer/refund/FAQ/checkout consent.","Тексты и места размещения готовы к ревизии, но не публикуются финально без решений.","Подготовить пакет и реестр блокеров.","Founder/legal/payment закрывают seller/provider/descriptor/refund/geography.","legal-checkout-docs-evidence-inventory.html"
"9","Маркетинг и первый трафик","red","PM + Founder","Готовить оффер, каналы, CAC/LTV, stop-сигналы, но не покупать трафик.","Первый трафик запускается только после QA verdict и понятной емкости экспертов.","Подготовить гипотезы, калькулятор, правила stop/go.","Founder решает запуск после proof; QA подтверждает готовность.","marketing-launch-evidence-inventory.html"
"10","Емкость 5 экспертов и SLA","yellow","PM + Ксения + Founder","Посчитать безопасный дневной лимит заказов и правила, если эксперт не успевает.","Первый трафик ограничен реальной capacity, а не желанием получить больше лидов.","Собрать модель capacity и SLA.","Эксперты подтверждают доступность, Ксения/PM оценивают качество.","first-traffic-capacity-economy-gate.html"
"11","Ежедневный контроль после запуска тестов","yellow","PM","Вести утро/вечер: что изменилось, что зависло, кто следующий, какие proof появились.","Команда не теряет сроки и статусы; Trello/Blue Panel обновляются по фактам.","Полностью закрывать самостоятельно.","Команда дает факты выполнения.","pm-daily-operating-cycle.html"
"12","Единый proof-стандарт для Заказчика и команды","green","PM","Использовать правило веса доказательств: runtime сильнее документа, Trello не равно готово.","Каждая задача имеет понятный результат и доказательство приемки.","Полностью закрывать самостоятельно и поддерживать.","Команда придерживается формата.","pm-evidence-trust-standard.html"
