ID;Зона;Где используется;Источник;Статус;Что собрать;Чего не хватает;Действие PM;Proof
"K01";"Оффер и позиционирование";"Landing, first screen, ads preflight";"Стратегия, анализ рынка, анализ конкурентов, Oracle/Nebula дизайн";"желтый";"Сформулировать “что продаем” без обещаний результата: платная текстовая консультация, персональный ответ, support path.";"Нет runtime proof, финальной цены и checkout wording.";"PM готовит черновик; Founder утверждает перед публикацией.";"launch-content-source-register-2026-06-06.html"
"K02";"Доверие до оплаты";"Landing, FAQ, checkout";"Конкуренты, AskNebula/PbExpert, наша честная модель";"желтый";"Собрать блоки: кто отвечает, как контролируется качество, как работает support, почему без скрытой подписки.";"Нет accepted proof по E01-E05 и QA report.";"PM готовит структуру; после допуска экспертов обновить фактами.";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"K03";"FAQ клиентского пути";"Landing, checkout, кабинет";"Client journey, Trello strategy, QA brief";"желтый";"Вопросы: как оплатить, как задать вопрос, когда ответ, где смотреть, что если проблема.";"Нет скриншотов runtime пути и order/status proof.";"Подготовить FAQ v1; финализировать после safe order.";"prelaunch-qa-capture-sheet-2026-06-06.html"
"K04";"Checkout и согласия";"Checkout, payment step";"Public docs sheet, legal/payment gates";"красный";"Тексты согласий: Terms, Privacy, Refund, disclaimer, цена, one-time nature, support route.";"Нет seller/provider/descriptor/refund/geography approval.";"Готовить HTML-ready черновик; не публиковать до founder/legal/payment.";"public-docs-checkout-capture-sheet-2026-06-06.html"
"K05";"Форма вопроса клиента";"Question form";"Client journey, screen contract";"красный";"Подсказки клиенту: как описать ситуацию, лимиты, пример хорошего вопроса, sensitive warning.";"Нет question_id/runtime proof и финального экрана.";"Сделать screen copy contract для Игоря/Антона после маршрута safe order.";"screen-contract-capture-sheet-2026-06-06.html"
"K06";"Статусы заказа";"Thank you, status page, emails";"Email/no-send, admin ops";"красный";"Заказ принят, вопрос получен, эксперт назначен, ответ готов, проблема/просрочка.";"Нет event_id/no-send proof и admin timeline.";"Готовить словарь статусов; принимать после no-send/admin proof.";"nosend-control-order-capture-sheet-2026-06-06.html"
"K07";"Email и уведомления";"Client/expert/admin/support email";"Email templates, notification events";"красный";"Шаблоны по ролям и событиям, переменные, footer, no-send preview.";"Нет proof external_send=false и role-based event log.";"Держать как пакет Игорю/QA; не отправлять реальные письма.";"email-notifications-handoff.html"
"K08";"Support и refund тексты";"Support, FAQ, checkout, admin";"Support/refund gate";"красный";"Жалоба принята, review, решение, закрытие, escalation, refund wording без лишних обещаний.";"Нет refund rules approval и support_case proof.";"Готовить варианты; founder/legal/payment утверждают refund часть.";"support-problem-control-order-capture-sheet-2026-06-06.html"
"K09";"Регламент ответа эксперта";"Школа, workspace, QA quality";"AskNebula/PbExpert материалы, наш регламент v1";"желтый";"Структура ответа, тон, персонализация, запреты, escalation, follow-up.";"Нет accepted пробных ответов E01-E05.";"PM формирует стандарт; Ксения ревизует; допуск фиксируется отдельно.";"expert-work-regulation-v1.html"
"K10";"Школа экспертов v1";"Training panel/docs";"Trello lessons, extracted materials, Nebula training contour";"желтый";"Уроки, тест, примеры, ошибки, checklist допуска, журнал E01-E05.";"Нет фактического прохождения и verdict по 5 экспертам.";"Оформить программу и admission sheet; Ксения проверяет понятность.";"expert-school-v1-operational-pack.html"
"K11";"Рабочие подсказки эксперту/агенту";"Expert/agent workspace";"Workspace handoff, admin chat workspace";"желтый";"Подсказки в интерфейсе: что делать сейчас, SLA, качество, шаблоны, запреты, начисления.";"Нет runtime workspace proof и назначения анкеты/заказа.";"Связать с пакетом рабочего места эксперта и QA.";"expert-agent-workspace-handoff.html"
"K12";"Admin labels и human statuses";"Admin queue, dashboard, QA";"Admin operations sheet";"красный";"Человеческие названия статусов, причин, владельцев, SLA, verdict, failure states.";"Нет proof, что админ видит весь путь без ручного поиска.";"Сделать словарь статусов для admin route proof.";"admin-operations-capture-sheet-2026-06-06.html"
"K13";"Маркетинговые тексты первого трафика";"Ads, organic, influencer, PR";"Strategy, competitor analysis, traffic gate";"красный";"Честный offer, no guarantee, source tracking, stop-rules, audience hypotheses.";"Paid traffic запрещен до QA/capacity/docs/analytics.";"Готовить backlog, но не запускать.";"first-traffic-economy-launch-gate-2026-06-06.html"
"K14";"SEO backlog";"SEO tasks, content plan";"SEO-аудит от Оли, marketing control";"желтый";"Список SEO-работ отдельно от launch go/no-go: pages, metadata, authority, content clusters.";"SEO не доказывает готовность платной услуги.";"Перевести в дочерний backlog после core proof.";"marketing-ltv-acquisition-control.html"
"K15";"AI-ассистенты";"Post-MVP automation";"Trello AI cards, PM automation queue";"желтый";"Mini-PRD: summary для экспертов, сбор инфы на сайте, safety, data boundaries.";"Не определено место в MVP core flow.";"Оставить как дочернюю инициативу после runtime proof.";"pm-autonomous-evidence-workqueue-2026-06-06.html"
"K16";"Отчетность запуска и июня";"Daily/weekly/monthly reports";"June plan, purchase analytics, proof sheets";"желтый";"Формат отчета: задача, статус, proof, причина незавершения, итог %, next action.";"Нет фактических результатов месяца и safe order analytics.";"Подготовить шаблон; заполнять фактами в конце периода.";"june-plan.html"
