Зона;Что должно быть видно;Зачем нужно;Минимальный proof;Статус сейчас;Go/no-go
Новый заказ;Заказ, клиент, услуга, сумма/test mode, источник, статус оплаты;Понять, что создана оплачиваемая работа;Скрин списка/карточки заказа на safe order;нет proof;Без этого QA не стартует
Заказ без вопроса;Клиент оплатил/начал, но вопрос не задан;Не потерять клиента до оказания услуги;Скрин очереди ждет вопрос;нет proof;Для трафика обязательно
Связка заказ-вопрос;Из заказа виден вопрос, из вопроса виден заказ;Услуга должна быть конкретным запросом;Скрин обеих сторон связи;нет proof;Без этого контрольный заказ не принят
Назначение исполнителя;Кто назначен, анкета, язык, нагрузка;Заказ не должен зависнуть;Скрин назначения и статусного лога;нет proof;Без этого QA не стартует
SLA и дедлайн;Дедлайн ответа, remaining time, overdue;Просрочка главный риск;Скрин deadline/overdue state;нет proof;Для трафика обязательно
Рабочее место исполнителя;Вопрос, срок, чат, подсказки, статус, кнопка ответа;Эксперт работает внутри платформы;Скрин под ролью исполнителя;нет proof;Без этого QA не стартует
No-send события;Какие уведомления должны были создаться и кому;Проверить коммуникации безопасно;Скрин event log/preview;нет proof;STOP при реальной отправке
Support-кейс;Проблема, причина, заказ, чат, эксперт, владелец, решение;Проблемный заказ управляем;Скрин support-кейса с order id;нет proof;Для трафика обязательно
Качество ответа;Оценка, замечания, critical stop;Качество влияет на жалобы и LTV;Scorecard по одному ответу;методика есть, runtime нет;Можно WARN для первого QA
Видимость экспертов;Кто выше, скрыт, на паузе, boosted;Сильные эксперты получают больше;Скрин visibility/audit log или ручной реестр;модель есть, proof нет;Можно ручной MVP-контроль
Начисления;Сумма, hold, удержание, payout status, связь с заказом;Эксперты понимают деньги;Preview начисления без реальной выплаты;scope уточняется;Можно WARN для QA, нельзя забыть до трафика
Daily report;Новые, закрытые, просроченные, проблемные, деньги, владелец;PM управляет по фактам;Отчет за тестовый день;нет proof;Нужен до первого трафика
