ID,Источник,Текущий статус,Что уже есть,Что не закрыто,Почему важно,Действие PM,Ссылка
SRC-A01,Google Sheet GS01,извлечено,"Локальный CSV; 23 строки",Не доказывает текущую экономику и рекламу,"Baseline по рынку; форматам; конкурентам",Использовать в offer/landing/marketing но не runtime readiness,artifacts/source-captures/GS01.csv
SRC-A02,Google Sheet GS02,извлечено,"Локальный CSV; 653 строки",Не все выводы адаптированы в screen contracts,"Главная; trust; CTA; FAQ; визуальный порядок",Связывать с SCR01/SCR02/SCR03,artifacts/source-captures/GS02.csv
SRC-A03,Google Doc GD01,извлечено,"Локальный TXT; 202 строки",Исторический документ часть решений устарела,Исходная стратегическая рамка,Использовать как baseline и сверять с мастер-планом,artifacts/source-captures/GD01.txt
SRC-B01,Trello external map,частично,"477 URL; 343 уникальных; 61 пробован",Не все вложения распознаны по содержанию,Trello source постановок и истории,Смысловой перепроход по приоритетам без редактирования Trello,artifacts/TRELLO_EXTERNAL_SOURCE_MAP_SUMMARY_2026_06_04.json
SRC-B02,Trello карточки стратегии,контекст + задачи,Разложено в Strategy Board,Часть карточек устаревшая или тонкая,Не потерять стратегическую логику,Финальные решения вести через Blue Panel,strategy-board.html
SRC-B03,Trello план июня,read-only snapshot,Снимок задач и статусов,Нужны proof-ссылки по выполненным задачам,Календарная плоскость согласования,Добавлять result links по готовности,trello-june-fact-status.html
SRC-C01,Google Drive/Figma закрытые ссылки,access gap,Часть ссылок известна metadata-уровнем,Содержимое не всегда прочитано,"Может содержать макеты; обучение; ТЗ; документы",Фиксировать access-needed по P0,pm-source-coverage-current-2026-06-06.html
SRC-C02,Oracle/Nebula local design,source найден,"H:\Nebula\GPT; manifest; exports; audit UI",Не все P0-экраны имеют accepted contract,Главный frontend/design слой Nebula,Вести screen contract по каждому P0,oracle-nebula-screen-contract-2026-06-06.html
SRC-D01,AskNebula/PbExpert обучение,частично извлечено,Уроки/материалы/регламенты найдены,Нужно подтвердить полноту ссылок из Trello comments,База школы экспертов и качества,PM анализирует Ксения ревизор,expert-training-to-admission-map-2026-06-06.html
SRC-D02,Ксения / стажировка / экспертные материалы,контекст,Роль Ксении как reviewer определена,Нет accepted E01-E05,Без E01 QA закрыт,Закрыть R02 и журнал E01-E05,first-five-expert-admission-execution-board-2026-06-06.html
SRC-E01,Confideline runtime/backend,нет proof,Backend считается основой проекта,Нет order/question/assignment/answer/events/support/analytics,Главный запусковый факт,R01 accepted от Игоря,backend-admin-safe-order-execution-board-2026-06-06.html
SRC-E02,QA reports / тестировщик,не стартует,Есть QA-runbook и contract,Нет accepted R01/R02,Последняя проверка перед рекламой,Открыть только после accepted R01/R02,prelaunch-qa-proof-contract-2026-06-06.html
SRC-F01,Legal/payment decisions,founder gate,PM-пакет можно подготовить,"Seller; provider; descriptor; refund; geography не утверждены",Checkout/public launch gate,Не трогать сейчас но держать как gate,public-docs-checkout-trust-proof-contract-2026-06-06.html
