"Id","Group","Status","Owner","Needed","Accept","Reject","Links"
"EV01","Безопасный тестовый заказ","Красный","Игорь + QA","order_id, сумма, валюта, test/sandbox marker, доказательство отсутствия реального списания, скрин до/после","Скрин admin/order + лог/комментарий safe mode + один понятный test marker","Слова “работает”, скрин без ID, реальный платеж, непонятный тестовый режим","test-order-readiness-gate.html; runtime-proof-master-register.html"
"EV02","Связка заказа и вопроса","Красный","Игорь","order_id, question_id, session_id, client_id, service_id, язык, текст вопроса","Один marker виден в клиентском пути, админке и рабочем месте исполнителя","Вопрос отдельно от заказа, ручная пересылка, скрин без общей связки","test-order-client-order-proof-register.html; test-order-screen-contract.html"
"EV03","Админский маршрут","Красный","Игорь + QA","скрины списка заказов, карточки заказа, вопроса, назначения, событий, support, статусов","Последовательный admin route с одним order/session marker","Изолированный скрин админки без связи с тестовым заказом","admin-control-order-gate.html; backend-admin-readiness-map.html"
"EV04","Назначение эксперта/агента","Красный","Игорь + QA","performer_id, profile_id, кто назначил, когда, SLA/deadline, статус задачи","История назначения и видимость задачи у исполнителя","Устное “назначается”, карточка без исполнителя или срока","expert-runtime-proof-register.html; expert-agent-workspace-handoff.html"
"EV05","Рабочее место исполнителя","Красный","Игорь + QA","вопрос, контекст клиента, срок, поле ответа, история, подсказки, ограничения, статус","Скрин из роли исполнителя + связь с тем же order/session marker","Демо-экран без данных заказа или доступ только администратору","co2p-expert-agent-workspace-service-session.html; expert-runtime-proof-register.html"
"EV06","Доставка ответа клиенту","Красный","QA + эксперт/агент","answer_id, timestamp, автор, client view, admin view, transcript/history","Ответ виден клиенту и админу, связан с одной консультацией","Ответ в отдельном чате без связи с заказом, дубликат, не тот получатель","qa-test-order-execution-brief.html; test-order-runtime-public-report-shell.html"
"EV07","No-send события и уведомления","Красный","Игорь + QA","event log по order/question/assignment/deadline/answer/support/follow-up, получатели, переменные, preview, no-send marker","Журнал событий показывает, что письма/сообщения не ушли реально","Реальная отправка, отсутствие suppression/no-send marker, нет preview","notification-event-nosend-gate.html; nosend-event-proof-matrix.html"
"EV08","Support/problem state","Красный","Игорь + QA + Support","support_case_id, reason, order/session/chat/expert link, решение, статус, событие уведомления","Карточка support связана с тем же заказом и имеет решение","Жалоба в комментарии без тикета и без связи с заказом","support-failure-state-gate.html; support-problem-proof-register.html"
"EV09","Допуск исполнителя и первых 5 экспертов","Красный","PM + Ксения","expert_id, профиль, уроки/тест, пробный ответ, SLA, рабочий доступ, назначенная анкета, PM decision: допущен/доработка/не допущен","До QA есть минимум один допущенный исполнитель; до первого трафика по каждому из 5 экспертов есть статус и причина допуска/недопуска","Список имен без проверки, техническое назначение без admission journal, “готовы работать” без пробного ответа","first-five-expert-admission-gate.html; first-five-expert-admission-journal.html"
"EV10","QA-вердикт","Красный","QA + PM","public report URL, PASS/WARN/STOP, дефекты, скрины, raw evidence, следующий шаг","Публичный QA-отчет можно показать Заказчику и Игорю","Чек-лист без скринов/ID, переписка вместо отчета","qa-test-order-execution-brief.html; test-order-runtime-public-report-shell.html"
"EV11","Пересчет готовности запуска","Желтый","PM","обновленные readiness, coverage index, objective live audit, Trello result link после QA","Статусы поменялись только там, где появился proof","Зеленый статус по обещанию или по документу без runtime","launch-readiness-master-control.html; pm-objective-live-requirements-audit.html; pm-launch-coverage-index.html"
"EV12","Именование и хранение evidence","Желтый","PM + QA","единый формат имен файлов: YYYY-MM-DD_ORDERID_STEP_OWNER.ext, ссылка на raw и публичный отчет","Каждый скрин/лог можно найти по order_id и шагу","Файлы “скрин1.png”, вложения без контекста, доказательства только в чате","test-order-proof-capture-sheet.html; stakeholder-link-audit.html"
