Слой;Статус;Что уже есть;Чего не хватает как доказательства;Следующее действие PM;Связанные proof-ссылки
Управление проектом;зеленый;Blue panel, план июня, правило источников, GitHub Pages;Поддерживать актуальность Trello и Blue panel;Перед каждым обновлением брать текущую карточку/историю;source-of-truth-rules.html / trello-source-map.html
Trello и задачи июня;зеленый;Заголовки восстановлены без служебных префиксов;Не переименовывать существующие карточки;Синхронизировать по метке обновить;trello-source-map.html / trello-customer-standard.html
Стратегия платформы;желтый;Логика platform-first зафиксирована;Не все источники полностью извлечены;Дособрать закрытые источники;strategy-board.html / google-strategy-sources.html
Backend Confideline;желтый;Yii2/Confideline база и QA-отчеты;Нет доказанного пути платной консультации;Пройти тестовый заказ после пакета Игоря;backend-frontend-proof-map.html / qa-reports
Frontend Oracle/Nebula;желтый;Дизайн-источники и экранный контракт;Не закрыта сверка экран-функция-контент-проверка;Закрывать экранный контракт по строкам;nebula-screen-contract.html / nebula-design-function-content-crosswalk.html
Оффер и клиентский путь до оплаты;желтый;Понимание live Confideline vs Nebula фронт;Нужен offer-proof, FAQ, CTA, trust, legal пояснения;Собрать короткий offer-proof;jun-08-page-screen-registry.html
Платная консультация;красный;PM-пакет тестового заказа;Нет runtime proof заказа, вопроса, назначения и чата;Передать/закрыть задачу Игорю;paid-consultation-test-flow.html / igor-test-order-consultation-handoff.html
Рабочее место эксперта и агента;красный;PM-пакет рабочего места;Нет proof ролей и вкладок в админке;Игорю подтвердить/внедрить роли и статусы;expert-agent-workspace-handoff.html
Обучение первых 5 экспертов;желтый;Уроки и ссылки найдены в Trello;Часть вложений требует доступа, маршрут допуска не финализирован;Получить доступ и собрать допуск;expert-training-materials-register.html
Регламент экспертов;желтый;Структура понятна;Нет финального документа регламента;Собрать регламент v1;expert-quality-moderation.html
Email и уведомления;желтый;Карта событий, шаблонов, переменных;Нет proof связки событий с заказом/чатом/админкой;Передать Игорю и проверить no-send;email-notifications-handoff.html / events.html
Поддержка, жалобы, возвраты;красный;PM-пакет поддержки;Нет runtime proof карточки обращения;Связать с задачей Игоря и пройти проблемный сценарий;support-refund-handoff.html
Legal и документы;красный;Legal-контур и HTML-ready база;Нет final approval по юрлицу/payment/refund/geography;Готовить к согласованию, не публиковать финально;legal-docs-readiness.html / legal-content-package.html
Маркетинг, экономика, первый трафик;красный;Пакет малого рекламного теста;Нет закрытых условий допуска;Готовить каналы, деньги только после go/no-go;marketing-traffic-test-handoff.html
QA перед запуском;желтый;QA-отчеты и сценарий сквозной проверки;Нет свежего прохода после внедрения пакетов;Запустить тест клиент/эксперт/админ/поддержка/уведомления;launch-test-scenario.html / qa-reports
