ID;Слой;Статус;Что есть;Что не доказано/блокер;Следующий proof;Ссылка
01;PM-контур и Blue Panel;Зеленый;Есть процесс публикации результатов, proof-страницы, June control, daily control;Нужно не терять дисциплину ссылок и не плодить шум;Каждый завершенный результат публикуется в Blue Panel и связывается с задачей;june-pm-execution-control.html
02;Стратегия и порядок запуска;Зеленый;Сначала универсальная paid P2P-платформа, Nebula как первый vertical;Нужно удерживать связь стратегии с месячными задачами;Июньские задачи закрывают P0 paid consultation;strategy-board.html
03;Trello / июньские задачи;Желтый;Есть июньский PM-контроль, карточки не переименовываем без команды;Часть задач требует accepted proof от команды;Обновлять Trello по исходным названиям и ссылать результат на Blue Panel;june-pm-execution-control.html
04;Дизайн Oracle/Nebula и экраны;Желтый;Есть макеты/публичные страницы и сквозная приемка экранов;Нет полного screen-backend-content-QA proof по paid-flow;Закрывать экраны только экранными контрактами;screen-crosslayer-acceptance-board.html
05;Backend Confideline / админка;Желтый;Есть backend база, админские маршруты и карта ежедневной видимости;Нет runtime proof, что админ видит весь платный заказ;Safe order с admin route и daily visibility proof;admin-daily-visibility-execution-board.html
06;Первая платная консультация;Красный;Есть контракты и QA-пакеты;Нет safe order id, no real charge proof, order/question/session binding;Игорь показывает безопасный контрольный заказ;igor-test-order-acceptance-contract.html
07;Первые 5 экспертов / допуск;Красный;Есть школа, регламент, scorecard, журнал допуска;0/5 экспертов допущено proof-фактами;E01 accepted: пробный ответ, SLA, язык, доступ, анкета, verdict;e01-e05-expert-admission-execution-board.html
08;Рабочее место эксперта / агента;Красный;Есть handoff-пакеты и admin-based workspace модель;Нет runtime proof под ролью исполнителя на заказе;Исполнитель видит задачу, вопрос, SLA, поле ответа и статус;expert-runtime-proof-register.html
09;Email, уведомления, no-send;Красный;Есть шаблоны, event maps и no-send acceptance;Нет event log/preview на safe order;No-send events по order/question/assignment/answer/support/follow-up;notification-nosend-proof-acceptance-board.html
10;Support и problem-state;Красный;Есть problem-state execution board;Нет support case, связанного с order/session/expert;Один safe problem-state: жалоба/просрочка, владелец, решение, no-send, closure;support-problem-state-execution-board.html
11;Документы, FAQ, checkout trust;Желтый;PM-пакет структуры документов и мест показа подготовлен;Финал блокируют seller/provider/descriptor/refund/geography;HTML-ready пакет + founder/legal/payment decisions;public-docs-checkout-acceptance-board.html
12;Pre-launch QA;Красный;Есть маршрут QA, report shell, PASS/WARN/STOP правила;QA не стартует без safe order, исполнителя, no-send, admin route, support proof;READY gate, затем публичный QA report;prelaunch-qa-execution-control.html
13;Маркетинг, LTV, retention;Желтый;Preflight по офферу, email/retention, UGC, policy и daily report собран;CAC/LTV фактов нет, paid traffic запрещен;Purchase analytics proof + QA verdict + capacity 5 experts;marketing-retention-pretraffic-execution-board.html
14;Аналитика покупки и отчет запуска;Красный;Есть acceptance board по purchase analytics;Нет source/order/value/currency/service/expert/support outcome на safe order;Purchase event и daily report после контрольного заказа;purchase-analytics-proof-acceptance-board.html
15;Legal/payment/founder decisions;Красный;Список решений зафиксирован;Не утверждены seller, provider, descriptor, refund, geography;Founder/legal/payment решения перед final checkout;founder-payment-legal-decisions.html
16;Первый трафик;Красный;Есть gate, daily report и preflight;Нет QA PASS/WARN, capacity, analytics proof и legal/payment readiness;Только после контрольного заказа и QA verdict;first-traffic-capacity-economy-gate.html
