id,element,status,pm_can_do_now,forbidden,accepted_proof,owner,link
PDC01,terms,yellow,"HTML-ready paid consultation without dating legacy","publish as final without legal approval","page URL footer/checkout link approval","PM + founder/legal",legal-public-docs-checkout-pack.html
PDC02,privacy,yellow,"data inventory draft for client/expert/support/analytics","approve provider/geography alone","privacy page data/provider/geography decision","PM + founder/legal",legal-public-docs-checkout-pack.html
PDC03,cookies_tracking,yellow,"bind with purchase analytics and UTM","run tracking/ads without clear notice","tracking notice analytics proof","PM + Igor + founder/legal",purchase-analytics-proof-acceptance-board.html
PDC04,refund_support_review,red,"draft support path and review wording","approve refund window/reasons","refund decision log support route proof","Founder/legal/payment + PM",support-problem-proof-register.html
PDC05,service_disclaimer,yellow,"short/full disclaimer for LP checkout email","promise guaranteed result","disclaimer visible before payment","PM + founder/legal",launch-content-source-register-2026-06-06.html
PDC06,checkout_consent,red,"microcopy and acceptance checklist","publish checkout without seller/provider/descriptor","consent screen saved/versioned proof approvals","Founder/legal/payment + Igor",public-docs-checkout-capture-sheet-2026-06-06.html
PDC07,FAQ_trust,yellow,"FAQ on service timing quality support","FAQ contradicting runtime flow","FAQ linked to real client journey","PM + founder",launch-content-source-register-2026-06-06.html
PDC08,support_contact,red,"contact/support path text","promise support if case is not created","support page support_case proof","PM + Igor + QA",support-problem-control-order-capture-sheet-2026-06-06.html
PDC09,expert_terms,yellow,"bind with regulation and school","admit expert without acceptance","E01 sees/accepts rules","PM + Ksenia",expert-work-regulation-v1.html
PDC10,email_footer,red,"footer/disclaimer wording","send real emails","no-send preview with footer","PM + Igor + QA",notification-nosend-proof-register.html
PDC11,ad_influencer_disclosure,yellow,"rules for reviews influencers sponsored content","publish UGC/ads without disclosure approval","creative/influencer checklist approved","PM + founder/legal",first-traffic-execution-board-2026-06-06.html
PDC12,final_approval,red,"decision pack","close for founder/legal/payment","founder/legal/payment approval log","Founder/legal/payment",founder-payment-legal-decisions.html
