"Block","Status","Where","Explains","Variables","Next"
"Terms of Service","yellow","Footer, checkout, registration","seller, service, account rules, liability, dispute path","LEGAL_ENTITY,SERVICE_NAME,GOVERNING_LAW","legal review"
"Privacy Policy","yellow","Footer, registration, checkout","data, chat, payment status, analytics, support","DATA_CONTROLLER,SUPPORT_EMAIL,ANALYTICS_TOOLS","sync with actual stack"
"Cookie / Tracking Notice","yellow","first visit, footer, privacy","cookies, analytics, marketing consent","COOKIE_PROVIDER,CONSENT_TOOL","confirm tracking stack"
"Entertainment / Advice Disclaimer","yellow","landing, profile, checkout, Terms, FAQ","not medical/legal/financial/mental health advice, no guaranteed result","SERVICE_VERTICAL,DISCLAIMER_TEXT","place short and full versions"
"Refund / Satisfaction Review","red","checkout, Terms, support, FAQ","window, owner, outcomes","REFUND_WINDOW,REVIEW_SLA,REFUND_OWNER","founder decision"
"Expert / Advisor Rules","yellow","expert onboarding, admin, training","SLA, prohibitions, quality, privacy","EXPERT_SLA,QUALITY_RULES","sync with expert regulation"
"Checkout Consent Text","yellow","payment button, checkbox","price, format, response time, disclaimer, terms/privacy","PRICE,RESPONSE_TIME,TERMS_URL,PRIVACY_URL","sync with checkout UI"
"Subscription / Repeat Billing Notice","red if subscription","checkout, billing, account","period, renewal, cancel path","BILLING_PERIOD,CANCEL_URL","use only if recurring billing"
"Reviews / Endorsements / UGC Rules","yellow","marketing, landing, organic/PR","disclosure, no fake reviews","DISCLOSURE_TEXT,UGC_RULES","sync with trust marketing"
"Support Contact / Complaint Path","yellow","footer, checkout, support, FAQ","contact, required info, response SLA","SUPPORT_EMAIL,SUPPORT_SLA","verify in support proof"
