area,status,current_evidence,missing,proof_page,next_step
Backend Confideline,Желтый,Есть readiness карты и контракт Игорю,Нет показанного рабочего пути заказа,backend-admin-readiness-map.html,Получить runtime proof через контрольный заказ
Frontend/design Oracle-Nebula,Желтый,Есть экранная карта и контракты,Нет полного screen-by-screen acceptance paid-flow,screen-backend-content-control.html,Закрывать экран -> backend -> content -> QA
Trello и задачи июня,Желтый,Названия Trello сохранены как источник истины,Не все карточки подтверждены внедрением,trello-june-fact-status.html,Добавлять Blue Panel proof после результата
Blue Panel,Зеленый,Панель опубликована и связана proof-ссылками,Нужна постоянная синхронизация,blue-panel-link-audit.html,Обновлять после каждого факта
Документы и checkout,Желтый,Структура public docs и checkout есть,Финал зависит от legal/payment/founder решений,co2p-legal-checkout-public-docs.html,Готовить HTML-ready пакет без финальной публикации
Обучение экспертов,Желтый,Материалы и школа v1 есть,Нет ревизии и результатов по реальным экспертам,expert-school-v1-operational-pack.html,Провести ревизию и проверить пробные ответы
Первые 5 экспертов,Красный,Журнал допуска есть,Нет заполненного допуска по каждому эксперту,first-five-expert-admission-journal.html,Заполнить допуск тест пробный ответ SLA
Клиентский путь,Красный,Путь описан и есть gate,Нет фактического контрольного заказа,test-order-readiness-gate.html,Запустить после READY gate
Админка и операционная видимость,Красный,Карты admin/backend есть,Нет proof видимости заказа без ручного поиска,backend-admin-runtime-gap-matrix.html,Снять proof order/question/session/assignment/chat/events/support
Support и проблемные ситуации,Красный,Сценарии есть,Нет runtime problem state,support-refund-launch-control.html,Смоделировать problem state на test order
Email и уведомления,Желтый,Пакет событий есть,Нет no-send журнала на контрольном заказе,events-notifications-launch-control.html,Проверить no-send события
QA и запуск трафика,Красный,QA brief и report shell есть,Нет PASS/WARN/STOP по рабочему сайту,qa-test-order-execution-brief.html,Провести QA после READY
Маркетинг и экономика,Красный,Go/no-go и trust/organic контур есть,Нет runtime proof capacity proof legal/payment CAC/LTV,co2p-marketing-first-traffic-gonogo.html,Готовить материалы но не покупать трафик
