"id","area","screen","content","source","status","owner","decision","proof"
"C01","Главная и оффер","home.html, index.html, popup","Короткий оффер платной текстовой консультации, что получит клиент, срок ответа, доверие, CTA, FAQ, дисклеймер","Nebula публичная верстка, AskNebula-подход, стратегия Trello, legal package","Желтый","PM + Антон","Нужен финальный текст оффера и CTA под платный путь, без platform-first мусора","jun-08-screen-content-backend-proof-matrix.html#M01"
"C02","Вход и регистрация","login, signup, forgot","Поля, ошибки, согласия, privacy links, возврат к покупке, email восстановления","Nebula auth screens, email package, legal package","Желтый","PM + Игорь","Тексты нужны как часть покупки, а не просто аккаунта","email-notifications-handoff.html"
"C03","Страницы услуг","psychic, tarot, palm, love, zodiac, cheap, phone","SEO-текст, формат услуги, ожидания, цена/пакет, FAQ категории, CTA, legal note","Nebula pages public, AskNebula content analogy, marketing readiness","Желтый","PM + Антон","Контент должен вести в единый платный путь, а не жить как блог/SEO сам по себе","marketing-traffic-readiness.html"
"C04","Каталог и карточки экспертов","all psychic, карточка эксперта, профиль","Bio, специализация, языки, доступность, рейтинг, доверие, правила ранжирования, дисклеймер","Dating profile backend, Nebula expert cards, expert regulation","Красный","PM + Игорь + Антон","Без текстов карточки и правил видимости клиент не понимает, кого выбирает и почему","expert-quality-moderation.html"
"C05","Покупка консультации","checkout / paid order states","Цена, состав услуги, что после оплаты, success/fail/pending, receipt, refund boundary","paid consultation flow, legal package, payment/support readiness","Красный","PM + Игорь + founder/legal","Финальные тексты зависят от legal/payment решений, но черновик нужен до ТЗ Игорю","paid-consultation-test-flow.html"
"C06","Вопрос клиента","форма вопроса после оплаты","Подсказка вопроса, примеры, лимиты, язык, срок ответа, что будет дальше","AskNebula/PbExpert logic, expert regulation, email events","Красный","PM + Ксения reviewer","Нужно написать так, чтобы клиент дал качественный запрос и не ждал мгновенный ответ","expert-work-regulation-v1.html"
"C07","Чат и ответ","client chat, expert/admin chat workspace","Статусы доставки, ожидание, ответ готов, follow-up, warning, translation notes, support link","admin chat workspace v2, email package, support package","Желтый","PM + Игорь","Есть сильный web-контур чата, но платный lifecycle надо связать текстами статусов","https://cutthreat.github.io/confideline/web/admin-chat-workspace-v2/elements-dictionary-panel.html?tab=flow&v=fd72087a67ea33da42b0b2acc09d864d7f9d17bf"
"C08","Личный кабинет клиента","dashboard, history, consultation status","История заказов, статус консультации, пустые состояния, поддержка, повторная покупка, refund/help copy","Oracle/Nebula map, support readiness, email events","Красный","PM + Антон + Игорь","Без кабинета клиент после оплаты теряет контроль над услугой","oracle-nebula-design-backend-content-qa.html"
"C09","Рабочее место эксперта/агента","admin role tabs / expert workspace","Правила ответа, чек-лист качества, сроки, подсказки, начисления, предупреждения, knowledge links","workspace package, regulation, training extraction","Желтый","PM + Игорь + Ксения reviewer","Для MVP можно через роль в админке, но тексты инструкций и статусов обязательны","expert-agent-workspace-handoff.html"
"C10","Школа экспертов","training panel v1 / docs + forms","Уроки, тест, пример ответа, ошибки, рубрика допуска, журнал первых 5 экспертов","Trello training card, comments, attachments, Ksenia tests","Желтый","PM + доступы + Ксения reviewer","Источник найден, но часть файлов закрыта; нельзя объявить полный контент школы готовым","expert-training-source-extraction.html"
"C11","Support, жалобы, возвраты","support ticket, refund states, FAQ","Причины обращения, статусы решения, шаблоны ответа, срок реакции, связь с заказом/чатом","support-refund-readiness, legal package, email events","Красный","PM + Игорь + founder/legal","Проблемные сценарии должны иметь текст до рекламы, иначе жалобы будут решаться вручную","support-refund-readiness.html"
"C12","Email и уведомления","email templates, notification states","Transactional templates, переменные, языки, no-send preview, ошибки отправки, отписка для marketing","email handoff, previous email admin upload proof","Желтый","PM + Игорь","События и структура есть, финальные тексты и языковые версии надо оформить по шаблонам","email-notifications-handoff.html"
"C13","Юридика и FAQ","Terms, Privacy, Refund, Disclaimer, FAQ","Terms, Privacy, Cookies, Refund, Payment terms, Disclaimer, support contacts, variables","legal-content-package, legal readiness, EU/FTC sources","Красный","PM + founder/legal","Черновик HTML-ready можно готовить, публикация только после legal/payment/founder gate","legal-content-package.html"
"C14","Блог и прогрев","blog, article, related services","Темы статей, CTA к услуге, internal links, safe claims, FAQ, disclaimer","marketing readiness, Nebula blog pages, strategy board","Желтый","PM + контент","Не блокирует MVP, но нужен для SEO/прогрева и повторных касаний","marketing-traffic-readiness.html"
"C15","Модерация и безопасность","admin moderation, reports, bans","Причины жалоб, предупреждения, сообщения при ограничении, правила запрета контактов, теневой бан","expert quality moderation, admin ops, support readiness","Желтый","PM + Игорь","Тексты модерации нужны, чтобы санкции были управляемыми и не ломали поддержку","expert-quality-moderation.html"
"C16","Аналитика и QA","QA report, dashboard labels, launch readiness","Названия метрик, PASS/WARN/STOP статусы, шаблон отчета, причины остановки, владельцы","QA reports, Blue Panel, pre-traffic control","Желтый","PM + QA","Контент отчетов нужен как язык управления запуском, не как технический лог","pre-traffic-paid-consultation-control.html"
