"ID","Requirement","Status","Proof","Gap","Next","Link"
"REQ01","Автономно собрать доказательную базу текущего состояния","желтый","Есть Blue Panel, светофор, proof-control, индекс покрытия, quality map и daily control.","Нет runtime-доказательств сайта: safe order, no-send, support, QA, E01-E05.","Продолжать сбор только через accepted proof и владельцев.","proof-control-center-2026-06-06.html"
"REQ02","Backend Confideline как база сервиса","красный","Есть backend/admin gates, capture sheets и запрос R01 Игорю.","Нет order_id/question/session/assignment/answer/admin/support/events на одном marker.","Получить R01 safe test order от Игоря.","backend-admin-safe-order-execution-board-2026-06-06.html"
"REQ03","Frontend/design Oracle/Nebula","желтый","Есть design/source coverage, screen contracts и правило экран -> backend -> content -> QA.","Нет принятого screen-by-screen proof по критичному paid-flow.","Закрывать критичные экраны через screen contract.","oracle-nebula-screen-contract-2026-06-06.html"
"REQ04","Trello как источник задач и правок","желтый","Есть план июня, Trello fact status и правило: названия карточек не менять.","Не все карточки имеют result proof и актуальный accepted статус.","Результаты вести ссылкой Blue Panel после приемки.","trello-june-fact-status.html"
"REQ05","Blue Panel как центр управления","зеленый","Главная, Для Алексея, статус, proof, качество proof, контракты, owners, daily control опубликованы.","Нужно поддерживать актуальность после каждого accepted/returned/blocked.","Обновлять панель как источник состояния запуска.","../index.html"
"REQ06","Документы, policy, disclaimer, checkout wording","желтый","Есть public docs/checkout contracts и понимание нужных текстов.","Нет founder/legal/payment decisions: seller, provider, descriptor, refund, geography.","Готовить HTML-ready пакет, финал после decisions.","public-docs-checkout-trust-proof-contract-2026-06-06.html"
"REQ07","Обучение и школа экспертов","желтый","Есть школа v1, регламент, материалы Nebula/PbExpert, scorecard.","Нет accepted прохождения и пробного ответа по E01-E05.","Получить R02/E01 и затем E01-E05 admission proof.","expert-training-admission-evidence-inventory.html"
"REQ08","Первые 5 экспертов","красный","Есть gate, journal и proof contract допуска.","0/5 экспертов accepted фактами.","Минимум E01 accepted для QA; E01-E05 для первого трафика.","first-five-expert-admission-proof-contract.html"
"REQ09","Экспертский/агентский рабочий контур","красный","Есть workspace handoff и runtime proof register.","Не доказано назначение задачи и ответ исполнителя внутри системы.","Проверить assignment/answer/workspace на safe order.","expert-runtime-proof-register.html"
"REQ10","Клиентский путь платной консультации","красный","Путь и paid-flow contract описаны.","Нет фактического прохода offer -> order -> question -> answer -> support.","Пройти контрольный заказ после READY.","paid-client-flow-proof-contract-2026-06-06.html"
"REQ11","Админка и операционная видимость","красный","Есть admin visibility contract и capture sheet.","Нет скринов/логов admin route по одному заказу.","Включить admin timeline в R01 и QA.","admin-operational-visibility-proof-contract-2026-06-06.html"
"REQ12","Support, тикеты, просрочки, жалобы, возвраты","красный","Есть support/failure contracts и problem state packages.","Нет support_case_id/owner/decision/closure по order_id.","Включить problem state в контрольный заказ.","support-failure-state-gate.html"
"REQ13","Email, уведомления, рассылки, no-send","красный","Есть no-send gate и матрица обязательных событий.","Нет event_id/preview/external_send=false на safe order.","Проверить no-send events без реальной отправки.","notification-event-nosend-gate.html"
"REQ14","QA перед трафиком","красный","Есть QA contract, runbook и report shell.","Нет PASS/WARN/STOP по рабочему сайту.","Запуск QA только после accepted R01/R02.","prelaunch-qa-proof-contract-2026-06-06.html"
"REQ15","Маркетинг, первый трафик, CAC/LTV","красный","Есть traffic preflight, stop-сигналы и CAC/LTV рамка.","Нет QA, capacity 5 экспертов, purchase analytics, docs/payment decisions.","Готовить материалы, paid traffic budget = 0.","first-traffic-execution-board-2026-06-06.html"
"REQ16","Классификация красный/желтый/зеленый","зеленый","Есть светофор, readiness map, quality proof map и правило “документ не равен runtime”.","Статусы должны пересчитываться после новых фактов.","Менять только затронутый слой по accepted proof.","launch-layer-readiness-map-2026-06-06.html"
"REQ17","Выявить пробелы, блокеры и владельцев","зеленый","Есть owner proof board, blocker register, escalation/waiting logic.","Красные блокеры сохраняются до внешнего proof.","Вести R01/R02 -> QA-ready -> QA report.","owner-proof-next-actions.html"
"REQ18","Понятный мастер-план с proof-ссылками","зеленый","Есть “Для Алексея”, план июня, статус запуска, proof links и главный маршрут.","После QA потребуется пересчет месяцев и запуска.","Использовать для разговора с Заказчиком, обновлять по фактам.","alexey-master-plan.html"
"REQ19","Автономная работа PM","зеленый","Есть autonomous workqueue, daily control и правило не дергать пользователя без real blocker.","Автономность не заменяет Игоря, QA, Ксению и founder decisions.","Закрывать подготовку и не симулировать runtime.","pm-daily-control-room.html"
"REQ20","Качество доказательств и защита от самообмана","зеленый","Есть стандарт доверия L1-L8 и quality-by-layer map.","Runtime-слои все еще требуют L1/L2 proof.","Оценивать каждый новый результат по качеству proof.","pm-evidence-quality-by-layer-2026-06-06.html"
"REQ21","Передача задач Игорю, Антону, Ксении, QA","желтый","Есть co2p/handoff pages, dispatcher, owner board и copy requests.","Не все handoff приняты исполнителями и не все привязаны к runtime proof.","Передавать только с expected result, acceptance и proof link.","team-proof-dispatch-board.html"
"REQ22","Итоговая готовность MVP запуска","красный","Go/No-Go условия и чек-лист тестового запуска описаны.","Нет accepted safe order, E01-E05, QA, docs/payment, analytics.","R01/R02, затем QA-ready, затем пересчет checklist.","mvp-test-launch-readiness-checklist-2026-06-06.html"
